Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 9,98125
EER(%):; 37,956
FMR100(%):; 77,857
FMR1000(%):; 81,429
ZeroFmr(%):; 81,429
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,8143;0,4964
0,0028;0,8143;0,4963
0,0028;0,7893;0,4717
0,0056;0,7893;0,4710
0,0056;0,7786;0,4625
0,0111;0,7786;0,4610
0,0111;0,7643;0,4464
0,0139;0,7643;0,4420
0,0139;0,7607;0,4414
0,0167;0,7607;0,4412
0,0167;0,7321;0,4256
0,0194;0,7321;0,4239
0,0194;0,7286;0,4194
0,0222;0,7286;0,4165
0,0222;0,7250;0,4157
0,0333;0,7250;0,4048
0,0333;0,7107;0,3980
0,0361;0,7107;0,3973
0,0361;0,7071;0,3970
0,0389;0,7071;0,3966
0,0389;0,7036;0,3966
0,0417;0,7036;0,3961
0,0417;0,7000;0,3960
0,0444;0,7000;0,3960
0,0444;0,6964;0,3852
0,0528;0,6964;0,3790
0,0528;0,6929;0,3738
0,0583;0,6929;0,3725
0,0583;0,6857;0,3711
0,0611;0,6857;0,3710
0,0611;0,6750;0,3679
0,0639;0,6750;0,3673
0,0639;0,6714;0,3663
0,0778;0,6714;0,3639
0,0778;0,6679;0,3622
0,0861;0,6679;0,3572
0,0861;0,6607;0,3543
0,0889;0,6607;0,3542
0,0889;0,6536;0,3523
0,1028;0,6536;0,3456
0,1028;0,6500;0,3420
0,1111;0,6500;0,3354
0,1111;0,6357;0,3305
0,1139;0,6357;0,3303
0,1139;0,6321;0,3302
0,1250;0,6321;0,3299
0,1250;0,6214;0,3275
0,1278;0,6214;0,3263
0,1278;0,6179;0,3262
0,1333;0,6179;0,3216
0,1333;0,6143;0,3214
0,1361;0,6143;0,3197
0,1361;0,6107;0,3191
0,1417;0,6107;0,3164
0,1417;0,6036;0,3147
0,1444;0,6036;0,3136
0,1444;0,6000;0,3131
0,1556;0,6000;0,3087
0,1556;0,5929;0,3071
0,1639;0,5929;0,3055
0,1639;0,5893;0,3052
0,1750;0,5893;0,3010
0,1750;0,5857;0,2996
0,1806;0,5857;0,2976
0,1806;0,5786;0,2973
0,1889;0,5786;0,2945
0,1889;0,5750;0,2942
0,1944;0,5750;0,2918
0,1944;0,5643;0,2884
0,2000;0,5643;0,2877
0,2000;0,5607;0,2871
0,2083;0,5607;0,2836
0,2083;0,5429;0,2807
0,2167;0,5429;0,2788
0,2167;0,5357;0,2781
0,2250;0,5357;0,2775
0,2250;0,5321;0,2774
0,2333;0,5321;0,2757
0,2333;0,5286;0,2754
0,2472;0,5286;0,2713
0,2472;0,5250;0,2712
0,2528;0,5250;0,2705
0,2528;0,5179;0,2702
0,2639;0,5179;0,2674
0,2639;0,5000;0,2649
0,2667;0,5000;0,2648
0,2667;0,4893;0,2606
0,2694;0,4893;0,2603
0,2694;0,4857;0,2561
0,2722;0,4857;0,2558
0,2722;0,4821;0,2553
0,2778;0,4821;0,2550
0,2778;0,4679;0,2534
0,2861;0,4679;0,2486
0,2861;0,4643;0,2484
0,2889;0,4643;0,2484
0,2889;0,4607;0,2483
0,2917;0,4607;0,2483
0,2917;0,4571;0,2482
0,2944;0,4571;0,2482
0,2944;0,4536;0,2479
0,3000;0,4536;0,2478
0,3000;0,4464;0,2478
0,3083;0,4464;0,2476
0,3083;0,4429;0,2473
0,3167;0,4429;0,2468
0,3167;0,4357;0,2446
0,3306;0,4357;0,2405
0,3306;0,4250;0,2391
0,3333;0,4250;0,2389
0,3333;0,4179;0,2386
0,3361;0,4179;0,2384
0,3361;0,4143;0,2380
0,3444;0,4143;0,2360
0,3444;0,4071;0,2355
0,3528;0,4071;0,2336
0,3528;0,4000;0,2330
0,3667;0,4000;0,2292
0,3667;0,3929;0,2256
0,3694;0,3929;0,2250
0,3694;0,3893;0,2233
0,3778;0,3893;0,2227
0,3778;0,3857;0,2225
0,3806;0,3857;0,2204
0,3806;0,3786;0,2202
0,3861;0,3786;0,2201
0,3861;0,3750;0,2201
0,3972;0,3750;0,2172
0,3972;0,3714;0,2172
0,4028;0,3714;0,2168
0,4028;0,3643;0,2163
0,4056;0,3643;0,2155
0,4056;0,3536;0,2144
0,4083;0,3536;0,2143
0,4083;0,3500;0,2139
0,4306;0,3500;0,2102
0,4306;0,3464;0,2099
0,4333;0,3464;0,2089
0,4333;0,3429;0,2088
0,4361;0,3429;0,2088
0,4361;0,3321;0,2064
0,4528;0,3321;0,2031
0,4528;0,3286;0,2029
0,4556;0,3286;0,2028
0,4556;0,3250;0,2026
