Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 5,67031
EER(%):; 20,575
FMR100(%):; 42,857
FMR1000(%):; 54,286
ZeroFmr(%):; 54,286
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,5429;31,0985
0,0028;0,5429;31,0937
0,0028;0,4429;25,1976
0,0083;0,4429;25,0727
0,0083;0,4286;24,3132
0,0111;0,4286;24,2698
0,0111;0,4214;23,7733
0,0139;0,4214;23,7322
0,0139;0,4107;22,7951
0,0167;0,4107;22,7575
0,0167;0,4036;22,4809
0,0222;0,4036;22,2566
0,0222;0,3714;20,3844
0,0278;0,3714;20,3237
0,0278;0,3679;20,1456
0,0306;0,3679;19,9205
0,0306;0,3607;19,8680
0,0417;0,3607;19,4745
0,0417;0,3464;19,0982
0,0444;0,3464;19,0682
0,0444;0,3429;19,0518
0,0528;0,3429;18,8025
0,0528;0,3357;18,3942
0,0556;0,3357;18,2574
0,0556;0,3286;18,0981
0,0611;0,3286;17,9644
0,0611;0,3250;17,8915
0,0639;0,3250;17,8263
0,0639;0,3179;17,7705
0,0667;0,3179;17,7543
0,0667;0,3143;17,6777
0,0694;0,3143;17,6446
0,0694;0,3036;17,4608
0,0722;0,3036;17,3402
0,0722;0,3000;17,2133
0,0944;0,3000;16,7692
0,0944;0,2964;16,7542
0,0972;0,2964;16,7319
0,0972;0,2821;16,6759
0,1000;0,2821;16,6410
0,1000;0,2786;16,6282
0,1083;0,2786;16,4488
0,1083;0,2679;16,0422
0,1139;0,2679;15,9232
0,1139;0,2607;15,7895
0,1222;0,2607;15,3960
0,1222;0,2571;15,3897
0,1333;0,2571;15,0188
0,1333;0,2536;14,9105
0,1528;0,2536;14,5080
0,1528;0,2500;14,4785
0,1583;0,2500;14,4589
0,1583;0,2464;14,4361
0,1611;0,2464;14,4215
0,1611;0,2429;14,4150
0,1639;0,2429;14,4128
0,1639;0,2393;14,2857
0,1667;0,2393;14,2148
0,1667;0,2357;14,1705
0,1722;0,2357;14,1500
0,1722;0,2321;14,1421
0,1750;0,2321;14,1186
0,1750;0,2286;14,0248
0,1778;0,2286;13,9030
0,1778;0,2250;13,8675
0,1917;0,2250;13,6176
0,1917;0,2214;13,5613
0,1944;0,2214;13,5519
0,1944;0,2179;13,5333
0,1972;0,2179;13,5250
0,1972;0,2143;13,4840
0,2306;0,2143;13,0545
0,2306;0,2107;13,0066
0,2361;0,2107;12,9688
0,2361;0,2071;12,9099
0,2472;0,2071;12,7432
0,2472;0,2036;12,6674
0,2528;0,2036;12,6323
0,2528;0,2000;12,5908
0,2583;0,2000;12,5218
0,2583;0,1929;12,2628
0,2611;0,1929;12,2474
0,2611;0,1893;12,1867
0,2833;0,1893;11,7647
0,2833;0,1857;11,7343
0,2917;0,1857;11,6775
0,2917;0,1821;11,6510
0,3028;0,1821;11,4109
0,3028;0,1786;11,3147
0,3250;0,1786;10,5409
0,3250;0,1714;10,5409
0,3528;0,1714;10,2262
0,3528;0,1679;10,2240
0,3611;0,1679;9,9627
0,3611;0,1643;9,9286
0,3667;0,1643;9,7983
0,3667;0,1607;9,7590
0,3694;0,1607;9,7405
0,3694;0,1536;9,6393
0,3833;0,1536;9,4333
0,3833;0,1500;9,4273
0,3944;0,1500;9,3659
0,3944;0,1464;9,3048
0,4056;0,1464;9,0005
0,4056;0,1429;8,9642
0,4222;0,1429;8,3992
0,4222;0,1357;8,3497
0,4444;0,1357;7,0430
0,4444;0,1321;6,9881
0,4500;0,1321;6,9027
0,4500;0,1286;6,7690
0,4528;0,1286;6,7003
0,4528;0,1179;6,4550
0,4556;0,1179;6,3628
0,4556;0,1143;6,3372
0,4639;0,1143;6,2514
0,4639;0,1107;6,0921
1,0000;0,1107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
