Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 1,42500
EER(%):; 27,361
FMR100(%):; 45,000
FMR1000(%):; 50,357
ZeroFmr(%):; 50,357
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,5036;0,0469
0,0028;0,5036;0,0463
0,0028;0,4929;0,0431
0,0056;0,4929;0,0429
0,0056;0,4571;0,0333
0,0083;0,4571;0,0316
0,0083;0,4500;0,0298
0,0111;0,4500;0,0296
0,0111;0,4393;0,0288
0,0139;0,4393;0,0286
0,0139;0,4321;0,0280
0,0167;0,4321;0,0279
0,0167;0,4143;0,0249
0,0194;0,4143;0,0248
0,0194;0,4036;0,0228
0,0444;0,4036;0,0184
0,0444;0,3964;0,0182
0,0667;0,3964;0,0169
0,0667;0,3929;0,0167
0,0694;0,3929;0,0163
0,0694;0,3893;0,0161
0,0750;0,3893;0,0159
0,0750;0,3857;0,0158
0,0778;0,3857;0,0157
0,0778;0,3786;0,0154
0,0861;0,3786;0,0150
0,0861;0,3750;0,0148
0,0917;0,3750;0,0146
0,0917;0,3714;0,0146
0,0944;0,3714;0,0143
0,0944;0,3643;0,0142
0,1028;0,3643;0,0136
0,1028;0,3571;0,0134
0,1250;0,3571;0,0121
0,1250;0,3500;0,0120
0,1278;0,3500;0,0118
0,1278;0,3393;0,0116
0,1333;0,3393;0,0115
0,1333;0,3321;0,0115
0,1361;0,3321;0,0114
0,1361;0,3286;0,0113
0,1417;0,3286;0,0113
0,1417;0,3179;0,0110
0,1611;0,3179;0,0105
0,1611;0,3143;0,0105
0,1722;0,3143;0,0103
0,1722;0,3036;0,0103
0,1889;0,3036;0,0099
0,1889;0,3000;0,0099
0,2028;0,3000;0,0095
0,2028;0,2964;0,0094
0,2194;0,2964;0,0091
0,2194;0,2893;0,0090
0,2472;0,2893;0,0087
0,2472;0,2786;0,0086
0,2722;0,2786;0,0081
0,2722;0,2750;0,0080
0,2806;0,2750;0,0079
0,2806;0,2714;0,0079
0,2889;0,2714;0,0078
0,2889;0,2643;0,0077
0,2917;0,2643;0,0077
0,2917;0,2607;0,0077
0,3028;0,2607;0,0073
0,3028;0,2571;0,0072
0,3361;0,2571;0,0067
0,3361;0,2536;0,0066
0,3417;0,2536;0,0066
0,3417;0,2500;0,0066
0,3556;0,2500;0,0064
0,3556;0,2464;0,0064
0,3611;0,2464;0,0063
0,3611;0,2429;0,0062
0,3806;0,2429;0,0059
0,3806;0,2357;0,0059
0,3861;0,2357;0,0059
0,3861;0,2321;0,0058
0,3972;0,2321;0,0057
0,3972;0,2214;0,0056
0,4056;0,2214;0,0055
0,4056;0,2179;0,0055
0,4361;0,2179;0,0052
0,4361;0,2143;0,0052
0,4444;0,2143;0,0052
0,4444;0,2107;0,0051
0,4722;0,2107;0,0049
0,4722;0,2071;0,0049
0,4750;0,2071;0,0049
0,4750;0,2000;0,0049
0,4778;0,2000;0,0048
0,4778;0,1893;0,0047
0,4861;0,1893;0,0046
0,4861;0,1857;0,0046
0,5000;0,1857;0,0044
0,5000;0,1821;0,0044
0,5111;0,1821;0,0043
0,5111;0,1750;0,0041
0,5194;0,1750;0,0041
0,5194;0,1714;0,0041
0,5306;0,1714;0,0038
0,5306;0,1679;0,0038
0,5333;0,1679;0,0038
0,5333;0,1643;0,0037
0,5556;0,1643;0,0035
0,5556;0,1607;0,0035
0,5639;0,1607;0,0035
0,5639;0,1571;0,0035
0,5667;0,1571;0,0035
0,5667;0,1500;0,0034
0,5722;0,1500;0,0034
0,5722;0,1464;0,0034
0,5778;0,1464;0,0034
0,5778;0,1429;0,0033
0,5889;0,1429;0,0033
0,5889;0,1393;0,0033
0,5972;0,1393;0,0032
0,5972;0,1321;0,0032
0,6000;0,1321;0,0032
0,6000;0,1286;0,0031
0,6139;0,1286;0,0029
0,6139;0,1250;0,0029
0,6278;0,1250;0,0028
0,6278;0,1214;0,0027
0,6361;0,1214;0,0027
0,6361;0,1143;0,0026
0,6389;0,1143;0,0025
0,6389;0,1071;0,0024
0,6472;0,1071;0,0023
0,6472;0,1036;0,0023
0,6611;0,1036;0,0022
0,6611;0,1000;0,0020
0,6972;0,1000;0,0017
0,6972;0,0893;0,0014
1,0000;0,0893;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
