Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 3,64063
EER(%):; 33,591
FMR100(%):; 62,857
FMR1000(%):; 73,214
ZeroFmr(%):; 73,214
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,7321;34,0618
0,0028;0,7321;33,9770
0,0028;0,6893;31,7674
0,0056;0,6893;31,6841
0,0056;0,6750;30,1026
0,0083;0,6750;29,9377
0,0083;0,6286;26,4914
0,0139;0,6286;26,3432
0,0139;0,6107;25,5220
0,0167;0,6107;25,2222
0,0167;0,6036;25,1102
0,0194;0,6036;24,9343
0,0194;0,5857;22,8476
0,0222;0,5857;22,6150
0,0222;0,5821;22,5394
0,0250;0,5821;22,4289
0,0250;0,5714;22,2799
0,0278;0,5714;22,1170
0,0278;0,5679;22,1030
0,0417;0,5679;21,5695
0,0417;0,5571;21,4280
0,0444;0,5571;21,4239
0,0444;0,5536;21,4143
0,0472;0,5536;21,3299
0,0472;0,5500;21,0021
0,0500;0,5500;20,6602
0,0500;0,5464;20,5820
0,0556;0,5464;20,3412
0,0556;0,5357;19,9613
0,0611;0,5357;19,5630
0,0611;0,5321;19,4433
0,0639;0,5321;19,4099
0,0639;0,5286;19,4004
0,0667;0,5286;19,3413
0,0667;0,5250;19,0336
0,0833;0,5250;17,6911
0,0833;0,5214;17,5129
0,0917;0,5214;17,1636
0,0917;0,5107;16,8781
0,0972;0,5107;16,6231
0,0972;0,5036;16,3787
0,1028;0,5036;16,2006
0,1028;0,4929;15,8181
0,1083;0,4929;15,6317
0,1083;0,4893;15,4530
0,1139;0,4893;15,1898
0,1139;0,4821;14,8006
0,1194;0,4821;14,7559
0,1194;0,4786;14,6431
0,1222;0,4786;14,2478
0,1222;0,4714;14,2183
0,1361;0,4714;14,0491
0,1361;0,4679;14,0439
0,1472;0,4679;13,9208
0,1472;0,4643;13,8846
0,1500;0,4643;13,8396
0,1500;0,4607;13,8329
0,1556;0,4607;13,5960
0,1556;0,4571;13,5805
0,1639;0,4571;13,3482
0,1639;0,4536;13,1614
0,1722;0,4536;12,7998
0,1722;0,4500;12,7893
0,1833;0,4500;12,3645
0,1833;0,4464;12,2972
0,1972;0,4464;12,0121
0,1972;0,4429;12,0000
0,2000;0,4429;11,9151
0,2000;0,4393;11,8915
0,2028;0,4393;11,8698
0,2028;0,4357;11,7666
0,2278;0,4357;11,1633
0,2278;0,4321;11,0847
0,2306;0,4321;11,0329
0,2306;0,4286;11,0280
0,2361;0,4286;10,9764
0,2361;0,4250;10,9037
0,2417;0,4250;10,8501
0,2417;0,4214;10,8002
0,2472;0,4214;10,6637
0,2472;0,4179;10,6563
0,2556;0,4179;10,5116
0,2556;0,4143;10,1899
0,2583;0,4143;10,1800
0,2583;0,4036;10,0103
0,2694;0,4036;9,9307
0,2694;0,3964;9,7792
0,2750;0,3964;9,4910
0,2750;0,3893;9,4103
0,2778;0,3893;9,2857
0,2778;0,3857;9,0653
0,2861;0,3857;8,8102
0,2861;0,3786;8,6465
0,2889;0,3786;8,5840
0,2889;0,3750;8,5659
0,2917;0,3750;8,5491
0,2917;0,3714;8,5234
0,2944;0,3714;8,4237
0,2944;0,3643;8,3297
0,3083;0,3643;8,1073
0,3083;0,3571;8,0320
0,3194;0,3571;7,6953
0,3194;0,3536;7,6388
0,3250;0,3536;7,5997
0,3250;0,3464;7,5535
0,3333;0,3464;7,2145
0,3333;0,3393;6,8335
0,3361;0,3393;6,6093
0,3361;0,3357;6,5268
0,3417;0,3357;6,4872
0,3417;0,3321;6,4543
0,3694;0,3321;5,7671
0,3694;0,3250;5,5879
1,0000;0,3250;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
