Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 11,50938
EER(%):; 37,996
FMR100(%):; 71,429
FMR1000(%):; 76,071
ZeroFmr(%):; 76,071
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,7607;0,4258
0,0028;0,7607;0,4257
0,0028;0,7250;0,4018
0,0083;0,7250;0,3969
0,0083;0,7143;0,3895
0,0139;0,7143;0,3860
0,0139;0,7107;0,3842
0,0167;0,7107;0,3820
0,0167;0,7000;0,3721
0,0194;0,7000;0,3642
0,0194;0,6929;0,3634
0,0306;0,6929;0,3608
0,0306;0,6857;0,3472
0,0361;0,6857;0,3435
0,0361;0,6750;0,3314
0,0389;0,6750;0,3314
0,0389;0,6464;0,3156
0,0417;0,6464;0,3152
0,0417;0,6393;0,3106
0,0444;0,6393;0,3104
0,0444;0,6250;0,3056
0,0472;0,6250;0,3052
0,0472;0,6214;0,3020
0,0528;0,6214;0,3010
0,0528;0,6179;0,2995
0,0667;0,6179;0,2922
0,0667;0,6143;0,2920
0,0694;0,6143;0,2920
0,0694;0,6071;0,2919
0,0861;0,6071;0,2838
0,0861;0,6000;0,2834
0,0944;0,6000;0,2757
0,0944;0,5964;0,2756
0,1000;0,5964;0,2738
0,1000;0,5821;0,2728
0,1111;0,5821;0,2686
0,1111;0,5679;0,2676
0,1139;0,5679;0,2674
0,1139;0,5643;0,2665
0,1167;0,5643;0,2665
0,1167;0,5607;0,2649
0,1278;0,5607;0,2641
0,1278;0,5536;0,2624
0,1333;0,5536;0,2614
0,1333;0,5500;0,2609
0,1361;0,5500;0,2601
0,1361;0,5357;0,2541
0,1389;0,5357;0,2487
0,1389;0,5321;0,2487
0,1472;0,5321;0,2482
0,1472;0,5286;0,2482
0,1806;0,5286;0,2338
0,1806;0,5250;0,2336
0,1861;0,5250;0,2332
0,1861;0,5214;0,2331
0,1917;0,5214;0,2295
0,1917;0,5143;0,2293
0,1972;0,5143;0,2289
0,1972;0,5107;0,2273
0,2028;0,5107;0,2269
0,2028;0,5071;0,2211
0,2056;0,5071;0,2211
0,2056;0,5036;0,2208
0,2194;0,5036;0,2204
0,2194;0,5000;0,2203
0,2250;0,5000;0,2194
0,2250;0,4964;0,2191
0,2306;0,4964;0,2178
0,2306;0,4929;0,2177
0,2361;0,4929;0,2169
0,2361;0,4893;0,2168
0,2417;0,4893;0,2158
0,2417;0,4821;0,2158
0,2472;0,4821;0,2156
0,2472;0,4786;0,2155
0,2556;0,4786;0,2129
0,2556;0,4714;0,2127
0,2694;0,4714;0,2088
0,2694;0,4679;0,2086
