Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 10,50156
EER(%):; 30,377
FMR100(%):; 54,286
FMR1000(%):; 55,357
ZeroFmr(%):; 55,357
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,5536;21,2014
0,0028;0,5536;20,6793
0,0028;0,5464;20,2260
0,0083;0,5464;19,4759
0,0083;0,5429;19,2629
0,0111;0,5429;19,1620
0,0111;0,5214;18,1310
0,0167;0,5214;17,9029
0,0167;0,5179;17,8915
0,0194;0,5179;17,7581
0,0194;0,5071;17,3077
0,0250;0,5071;17,2953
0,0250;0,5036;17,2133
0,0333;0,5036;16,9128
0,0333;0,4893;16,6759
0,0361;0,4893;15,6556
0,0361;0,4821;15,3897
0,0417;0,4821;15,1523
0,0417;0,4786;14,8047
0,0444;0,4786;14,7570
0,0444;0,4750;14,7059
0,0472;0,4750;14,3592
0,0472;0,4607;13,5015
0,0611;0,4607;13,0066
0,0611;0,4571;12,9719
0,0639;0,4571;12,7321
0,0639;0,4536;12,6843
0,0667;0,4536;12,5988
0,0667;0,4464;12,2628
0,0694;0,4464;12,1214
0,0694;0,4429;12,0096
0,0722;0,4429;11,9523
0,0722;0,4393;11,9352
0,0972;0,4393;11,0096
0,0972;0,4357;10,9488
0,1083;0,4357;10,6843
0,1083;0,4214;10,3291
0,1111;0,4214;10,2299
0,1111;0,4107;9,8976
0,1194;0,4107;9,4676
0,1194;0,4071;9,4273
0,1250;0,4071;9,0005
0,1250;0,4036;8,7875
0,1333;0,4036;8,3992
0,1333;0,4000;8,3527
0,1417;0,4000;8,3351
0,1417;0,3964;8,3045
0,1444;0,3964;8,2409
0,1444;0,3929;8,2342
0,1472;0,3929;8,1228
0,1472;0,3893;8,1228
0,1528;0,3893;8,0484
0,1528;0,3857;7,9212
0,1583;0,3857;7,8665
0,1583;0,3786;7,6004
0,1611;0,3786;7,5858
0,1611;0,3714;7,4125
0,1722;0,3714;7,2525
0,1722;0,3679;7,1919
0,1889;0,3679;6,8465
0,1889;0,3643;6,8279
0,1944;0,3643;6,7152
0,1944;0,3571;6,4349
0,2167;0,3571;5,8001
0,2167;0,3536;5,7735
0,2194;0,3536;5,7639
0,2194;0,3500;5,6099
0,2417;0,3500;4,6881
0,2417;0,3429;4,4962
0,2583;0,3429;4,3853
0,2583;0,3321;3,9344
0,2639;0,3321;3,3634
0,2639;0,3286;2,9311
0,2750;0,3286;2,6803
0,2750;0,3250;2,4739
0,2861;0,3250;2,3415
0,2861;0,3214;2,2917
1,0000;0,3214;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
