Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 5,25469
EER(%):; 33,234
FMR100(%):; 72,857
FMR1000(%):; 75,000
ZeroFmr(%):; 75,000
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,7500;21,1538
0,0028;0,7500;21,0526
0,0028;0,7286;20,4082
0,0139;0,7286;20,0000
0,0139;0,6929;19,1489
0,0167;0,6929;19,0476
0,0167;0,6714;18,4211
0,0194;0,6714;18,1818
0,0194;0,6643;17,7419
0,0222;0,6643;17,6471
0,0222;0,6464;16,9811
0,0250;0,6464;16,6667
0,0250;0,6286;16,1290
0,0361;0,6286;15,7895
0,0361;0,5893;15,0943
0,0444;0,5893;15,0000
0,0444;0,5786;14,8148
0,0500;0,5786;14,7059
0,0500;0,5643;14,5833
0,0667;0,5643;14,2857
0,0667;0,5500;13,8462
0,0694;0,5500;13,7931
0,0694;0,5464;13,7931
0,0750;0,5464;13,6364
0,0750;0,5357;13,4615
0,0833;0,5357;13,3333
0,0833;0,5214;13,3333
0,0917;0,5214;13,0435
0,0917;0,5036;12,7273
0,0972;0,5036;12,5000
0,0972;0,5000;12,5000
0,1000;0,5000;12,1212
0,1000;0,4964;12,1212
0,1167;0,4964;11,7647
0,1167;0,4857;11,5385
0,1222;0,4857;11,3636
0,1222;0,4821;11,3636
0,1444;0,4821;11,1111
0,1444;0,4750;10,9091
0,1556;0,4750;10,8696
0,1556;0,4679;10,7692
0,1722;0,4679;10,5263
0,1722;0,4571;10,5263
0,1750;0,4571;10,4167
0,1750;0,4536;10,4167
0,1778;0,4536;10,3448
0,1778;0,4500;10,3448
0,1833;0,4500;10,2564
0,1833;0,4429;10,2564
0,2167;0,4429;10,0000
0,2167;0,4179;9,8214
0,2222;0,4179;9,7561
0,2222;0,4107;9,7561
0,2306;0,4107;9,6774
0,2306;0,3893;9,6154
0,2389;0,3893;9,4340
0,2389;0,3821;9,4118
0,2444;0,3821;9,3750
0,2444;0,3786;9,3750
0,2500;0,3786;9,3023
0,2500;0,3750;9,2308
0,2778;0,3750;9,0909
0,2778;0,3571;8,9109
0,2833;0,3571;8,8889
0,2833;0,3536;8,8889
0,3056;0,3536;8,6957
0,3056;0,3500;8,6957
0,3083;0,3500;8,6207
0,3083;0,3464;8,6207
0,3278;0,3464;8,3333
0,3278;0,3393;8,2353
0,3361;0,3393;8,1081
0,3361;0,3286;8,0645
0,3472;0,3286;8,0000
0,3472;0,3214;8,0000
0,3667;0,3214;7,8947
0,3667;0,3179;7,8947
0,3972;0,3179;7,6923
0,3972;0,3071;7,6923
0,4389;0,3071;7,4074
0,4389;0,3036;7,4074
0,4500;0,3036;7,3171
0,4500;0,3000;7,3171
0,4528;0,3000;7,2727
0,4528;0,2964;7,2727
0,4639;0,2964;7,1429
0,4639;0,2821;7,1429
0,4778;0,2821;7,0588
0,4778;0,2750;7,0588
0,4944;0,2750;6,9767
0,4944;0,2643;6,8966
0,5000;0,2643;6,8493
0,5000;0,2607;6,8493
0,5111;0,2607;6,8182
0,5111;0,2500;6,7308
0,5611;0,2500;6,4103
0,5611;0,2464;6,4103
0,5778;0,2464;6,3830
0,5778;0,2429;6,3830
0,6111;0,2429;6,2500
0,6111;0,2393;6,2500
0,6333;0,2393;6,0976
0,6333;0,2357;6,0976
0,6361;0,2357;6,0606
0,6361;0,2321;6,0606
0,6417;0,2321;5,9524
0,6417;0,2143;5,9406
0,6917;0,2143;5,7692
0,6917;0,2071;5,7692
0,7028;0,2071;5,5556
0,7028;0,2036;5,5556
0,7111;0,2036;5,4795
0,7111;0,2000;5,4545
0,7139;0,2000;5,4054
0,7139;0,1964;5,4054
0,7194;0,1964;5,3571
0,7194;0,1714;5,3571
0,7222;0,1714;5,2632
0,7222;0,1679;5,2632
0,7278;0,1679;5,1724
0,7278;0,1500;5,1724
0,7333;0,1500;5,1546
0,7333;0,1464;5,1546
0,7528;0,1464;5,0505
0,7528;0,1429;5,0505
0,7639;0,1429;5,0000
0,7639;0,1357;5,0000
0,7833;0,1357;4,8780
0,7833;0,1250;4,8780
0,8056;0,1250;4,8193
0,8056;0,1179;4,8193
0,8111;0,1179;4,8077
0,8111;0,1143;4,8077
0,8194;0,1143;4,7619
0,8194;0,1036;4,7619
0,8250;0,1036;4,7059
0,8250;0,1000;4,7059
0,8306;0,1000;4,6512
0,8306;0,0964;4,6512
0,8417;0,0964;4,6154
0,8417;0,0929;4,6154
0,8472;0,0929;4,5455
0,8472;0,0821;4,4643
0,8556;0,0821;4,4444
0,8556;0,0786;4,4444
0,8611;0,0786;4,2553
0,8611;0,0679;4,1237
0,8806;0,0679;4,0404
0,8806;0,0643;4,0404
0,8861;0,0643;3,9604
0,8861;0,0607;3,9604
0,9111;0,0607;3,8462
0,9111;0,0571;3,8462
0,9139;0,0571;3,7037
0,9139;0,0357;3,6145
0,9250;0,0357;3,5714
0,9250;0,0321;3,5714
0,9306;0,0321;3,4884
0,9306;0,0143;3,4483
0,9667;0,0143;3,0928
0,9667;0,0000;3,0928
1,0000;0,0000;1,9231
1,0000;0,0000;1,9231
1,0000;0,0000;1,9231
