Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 5,80313
EER(%):; 25,952
FMR100(%):; 45,714
FMR1000(%):; 52,143
ZeroFmr(%):; 52,143
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,5214;0,0133
0,0028;0,5214;0,0132
0,0028;0,4750;0,0102
0,0056;0,4750;0,0100
0,0056;0,4607;0,0095
0,0083;0,4607;0,0095
0,0083;0,4571;0,0089
0,0111;0,4571;0,0088
0,0111;0,4393;0,0075
0,0167;0,4393;0,0073
0,0167;0,4321;0,0071
0,0194;0,4321;0,0069
0,0194;0,4179;0,0064
0,0250;0,4179;0,0061
0,0250;0,4143;0,0059
0,0278;0,4143;0,0059
0,0278;0,4107;0,0058
0,0444;0,4107;0,0054
0,0444;0,3929;0,0052
0,0472;0,3929;0,0050
0,0472;0,3893;0,0050
0,0750;0,3893;0,0046
0,0750;0,3857;0,0045
0,0778;0,3857;0,0045
0,0778;0,3821;0,0044
0,0806;0,3821;0,0044
0,0806;0,3786;0,0044
0,0861;0,3786;0,0043
0,0861;0,3679;0,0042
0,0917;0,3679;0,0041
0,0917;0,3643;0,0040
0,0944;0,3643;0,0039
0,0944;0,3607;0,0039
0,1056;0,3607;0,0038
0,1056;0,3536;0,0038
0,1111;0,3536;0,0037
0,1111;0,3500;0,0037
0,1167;0,3500;0,0037
0,1167;0,3429;0,0036
0,1250;0,3429;0,0036
0,1250;0,3393;0,0035
0,1278;0,3393;0,0035
0,1278;0,3357;0,0035
0,1306;0,3357;0,0035
0,1306;0,3286;0,0034
0,1333;0,3286;0,0033
0,1333;0,3214;0,0033
0,1389;0,3214;0,0033
0,1389;0,3179;0,0033
0,1472;0,3179;0,0032
0,1472;0,3143;0,0032
0,1500;0,3143;0,0031
0,1500;0,3107;0,0031
0,1556;0,3107;0,0030
0,1556;0,3071;0,0030
0,1583;0,3071;0,0030
0,1583;0,3000;0,0029
0,1667;0,3000;0,0029
0,1667;0,2929;0,0028
0,1778;0,2929;0,0027
0,1778;0,2857;0,0026
0,1972;0,2857;0,0025
0,1972;0,2821;0,0025
0,2056;0,2821;0,0025
0,2056;0,2750;0,0024
0,2083;0,2750;0,0024
0,2083;0,2714;0,0024
0,2194;0,2714;0,0024
0,2194;0,2643;0,0024
0,2583;0,2643;0,0021
0,2583;0,2607;0,0021
0,2667;0,2607;0,0021
0,2667;0,2571;0,0020
0,2806;0,2571;0,0020
0,2806;0,2536;0,0020
0,2944;0,2536;0,0019
0,2944;0,2500;0,0019
0,3056;0,2500;0,0019
0,3056;0,2464;0,0018
0,3083;0,2464;0,0018
0,3083;0,2393;0,0018
0,3111;0,2393;0,0018
0,3111;0,2357;0,0018
0,3278;0,2357;0,0017
0,3278;0,2321;0,0017
0,3333;0,2321;0,0017
0,3333;0,2214;0,0017
0,3472;0,2214;0,0016
0,3472;0,2179;0,0016
0,3556;0,2179;0,0016
0,3556;0,2143;0,0016
0,3667;0,2143;0,0016
0,3667;0,2107;0,0016
0,3972;0,2107;0,0015
0,3972;0,2071;0,0015
0,4083;0,2071;0,0014
0,4083;0,2036;0,0014
0,4167;0,2036;0,0014
0,4167;0,2000;0,0014
0,4333;0,2000;0,0014
0,4333;0,1964;0,0014
0,4528;0,1964;0,0013
0,4528;0,1929;0,0013
0,4556;0,1929;0,0013
0,4556;0,1893;0,0013
0,4583;0,1893;0,0013
0,4583;0,1857;0,0013
0,4611;0,1857;0,0013
0,4611;0,1786;0,0013
0,4667;0,1786;0,0013
0,4667;0,1750;0,0013
0,4778;0,1750;0,0012
0,4778;0,1714;0,0012
0,5028;0,1714;0,0011
0,5028;0,1643;0,0011
0,5139;0,1643;0,0011
0,5139;0,1607;0,0011
0,5361;0,1607;0,0010
0,5361;0,1571;0,0010
0,5389;0,1571;0,0010
0,5389;0,1536;0,0010
0,5500;0,1536;0,0009
0,5500;0,1500;0,0009
0,5556;0,1500;0,0009
0,5556;0,1464;0,0009
0,5722;0,1464;0,0009
0,5722;0,1429;0,0009
0,5778;0,1429;0,0009
0,5778;0,1393;0,0009
0,6000;0,1393;0,0009
0,6000;0,1357;0,0009
0,6306;0,1357;0,0008
0,6306;0,1321;0,0008
0,6667;0,1321;0,0007
0,6667;0,1286;0,0007
0,6778;0,1286;0,0007
0,6778;0,1250;0,0007
0,7083;0,1250;0,0006
0,7083;0,1214;0,0006
0,7278;0,1214;0,0006
0,7278;0,1179;0,0006
0,7361;0,1179;0,0006
0,7361;0,1107;0,0006
0,7417;0,1107;0,0006
0,7417;0,1071;0,0006
0,7444;0,1071;0,0005
0,7444;0,1036;0,0005
0,7472;0,1036;0,0005
0,7472;0,1000;0,0005
0,7528;0,1000;0,0005
0,7528;0,0964;0,0005
0,7806;0,0964;0,0005
0,7806;0,0929;0,0005
0,7889;0,0929;0,0005
0,7889;0,0857;0,0004
0,8111;0,0857;0,0004
0,8111;0,0821;0,0004
0,8167;0,0821;0,0004
0,8167;0,0786;0,0004
0,8528;0,0786;0,0003
0,8528;0,0750;0,0003
0,8583;0,0750;0,0003
0,8583;0,0679;0,0003
0,9111;0,0679;0,0002
0,9111;0,0643;0,0002
0,9222;0,0643;0,0001
0,9222;0,0607;0,0001
1,0000;0,0607;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
