Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,65313
EER(%):; 24,901
FMR100(%):; 50,357
FMR1000(%):; 54,286
ZeroFmr(%):; 54,286
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,5429;0,0134
0,0028;0,5429;0,0129
0,0028;0,5250;0,0114
0,0056;0,5250;0,0113
0,0056;0,5071;0,0106
0,0083;0,5071;0,0099
0,0083;0,5036;0,0098
0,0139;0,5036;0,0096
0,0139;0,5000;0,0096
0,0167;0,5000;0,0095
0,0167;0,4964;0,0094
0,0194;0,4964;0,0094
0,0194;0,4857;0,0091
0,0222;0,4857;0,0088
0,0222;0,4679;0,0084
0,0250;0,4679;0,0084
0,0250;0,4321;0,0076
0,0444;0,4321;0,0068
0,0444;0,4286;0,0068
0,0528;0,4286;0,0064
0,0528;0,4250;0,0063
0,0556;0,4250;0,0063
0,0556;0,4214;0,0062
0,0583;0,4214;0,0061
0,0583;0,4143;0,0060
0,0611;0,4143;0,0060
0,0611;0,4107;0,0060
0,0639;0,4107;0,0059
0,0639;0,4071;0,0059
0,0667;0,4071;0,0056
0,0667;0,4036;0,0056
0,0722;0,4036;0,0055
0,0722;0,3929;0,0052
0,0750;0,3929;0,0051
0,0750;0,3857;0,0050
0,0833;0,3857;0,0049
0,0833;0,3821;0,0049
0,0889;0,3821;0,0048
0,0889;0,3786;0,0048
0,0917;0,3786;0,0048
0,0917;0,3750;0,0048
0,0944;0,3750;0,0048
0,0944;0,3679;0,0046
0,0972;0,3679;0,0046
0,0972;0,3607;0,0046
0,1000;0,3607;0,0045
0,1000;0,3500;0,0044
0,1028;0,3500;0,0044
0,1028;0,3429;0,0043
0,1111;0,3429;0,0043
0,1111;0,3393;0,0043
0,1139;0,3393;0,0042
0,1139;0,3357;0,0042
0,1167;0,3357;0,0042
0,1167;0,3321;0,0042
0,1278;0,3321;0,0040
0,1278;0,3286;0,0039
0,1361;0,3286;0,0038
0,1361;0,3250;0,0038
0,1417;0,3250;0,0038
0,1417;0,3214;0,0037
0,1583;0,3214;0,0034
0,1583;0,3179;0,0034
0,1722;0,3179;0,0032
0,1722;0,3107;0,0032
0,1861;0,3107;0,0031
0,1861;0,3071;0,0031
0,1917;0,3071;0,0031
0,1917;0,3000;0,0029
0,2000;0,3000;0,0028
0,2000;0,2893;0,0028
0,2111;0,2893;0,0027
0,2111;0,2821;0,0027
0,2194;0,2821;0,0027
0,2194;0,2786;0,0026
0,2222;0,2786;0,0026
0,2222;0,2571;0,0025
0,2444;0,2571;0,0024
0,2444;0,2536;0,0024
0,2639;0,2536;0,0023
0,2639;0,2464;0,0023
0,2694;0,2464;0,0022
0,2694;0,2393;0,0022
0,2833;0,2393;0,0022
0,2833;0,2357;0,0021
0,2972;0,2357;0,0020
0,2972;0,2321;0,0020
0,3000;0,2321;0,0020
0,3000;0,2286;0,0020
0,3028;0,2286;0,0020
0,3028;0,2250;0,0020
0,3056;0,2250;0,0020
0,3056;0,2214;0,0019
0,3083;0,2214;0,0019
0,3083;0,2179;0,0019
0,3417;0,2179;0,0018
0,3417;0,2143;0,0018
0,3528;0,2143;0,0018
0,3528;0,2000;0,0017
0,3611;0,2000;0,0016
0,3611;0,1964;0,0016
0,4028;0,1964;0,0015
0,4028;0,1929;0,0015
0,4056;0,1929;0,0015
0,4056;0,1857;0,0015
0,4083;0,1857;0,0015
0,4083;0,1821;0,0015
0,4333;0,1821;0,0014
0,4333;0,1786;0,0014
0,4389;0,1786;0,0014
0,4389;0,1750;0,0014
0,4472;0,1750;0,0013
0,4472;0,1714;0,0013
0,4583;0,1714;0,0013
0,4583;0,1679;0,0013
0,4722;0,1679;0,0012
0,4722;0,1607;0,0012
0,4778;0,1607;0,0012
0,4778;0,1571;0,0012
0,5000;0,1571;0,0012
0,5000;0,1536;0,0012
0,5139;0,1536;0,0011
0,5139;0,1464;0,0011
0,5361;0,1464;0,0011
0,5361;0,1429;0,0011
0,5389;0,1429;0,0011
0,5389;0,1393;0,0010
0,5444;0,1393;0,0010
0,5444;0,1357;0,0010
0,6028;0,1357;0,0009
0,6028;0,1321;0,0009
0,6056;0,1321;0,0009
0,6056;0,1286;0,0009
0,6111;0,1286;0,0009
0,6111;0,1250;0,0008
0,6167;0,1250;0,0008
0,6167;0,1214;0,0008
0,6194;0,1214;0,0008
0,6194;0,1107;0,0008
0,6444;0,1107;0,0008
0,6444;0,1071;0,0007
0,6694;0,1071;0,0007
0,6694;0,1036;0,0007
0,7028;0,1036;0,0006
0,7028;0,1000;0,0006
0,7056;0,1000;0,0006
0,7056;0,0964;0,0006
0,7111;0,0964;0,0006
0,7111;0,0929;0,0006
0,7139;0,0929;0,0006
0,7139;0,0893;0,0006
0,7278;0,0893;0,0006
0,7278;0,0857;0,0006
0,7528;0,0857;0,0005
0,7528;0,0821;0,0005
0,7556;0,0821;0,0005
0,7556;0,0786;0,0005
0,8139;0,0786;0,0004
0,8139;0,0750;0,0004
0,8167;0,0750;0,0004
0,8167;0,0679;0,0003
0,8694;0,0679;0,0002
0,8694;0,0643;0,0002
0,8750;0,0643;0,0002
0,8750;0,0607;0,0002
0,9028;0,0607;0,0001
0,9028;0,0571;0,0001
1,0000;0,0571;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
