EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
8,1944;0;0,163888889;0,04;8;30;8;50;4;;;;;;;;;;;
8,1944;0;0,163888889;0,04;8;50;8;50;4;;;;;;;;;;;
8,1944;0;0,163888889;0,04;12;50;8;50;12;;;;;;;;;;;
8,3333;0;0,166666667;0,02;8;10;8;30;4;;;;;;;;;;;
8,3333;0;0,166666667;0,02;12;30;8;50;12;;;;;;;;;;;
8,3333;0;0,166666667;0,03;12;10;12;30;8;;;;;;;;;;;
8,3333;0;0,166666667;0,03;8;30;8;30;8;;;;;;;;;;;
8,3333;0;0,166666667;0,03;8;50;8;30;8;;;;;;;;;;;
8,4722;0;0,169444444;0,02;12;10;8;30;8;;;;;;;;;;;
8,4722;0;0,169444444;0,04;8;30;12;30;4;;;;;;;;;;;
8,4722;0;0,169444444;0,04;8;50;12;30;4;;;;;;;;;;;
8,6111;0;0,172222222;0,02;12;50;4;50;4;;;;;;;;;;;
8,6111;0;0,172222222;0,03;12;10;8;30;4;;;;;;;;;;;
8,6111;0;0,172222222;0,04;8;30;12;30;8;;;;;;;;;;;
8,6111;0;0,172222222;0,04;8;50;12;30;8;;;;;;;;;;;
8,75;0;0,175;0,02;12;30;4;50;4;;;;;;;;;;;
8,75;0;0,175;0,02;12;30;12;30;12;;;;;;;;;;;
8,75;0;0,175;0,02;12;50;12;30;12;;;;;;;;;;;
8,75;0;0,175;0,03;12;30;8;50;12;;;;;;;;;;;
8,75;0;0,175;0,04;8;30;8;50;8;;;;;;;;;;;
8,75;0;0,175;0,04;12;30;8;50;12;;;;;;;;;;;
8,75;0;0,175;0,04;8;50;8;30;4;;;;;;;;;;;
8,75;0;0,175;0,04;8;50;8;50;8;;;;;;;;;;;
8,8889;0;0,177777778;0,03;12;10;8;50;8;;;;;;;;;;;
8,8889;0;0,177777778;0,03;12;30;12;30;12;;;;;;;;;;;
8,8889;0;0,177777778;0,03;12;50;12;30;12;;;;;;;;;;;
8,8889;0;0,177777778;0,04;8;30;8;30;4;;;;;;;;;;;
9,0278;0;0,180555556;0,04;12;30;12;30;12;;;;;;;;;;;
9,0278;0;0,180555556;0,04;12;50;12;30;12;;;;;;;;;;;
9,1667;0;0,183333333;0,03;12;10;8;30;8;;;;;;;;;;;
9,1667;0;0,183333333;0,04;8;50;8;30;8;;;;;;;;;;;
9,3056;0;0,186111111;0,04;8;30;8;30;8;;;;;;;;;;;
9,4444;0;0,188888889;0,02;8;10;12;50;8;;;;;;;;;;;
9,4444;0;0,188888889;0,04;12;10;8;50;4;;;;;;;;;;;
