EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;
28,4722;0;0,569444444;0,5;12;20;;;;;;;;
29,4444;0;0,588888889;0,5;10;20;;;;;;;;
30,2778;0;0,605555556;0,3;12;10;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
30,4167;0;0,608333333;0,4;6;20;;;28,4722;0;0,569444444;0,5;12;20
30,5556;0;0,611111111;0,4;4;30;;;;;;;;
30,5556;0;0,611111111;0,5;6;30;;;;;;;;
30,8333;0;0,616666667;0,3;10;10;;;;;;;;
31,1111;0;0,622222222;0,5;8;20;;;Matches;total;129600;;;
31,3889;0;0,627777778;0,3;8;10;;;717;;;;;
31,6667;0;0,633333333;0,6;8;30;;;;;;;;
31,8056;0;0,636111111;0,2;4;10;;;;0,005532407;;;;
32,2222;0;0,644444444;0,6;12;20;;;;;;;;
32,3611;0;0,647222222;0,3;6;10;;;;;;;;
32,5;0;0,65;0,4;4;20;;;;;;;;
32,6389;0;0,652777778;0,5;6;20;;;;;;;;
32,9167;0;0,658333333;0,6;10;20;;;;;;;;
33,3333;0;0,666666667;0,4;12;10;;;;;;;;
33,3333;0;0,666666667;0,6;8;20;;;;;;;;
33,4722;0;0,669444444;0,6;6;30;;;;;;;;
33,6111;0;0,672222222;0,5;4;30;;;;;;;;
33,75;0;0,675;0,3;4;10;;;;;;;;
33,75;0;0,675;0,4;10;10;;;;;;;;
34,1667;0;0,683333333;0,4;8;10;;;;;;;;
34,4444;0;0,688888889;0,6;6;20;;;;;;;;
34,7222;0;0,694444444;0,4;6;10;;;;;;;;
35;0;0,7;0,5;4;20;;;;;;;;
35,5556;0;0,711111111;0,6;4;40;;;;;;;;
35,8333;0;0,716666667;0,6;4;30;;;;;;;;
35,9722;0;0,719444444;0,5;12;10;;;;;;;;
36,1111;0;0,722222222;0,5;10;10;;;;;;;;
36,1111;0;0,722222222;0,6;4;20;;;;;;;;
36,3889;0;0,727777778;0,4;4;10;;;;;;;;
36,5278;0;0,730555556;0,5;8;10;;;;;;;;
37,0833;0;0,741666667;0,5;6;10;;;;;;;;
37,6389;0;0,752777778;0,6;8;10;;;;;;;;
37,6389;0;0,752777778;0,6;10;10;;;;;;;;
37,6389;0;0,752777778;0,6;12;10;;;;;;;;
37,7778;0;0,755555556;0,5;4;10;;;;;;;;
38,0556;0;0,761111111;0,6;6;10;;;;;;;;
38,4722;0;0,769444444;0,6;4;10;;;;;;;;
29,3056;0,002777778;0,583333333;0,2;6;10;;;;;;;;
29,5833;0,002777778;0,588888889;0,3;4;20;;;;;;;;
30;0,002777778;0,597222222;0,6;10;30;;;;;;;;
32,9167;0,002777778;0,655555556;0,5;4;40;;;;;;;;
33,6111;0,002777778;0,669444444;0,6;4;60;;;;;;;;
35,1389;0,002777778;0,7;0,6;4;50;;;;;;;;
27,5;0,008333333;0,541666667;0,4;8;20;;;;;;;;
28,0556;0,008333333;0,552777778;0,5;8;30;;;;;;;;
28,8889;0,008333333;0,569444444;0,6;12;30;;;;;;;;
31,3889;0,008333333;0,619444444;0,5;4;50;;;;;;;;
32,7778;0,008333333;0,647222222;0,6;6;40;;;;;;;;
27,2222;0,011111111;0,533333333;0,2;8;10;;;;;;;;
30,5556;0,013888889;0,597222222;0,6;8;40;;;;;;;;
25,4167;0,016666667;0,491666667;0,4;10;20;;;;;;;;
30,5556;0,016666667;0,594444444;0,5;4;60;;;;;;;;
31,9444;0,016666667;0,622222222;0,6;6;50;;;;;;;;
23,1944;0,022222222;0,441666667;0,4;12;20;;;;;;;;
25,4167;0,022222222;0,486111111;0,3;6;20;;;;;;;;
26,1111;0,022222222;0,5;0,2;10;10;;;;;;;;
27,0833;0,022222222;0,519444444;0,4;6;30;;;;;;;;
29,3056;0,022222222;0,563888889;0,5;6;40;;;;;;;;
25,8333;0,025;0,491666667;0,5;10;30;;;;;;;;
30,9722;0,025;0,594444444;0,6;6;60;;;;;;;;
24,5833;0,027777778;0,463888889;0,2;12;10;;;;;;;;
28,8889;0,027777778;0,55;0,6;10;40;;;;;;;;
29,1667;0,030555556;0,552777778;0,6;8;50;;;;;;;;
29,3056;0,033333333;0,552777778;0,4;4;40;;;;;;;;
24,5833;0,041666667;0,45;0,5;12;30;;;;;;;;
23,6111;0,047222222;0,425;0,3;8;20;;;;;;;;
28,3333;0,047222222;0,519444444;0,5;6;50;;;;;;;;
26,25;0,052777778;0,472222222;0,5;8;40;;;;;;;;
26,8056;0,055555556;0,480555556;0,3;4;30;;;;;;;;
26,9444;0,058333333;0,480555556;0,6;12;40;;;;;;;;
25,2778;0,069444444;0,436111111;0,2;4;20;;;;;;;;
28,3333;0,069444444;0,497222222;0,4;4;50;;;;;;;;
24,8611;0,072222222;0,425;0,4;8;30;;;;;;;;
21,8056;0,080555556;0,355555556;0,3;10;20;;;;;;;;
28,0556;0,083333333;0,477777778;0,6;10;50;;;;;;;;
26,8056;0,088888889;0,447222222;0,5;6;60;;;;;;;;
30,5556;0,094444444;0,516666667;0,6;8;60;;;;;;;;
24,0278;0,1;0,380555556;0,5;10;40;;;;;;;;
22,0833;0,105555556;0,336111111;0,4;10;30;;;;;;;;
26,6667;0,108333333;0,425;0,1;4;10;;;;;;;;
26,1111;0,125;0,397222222;0,6;12;50;;;;;;;;
26,6667;0,133333333;0,4;0,4;6;40;;;;;;;;
25,9722;0,136111111;0,383333333;0,5;8;50;;;;;;;;
