EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;;
29,0278;0;0,580555556;20;8;20;;;;;;;;;;
29,5833;0;0,591666667;20;4;40;;;;;;;;;;
30;0;0,6;20;6;20;;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
30,8333;0;0,616666667;20;4;30;;;;Maþiausias EER (FMR = 0);29,0278;0;0,580555556;20;8;20
31,6667;0;0,633333333;20;4;20;;;;Maþiausias EER (FMR - bet koks);27,6389;0,002777778;0,55;10;4;10
31,9444;0;0,638888889;30;10;50;;;;;;;;;;
32,3611;0;0,647222222;30;8;50;;;;Matches;total;103680;;;;
32,6389;0;0,652777778;20;10;10;;;;;;560;;;;
32,6389;0;0,652777778;30;10;40;;;;;;;;;;
32,9167;0;0,658333333;20;8;10;;;;avg time =;0,005401235;;;;;
33,0556;0;0,661111111;30;8;40;;;;;;;;;;
33,1944;0;0,663888889;20;6;10;;;;;;;;;;
33,6111;0;0,672222222;30;10;30;;;;;;;;;;
33,75;0;0,675;30;8;30;;;;;;;;;;
33,75;0;0,675;30;6;60;;;;;;;;;;
33,8889;0;0,677777778;30;6;50;;;;;;;;;;
34,3056;0;0,686111111;30;6;40;;;;;;;;;;
34,7222;0;0,694444444;30;6;30;;;;;;;;;;
34,8611;0;0,697222222;30;10;20;;;;;;;;;;
35;0;0,7;20;4;10;;;;;;;;;;
35,4167;0;0,708333333;30;8;20;;;;;;;;;;
35,5556;0;0,711111111;30;6;20;;;;;;;;;;
35,8333;0;0,716666667;30;4;30;;;;;;;;;;
35,8333;0;0,716666667;30;4;40;;;;;;;;;;
35,8333;0;0,716666667;30;4;50;;;;;;;;;;
35,8333;0;0,716666667;40;10;50;;;;;;;;;;
35,8333;0;0,716666667;40;8;60;;;;;;;;;;
35,8333;0;0,716666667;40;10;60;;;;;;;;;;
35,9722;0;0,719444444;30;4;60;;;;;;;;;;
35,9722;0;0,719444444;40;8;50;;;;;;;;;;
36,1111;0;0,722222222;30;4;20;;;;;;;;;;
36,1111;0;0,722222222;40;10;40;;;;;;;;;;
36,25;0;0,725;40;8;40;;;;;;;;;;
36,3889;0;0,727777778;40;10;30;;;;;;;;;;
36,5278;0;0,730555556;30;10;10;;;;;;;;;;
36,5278;0;0,730555556;40;8;30;;;;;;;;;;
36,6667;0;0,733333333;40;6;50;;;;;;;;;;
36,6667;0;0,733333333;40;6;60;;;;;;;;;;
36,8056;0;0,736111111;40;10;20;;;;;;;;;;
36,9444;0;0,738888889;30;6;10;;;;;;;;;;
36,9444;0;0,738888889;30;8;10;;;;;;;;;;
36,9444;0;0,738888889;40;6;40;;;;;;;;;;
37,0833;0;0,741666667;40;8;20;;;;;;;;;;
37,0833;0;0,741666667;40;6;30;;;;;;;;;;
37,2222;0;0,744444444;50;10;50;;;;;;;;;;
37,2222;0;0,744444444;50;10;60;;;;;;;;;;
37,3611;0;0,747222222;50;10;40;;;;;;;;;;
37,5;0;0,75;40;6;20;;;;;;;;;;
37,5;0;0,75;50;8;50;;;;;;;;;;
37,5;0;0,75;50;8;60;;;;;;;;;;
37,6389;0;0,752777778;40;4;50;;;;;;;;;;
37,6389;0;0,752777778;50;8;40;;;;;;;;;;
37,7778;0;0,755555556;40;4;60;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;;;;;;;;;;
37,9167;0;0,758333333;40;4;30;;;;;;;;;;
37,9167;0;0,758333333;40;4;40;;;;;;;;;;
37,9167;0;0,758333333;50;10;30;;;;;;;;;;
37,9167;0;0,758333333;50;6;50;;;;;;;;;;
37,9167;0;0,758333333;50;6;60;;;;;;;;;;
38,0556;0;0,761111111;50;10;20;;;;;;;;;;
