GDTHR;EER;FMR;FNMR
TRESHOLD;21;GlobAngThr;27
0;38,8889;0;0,777777778
1;38,0556;0;0,761111111
2;30,9722;0;0,619444444
3;26,6667;0,002777778;0,530555556
4;24,7222;0,005555556;0,488888889
5;23,3333;0,019444444;0,447222222
6;22,6389;0,030555556;0,422222222
7;22,3611;0,041666667;0,405555556
8;22,6389;0,063888889;0,388888889
9;22,0833;0,077777778;0,363888889
10;22,9167;0,102777778;0,355555556
11;23,0556;0,113888889;0,347222222
12;23,6111;0,133333333;0,338888889
13;23,75;0,141666667;0,333333333
14;24,3056;0,158333333;0,327777778
15;24,3056;0,166666667;0,319444444
16;24,4444;0,180555556;0,308333333
17;25,2778;0,2;0,305555556
18;26,25;0,219444444;0,305555556
19;26,8056;0,233333333;0,302777778
