EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;
27,0833;0;0,541666667;10;6;10;;;;;;;;
27,6389;0;0,552777778;30;8;20;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
28,6111;0;0,572222222;30;4;50;;Maþiausias EER (FMR = 0);27,6389;0;0,552777778;30;8;20
28,75;0;0,575;10;4;10;;Maþiausias EER (FMR - bet koks);24,5833;0,002777778;0,488888889;20;6;20
29,1667;0;0,583333333;20;10;10;;;;;;;;
29,5833;0;0,591666667;40;10;30;;;;;;;;
30,2778;0;0,605555556;30;4;40;;Matches;total;103680;;;;
30,5556;0;0,611111111;20;8;10;;259;;;;;;
30,5556;0;0,611111111;40;8;30;;;;;;;;
30,6944;0;0,613888889;30;6;20;;average;0,002498071;;;;;
31,25;0;0,625;50;10;60;;;;;;;;
31,8056;0;0,636111111;30;4;30;;;;;;;;
32,5;0;0,65;40;10;20;;;;;;;;
32,7778;0;0,655555556;50;10;50;;;;;;;;
33,0556;0;0,661111111;20;6;10;;;;;;;;
33,0556;0;0,661111111;40;6;30;;;;;;;;
33,3333;0;0,666666667;50;10;40;;;;;;;;
33,3333;0;0,666666667;50;8;60;;;;;;;;
33,75;0;0,675;40;8;20;;;;;;;;
34,1667;0;0,683333333;30;4;20;;;;;;;;
34,5833;0;0,691666667;50;8;50;;;;;;;;
34,8611;0;0,697222222;20;4;10;;;;;;;;
35;0;0,7;30;10;10;;;;;;;;
35;0;0,7;40;4;60;;;;;;;;
35,4167;0;0,708333333;40;6;20;;;;;;;;
35,5556;0;0,711111111;30;8;10;;;;;;;;
35,5556;0;0,711111111;50;10;30;;;;;;;;
35,5556;0;0,711111111;50;8;40;;;;;;;;
35,6944;0;0,713888889;40;4;50;;;;;;;;
36,3889;0;0,727777778;50;6;60;;;;;;;;
36,5278;0;0,730555556;60;10;60;;;;;;;;
36,6667;0;0,733333333;30;6;10;;;;;;;;
36,6667;0;0,733333333;40;4;40;;;;;;;;
36,6667;0;0,733333333;50;8;30;;;;;;;;
36,9444;0;0,738888889;50;6;50;;;;;;;;
37,0833;0;0,741666667;60;10;50;;;;;;;;
37,2222;0;0,744444444;50;10;20;;;;;;;;
37,2222;0;0,744444444;60;8;60;;;;;;;;
37,3611;0;0,747222222;40;4;30;;;;;;;;
37,3611;0;0,747222222;50;6;40;;;;;;;;
37,3611;0;0,747222222;60;10;40;;;;;;;;
37,6389;0;0,752777778;60;8;50;;;;;;;;
37,7778;0;0,755555556;50;8;20;;;;;;;;
37,7778;0;0,755555556;50;6;30;;;;;;;;
38,0556;0;0,761111111;40;10;10;;;;;;;;
38,0556;0;0,761111111;50;4;60;;;;;;;;
38,1944;0;0,763888889;30;4;10;;;;;;;;
38,1944;0;0,763888889;40;4;20;;;;;;;;
38,1944;0;0,763888889;60;8;40;;;;;;;;
38,3333;0;0,766666667;40;6;10;;;;;;;;
38,3333;0;0,766666667;40;8;10;;;;;;;;
