EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
14,1667;0;0,283333333;0,03;12;30;12;50;8;;;;;;;;;;;
14,3056;0;0,286111111;0,04;12;50;8;50;4;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount
14,4444;0;0,288888889;0,02;12;30;12;30;8;;Maþiausias EER (FMR = 0);14,1667;0;0,283333333;0,03;12;30;12;50;8
14,4444;0;0,288888889;0,02;12;50;12;30;8;;Maþiausias EER (FMR - bet koks);12,5;0,002777778;0,247222222;0,03;12;30;8;50;4
14,5833;0;0,291666667;0,04;12;30;8;50;4;;;;;;;;;;;
15,1389;0;0,302777778;0,02;12;10;8;50;4;;Matches;total;524880;;;;;;;
15,1389;0;0,302777778;0,04;12;50;12;50;8;;total;time;723;;;;;;;
15,4167;0;0,308333333;0,04;12;30;12;50;8;;;;;;;;;;;
15,5556;0;0,311111111;0,02;8;30;8;30;4;;avg time =;0,001377458;vieno match;;;;;;;
15,5556;0;0,311111111;0,02;8;50;8;30;4;;;;;;;;;;;
15,8333;0;0,316666667;0,03;8;30;12;50;4;;;;;;;;;;;
15,8333;0;0,316666667;0,03;8;50;12;50;4;;;;;;;;;;;
15,8333;0;0,316666667;0,03;12;50;12;30;8;;;;;;;;;;;
15,9722;0;0,319444444;0,03;12;30;12;30;8;;;;;;;;;;;
16,1111;0;0,322222222;0,03;12;30;8;50;8;;;;;;;;;;;
16,1111;0;0,322222222;0,03;12;50;8;50;8;;;;;;;;;;;
16,3889;0;0,327777778;0,03;8;30;8;50;4;;;;;;;;;;;
16,3889;0;0,327777778;0,03;8;50;8;50;4;;;;;;;;;;;
16,6667;0;0,333333333;0,03;12;10;12;50;4;;;;;;;;;;;
17,0833;0;0,341666667;0,02;12;10;8;30;4;;;;;;;;;;;
17,0833;0;0,341666667;0,04;12;50;8;50;8;;;;;;;;;;;
17,0833;0;0,341666667;0,04;12;50;12;30;8;;;;;;;;;;;
17,2222;0;0,344444444;0,04;12;30;12;30;8;;;;;;;;;;;
17,3611;0;0,347222222;0,04;12;30;8;50;8;;;;;;;;;;;
17,3611;0;0,347222222;0,04;8;50;12;50;4;;;;;;;;;;;
17,3611;0;0,347222222;0,04;12;50;8;30;4;;;;;;;;;;;
17,5;0;0,35;0,04;8;30;12;50;4;;;;;;;;;;;
17,5;0;0,35;0,04;12;30;8;30;4;;;;;;;;;;;
