Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 9,47500
EER(%):; 20,774
FMR100(%):; 51,429
FMR1000(%):; 58,929
ZeroFmr(%):; 58,929
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,5893;0,4663
0,0028;0,5893;0,4635
0,0028;0,5464;0,4263
0,0056;0,5464;0,4263
0,0056;0,5321;0,4212
0,0083;0,5321;0,4200
0,0083;0,5143;0,4145
0,0111;0,5143;0,4136
0,0111;0,4464;0,3743
0,0139;0,4464;0,3731
0,0139;0,4250;0,3682
0,0194;0,4250;0,3643
0,0194;0,4107;0,3593
0,0278;0,4107;0,3547
0,0278;0,4036;0,3496
0,0306;0,4036;0,3485
0,0306;0,4000;0,3471
0,0333;0,4000;0,3456
0,0333;0,3786;0,3313
0,0361;0,3786;0,3313
0,0361;0,3643;0,3310
0,0417;0,3643;0,3308
0,0417;0,3607;0,3306
0,0500;0,3607;0,3301
0,0500;0,3536;0,3231
0,0528;0,3536;0,3212
0,0528;0,3464;0,3185
0,0556;0,3464;0,3180
0,0556;0,3429;0,3179
0,0583;0,3429;0,3162
0,0583;0,3321;0,3127
0,0694;0,3321;0,3101
0,0694;0,3214;0,3055
0,0750;0,3214;0,3028
0,0750;0,3143;0,3011
0,0833;0,3143;0,2954
0,0833;0,3107;0,2948
0,0917;0,3107;0,2901
0,0917;0,3036;0,2838
0,1111;0,3036;0,2799
0,1111;0,3000;0,2798
0,1139;0,3000;0,2795
0,1139;0,2929;0,2780
0,1194;0,2929;0,2772
0,1194;0,2893;0,2753
0,1278;0,2893;0,2725
0,1278;0,2857;0,2722
0,1361;0,2857;0,2708
0,1361;0,2750;0,2699
0,1389;0,2750;0,2692
0,1389;0,2679;0,2671
0,1444;0,2679;0,2646
0,1444;0,2607;0,2633
0,1639;0,2607;0,2573
0,1639;0,2571;0,2573
0,1722;0,2571;0,2558
0,1722;0,2536;0,2555
0,1750;0,2536;0,2552
0,1750;0,2500;0,2488
0,1778;0,2500;0,2486
0,1778;0,2393;0,2485
0,1833;0,2393;0,2484
0,1833;0,2357;0,2483
0,1861;0,2357;0,2483
0,1861;0,2286;0,2482
0,1889;0,2286;0,2482
0,1889;0,2250;0,2481
0,1917;0,2250;0,2481
0,1917;0,2214;0,2481
0,1944;0,2214;0,2480
0,1944;0,2179;0,2480
0,2056;0,2179;0,2385
0,2056;0,2107;0,2383
0,2083;0,2107;0,2383
0,2083;0,2071;0,2361
0,2111;0,2071;0,2359
0,2111;0,1964;0,2340
0,2389;0,1964;0,2288
0,2389;0,1929;0,2288
0,2444;0,1929;0,2268
0,2444;0,1857;0,2267
0,2472;0,1857;0,2259
0,2472;0,1821;0,2256
0,2500;0,1821;0,2244
0,2500;0,1786;0,2243
0,2694;0,1786;0,2163
0,2694;0,1750;0,2156
0,2778;0,1750;0,2128
0,2778;0,1679;0,2125
0,2806;0,1679;0,2125
0,2806;0,1643;0,2112
0,3000;0,1643;0,2068
0,3000;0,1607;0,2067
0,3111;0,1607;0,2043
0,3111;0,1571;0,2043
0,3167;0,1571;0,2038
0,3167;0,1536;0,2034
0,3444;0,1536;0,1982
0,3444;0,1500;0,1981
0,3694;0,1500;0,1872
0,3694;0,1464;0,1861
0,4194;0,1464;0,1752
0,4194;0,1429;0,1751
0,4222;0,1429;0,1749
0,4222;0,1357;0,1729
0,4250;0,1357;0,1729
0,4250;0,1321;0,1727
0,4417;0,1321;0,1706
0,4417;0,1286;0,1701
0,4639;0,1286;0,1654
0,4639;0,1250;0,1654
0,4667;0,1250;0,1654
0,4667;0,1214;0,1654
0,4833;0,1214;0,1651
0,4833;0,1179;0,1627
0,5194;0,1179;0,1587
0,5194;0,1143;0,1587
0,5444;0,1143;0,1553
0,5444;0,1107;0,1550
0,5694;0,1107;0,1526
0,5694;0,1071;0,1524
0,5889;0,1071;0,1488
0,5889;0,1000;0,1471
0,6111;0,1000;0,1452
0,6111;0,0929;0,1423
0,6167;0,0929;0,1421
0,6167;0,0893;0,1420
0,6389;0,0893;0,1417
0,6389;0,0857;0,1417
0,6778;0,0857;0,1323
0,6778;0,0821;0,1323
0,6861;0,0821;0,1322
0,6861;0,0750;0,1305
0,6889;0,0750;0,1297
0,6889;0,0714;0,1296
0,6917;0,0714;0,1294
0,6917;0,0679;0,1294
0,7111;0,0679;0,1272
0,7111;0,0643;0,1271
0,7306;0,0643;0,1240
0,7306;0,0607;0,1240
0,7556;0,0607;0,1213
0,7556;0,0571;0,1204
0,7611;0,0571;0,1195
0,7611;0,0536;0,1191
0,7694;0,0536;0,1177
0,7694;0,0500;0,1170
0,8722;0,0500;0,1044
0,8722;0,0464;0,1043
0,8778;0,0464;0,1027
0,8778;0,0429;0,1018
0,8889;0,0429;0,0993
0,8889;0,0393;0,0993
0,9000;0,0393;0,0972
0,9000;0,0357;0,0968
0,9056;0,0357;0,0961
0,9056;0,0286;0,0960
0,9111;0,0286;0,0945
0,9111;0,0250;0,0943
0,9333;0,0250;0,0828
0,9333;0,0214;0,0827
0,9444;0,0214;0,0785
0,9444;0,0179;0,0784
0,9500;0,0179;0,0764
0,9500;0,0143;0,0764
0,9611;0,0143;0,0735
0,9611;0,0107;0,0735
0,9806;0,0107;0,0634
0,9806;0,0071;0,0623
0,9944;0,0071;0,0433
0,9944;0,0036;0,0356
1,0000;0,0036;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
