Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 8,26406
EER(%):; 27,778
FMR100(%):; 68,571
FMR1000(%):; 74,286
ZeroFmr(%):; 74,286
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,7429;0,5672
0,0028;0,7429;0,5665
0,0028;0,7036;0,5355
0,0056;0,7036;0,5344
0,0056;0,6964;0,5299
0,0083;0,6964;0,5295
0,0083;0,6857;0,5249
0,0111;0,6857;0,5240
0,0111;0,6429;0,4964
0,0139;0,6429;0,4959
0,0139;0,6214;0,4803
0,0167;0,6214;0,4747
0,0167;0,6000;0,4669
0,0250;0,6000;0,4596
0,0250;0,5607;0,4366
0,0278;0,5607;0,4303
0,0278;0,5571;0,4254
0,0306;0,5571;0,4251
0,0306;0,5321;0,4179
0,0333;0,5321;0,4170
0,0333;0,5286;0,4154
0,0361;0,5286;0,4135
0,0361;0,5143;0,4048
0,0417;0,5143;0,4039
0,0417;0,5107;0,4015
0,0444;0,5107;0,4003
0,0444;0,5036;0,3967
0,0472;0,5036;0,3965
0,0472;0,5000;0,3917
0,0500;0,5000;0,3914
0,0500;0,4964;0,3893
0,0528;0,4964;0,3876
0,0528;0,4929;0,3867
0,0556;0,4929;0,3861
0,0556;0,4821;0,3822
0,0639;0,4821;0,3781
0,0639;0,4750;0,3740
0,0667;0,4750;0,3725
0,0667;0,4714;0,3716
0,0722;0,4714;0,3711
0,0722;0,4679;0,3707
0,0778;0,4679;0,3689
0,0778;0,4536;0,3649
0,0806;0,4536;0,3648
0,0806;0,4500;0,3647
0,0861;0,4500;0,3635
0,0861;0,4357;0,3583
0,0972;0,4357;0,3550
0,0972;0,4214;0,3520
0,1083;0,4214;0,3495
0,1083;0,4179;0,3473
0,1139;0,4179;0,3464
0,1139;0,4143;0,3456
0,1167;0,4143;0,3448
0,1167;0,4000;0,3424
0,1222;0,4000;0,3407
0,1222;0,3893;0,3381
0,1333;0,3893;0,3308
0,1333;0,3857;0,3306
0,1361;0,3857;0,3305
0,1361;0,3821;0,3303
0,1417;0,3821;0,3302
0,1417;0,3786;0,3302
0,1472;0,3786;0,3301
0,1472;0,3679;0,3253
0,1528;0,3679;0,3246
0,1528;0,3643;0,3243
0,1639;0,3643;0,3179
0,1639;0,3607;0,3176
0,1694;0,3607;0,3168
0,1694;0,3571;0,3149
0,1750;0,3571;0,3132
0,1750;0,3500;0,3117
0,1917;0,3500;0,3079
0,1917;0,3429;0,3052
0,1944;0,3429;0,3051
0,1944;0,3393;0,3040
0,2056;0,3393;0,3014
0,2056;0,3357;0,3010
0,2111;0,3357;0,2977
0,2111;0,3321;0,2975
0,2139;0,3321;0,2973
0,2139;0,3286;0,2946
0,2333;0,3286;0,2896
0,2333;0,3250;0,2892
0,2361;0,3250;0,2886
0,2361;0,3214;0,2881
0,2417;0,3214;0,2875
0,2417;0,3179;0,2875
0,2583;0,3179;0,2830
0,2583;0,2929;0,2792
0,2667;0,2929;0,2766
0,2667;0,2821;0,2750
0,2806;0,2821;0,2717
0,2806;0,2750;0,2703
0,2861;0,2750;0,2701
0,2861;0,2679;0,2685
0,2889;0,2679;0,2682
0,2889;0,2643;0,2675
0,2917;0,2643;0,2673
0,2917;0,2571;0,2671
0,2972;0,2571;0,2668
0,2972;0,2536;0,2665
0,3056;0,2536;0,2644
0,3056;0,2500;0,2643
0,3139;0,2500;0,2627
0,3139;0,2393;0,2624
0,3417;0,2393;0,2603
0,3417;0,2321;0,2587
0,3611;0,2321;0,2533
0,3611;0,2286;0,2484
0,3694;0,2286;0,2479
0,3694;0,2250;0,2478
0,3806;0,2250;0,2475
0,3806;0,2214;0,2475
0,3917;0,2214;0,2474
0,3917;0,2179;0,2438
0,3972;0,2179;0,2423
0,3972;0,2143;0,2422
0,4111;0,2143;0,2382
0,4111;0,2107;0,2366
0,4167;0,2107;0,2362
0,4167;0,2071;0,2361
0,4222;0,2071;0,2316
0,4222;0,2036;0,2308
0,4278;0,2036;0,2288
0,4278;0,2000;0,2287
0,4472;0,2000;0,2251
0,4472;0,1964;0,2249
0,4528;0,1964;0,2237
0,4528;0,1929;0,2227
0,4611;0,1929;0,2219
0,4611;0,1857;0,2208
0,4694;0,1857;0,2202
0,4694;0,1821;0,2201
0,4972;0,1821;0,2156
0,4972;0,1714;0,2153
0,5056;0,1714;0,2144
0,5056;0,1643;0,2142
0,5083;0,1643;0,2142
0,5083;0,1571;0,2127
0,5250;0,1571;0,2093
0,5250;0,1464;0,2087
0,5389;0,1464;0,2066
0,5389;0,1393;0,2050
0,5472;0,1393;0,2039
0,5472;0,1321;0,1988
0,5528;0,1321;0,1986
0,5528;0,1214;0,1985
0,5611;0,1214;0,1982
0,5611;0,1179;0,1982
0,5639;0,1179;0,1981
0,5639;0,1071;0,1980
0,6028;0,1071;0,1903
0,6028;0,1036;0,1895
0,6139;0,1036;0,1882
0,6139;0,1000;0,1874
0,6167;0,1000;0,1859
0,6167;0,0929;0,1855
0,6194;0,0929;0,1838
0,6194;0,0893;0,1837
0,6222;0,0893;0,1837
0,6222;0,0857;0,1834
0,6306;0,0857;0,1827
0,6306;0,0821;0,1823
0,6333;0,0821;0,1805
0,6333;0,0750;0,1802
0,6500;0,0750;0,1775
0,6500;0,0714;0,1753
0,6639;0,0714;0,1725
0,6639;0,0679;0,1723
0,6750;0,0679;0,1712
0,6750;0,0607;0,1696
0,6944;0,0607;0,1653
0,6944;0,0571;0,1653
0,7139;0,0571;0,1651
0,7139;0,0536;0,1651
0,7167;0,0536;0,1646
0,7167;0,0500;0,1604
0,7278;0,0500;0,1568
0,7278;0,0464;0,1566
0,7750;0,0464;0,1468
0,7750;0,0429;0,1467
0,7889;0,0429;0,1417
0,7889;0,0357;0,1415
0,8056;0,0357;0,1360
0,8056;0,0321;0,1353
0,8139;0,0321;0,1322
0,8139;0,0286;0,1321
0,8222;0,0286;0,1319
0,8222;0,0250;0,1301
0,8333;0,0250;0,1280
0,8333;0,0214;0,1280
0,8417;0,0214;0,1261
0,8417;0,0179;0,1243
0,8500;0,0179;0,1237
0,8500;0,0143;0,1210
0,9056;0,0143;0,1063
0,9056;0,0107;0,1062
0,9306;0,0107;0,0993
0,9306;0,0071;0,0993
0,9611;0,0071;0,0803
0,9611;0,0036;0,0761
1,0000;0,0036;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
