Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 2,29375
EER(%):; 8,988
FMR100(%):; 13,929
FMR1000(%):; 20,714
ZeroFmr(%):; 20,714
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,2071;32,0767
0,0028;0,2071;31,7451
0,0028;0,1786;29,4086
0,0056;0,1786;29,1807
0,0056;0,1464;27,5411
0,0083;0,1464;26,4575
0,0083;0,1393;25,7172
0,0139;0,1393;25,1447
0,0139;0,1321;24,6200
0,0167;0,1321;24,4768
0,0167;0,1286;24,1379
0,0306;0,1286;23,0205
0,0306;0,1250;22,7397
0,0389;0,1250;22,3607
0,0389;0,1214;22,3152
0,0417;0,1214;21,9971
0,0417;0,1071;21,4423
0,0639;0,1071;20,7020
0,0639;0,1036;20,3331
0,0667;0,1036;20,0111
0,0667;0,1000;19,9263
0,0833;0,1000;19,1390
0,0833;0,0964;19,0330
0,1194;0,0964;17,6777
0,1194;0,0929;17,4564
0,1472;0,0929;16,4288
0,1472;0,0893;16,3956
0,1500;0,0893;16,2221
0,1500;0,0857;16,2221
0,1944;0,0857;14,4707
0,1944;0,0821;14,3019
0,2778;0,0821;11,6376
0,2778;0,0786;11,3666
0,3111;0,0786;10,7335
0,3111;0,0750;10,6770
0,3250;0,0750;10,4530
0,3250;0,0714;10,3695
0,3333;0,0714;10,1388
0,3333;0,0679;10,0504
0,4167;0,0679;7,7876
0,4167;0,0643;7,7152
0,4417;0,0643;7,3193
0,4417;0,0607;7,2336
0,4528;0,0607;6,9886
0,4528;0,0571;6,9007
0,4556;0,0571;6,8199
0,4556;0,0536;6,7420
0,4722;0,0536;5,8113
0,4722;0,0500;5,7735
0,4944;0,0500;3,4300
0,4944;0,0464;2,3338
1,0000;0,0464;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
