Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,14688
EER(%):; 10,813
FMR100(%):; 25,714
FMR1000(%):; 28,214
ZeroFmr(%):; 28,214
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,2821;0,0150
0,0028;0,2821;0,0149
0,0028;0,2679;0,0143
0,0056;0,2679;0,0137
0,0056;0,2607;0,0136
0,0083;0,2607;0,0136
0,0083;0,2571;0,0134
0,0111;0,2571;0,0130
0,0111;0,2393;0,0125
0,0139;0,2393;0,0124
0,0139;0,2250;0,0117
0,0194;0,2250;0,0109
0,0194;0,2179;0,0108
0,0250;0,2179;0,0105
0,0250;0,2143;0,0102
0,0278;0,2143;0,0102
0,0278;0,2071;0,0098
0,0306;0,2071;0,0098
0,0306;0,2000;0,0096
0,0361;0,2000;0,0095
0,0361;0,1964;0,0094
0,0389;0,1964;0,0094
0,0389;0,1750;0,0086
0,0444;0,1750;0,0085
0,0444;0,1643;0,0082
0,0472;0,1643;0,0082
0,0472;0,1536;0,0078
0,0500;0,1536;0,0078
0,0500;0,1393;0,0077
0,0528;0,1393;0,0076
0,0528;0,1286;0,0075
0,0556;0,1286;0,0073
0,0556;0,1214;0,0070
0,0778;0,1214;0,0064
0,0778;0,1179;0,0063
0,0833;0,1179;0,0063
0,0833;0,1143;0,0062
0,1056;0,1143;0,0056
0,1056;0,1107;0,0056
0,1306;0,1107;0,0052
0,1306;0,1071;0,0052
0,1528;0,1071;0,0048
0,1528;0,1036;0,0048
0,1556;0,1036;0,0047
0,1556;0,1000;0,0047
0,1722;0,1000;0,0045
0,1722;0,0929;0,0044
0,1944;0,0929;0,0043
0,1944;0,0821;0,0040
0,2444;0,0821;0,0036
0,2444;0,0786;0,0036
0,2611;0,0786;0,0035
0,2611;0,0714;0,0034
0,2722;0,0714;0,0033
0,2722;0,0679;0,0033
0,3222;0,0679;0,0030
0,3222;0,0643;0,0030
0,3583;0,0643;0,0028
0,3583;0,0607;0,0028
0,3806;0,0607;0,0026
0,3806;0,0571;0,0026
0,3944;0,0571;0,0026
0,3944;0,0536;0,0025
0,4056;0,0536;0,0025
0,4056;0,0500;0,0025
0,4167;0,0500;0,0024
0,4167;0,0464;0,0024
0,4278;0,0464;0,0023
0,4278;0,0429;0,0023
0,4417;0,0429;0,0022
0,4417;0,0393;0,0022
0,4833;0,0393;0,0019
0,4833;0,0357;0,0019
0,5806;0,0357;0,0015
0,5806;0,0321;0,0015
0,6250;0,0321;0,0014
0,6250;0,0286;0,0014
0,7139;0,0286;0,0011
0,7139;0,0250;0,0011
0,7639;0,0250;0,0009
0,7639;0,0214;0,0009
0,7917;0,0214;0,0008
0,7917;0,0179;0,0008
0,9167;0,0179;0,0005
0,9167;0,0143;0,0005
0,9222;0,0143;0,0004
0,9222;0,0107;0,0004
0,9694;0,0107;0,0003
0,9694;0,0071;0,0003
1,0000;0,0071;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
