Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,70938
EER(%):; 6,052
FMR100(%):; 17,500
FMR1000(%):; 40,357
ZeroFmr(%):; 40,357
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,4036;0,0245
0,0028;0,4036;0,0239
0,0028;0,3643;0,0220
0,0056;0,3643;0,0219
0,0056;0,2893;0,0188
0,0083;0,2893;0,0187
0,0083;0,1750;0,0140
0,0111;0,1750;0,0137
0,0111;0,1607;0,0124
0,0139;0,1607;0,0124
0,0139;0,1500;0,0120
0,0194;0,1500;0,0119
0,0194;0,1286;0,0110
0,0222;0,1286;0,0109
0,0222;0,1250;0,0106
0,0278;0,1250;0,0105
0,0278;0,1143;0,0097
0,0306;0,1143;0,0096
0,0306;0,0929;0,0091
0,0389;0,0929;0,0085
0,0389;0,0857;0,0083
0,0472;0,0857;0,0079
0,0472;0,0821;0,0077
0,0500;0,0821;0,0076
0,0500;0,0786;0,0076
0,0583;0,0786;0,0072
0,0583;0,0750;0,0069
0,0639;0,0750;0,0068
0,0639;0,0571;0,0064
0,0667;0,0571;0,0064
0,0667;0,0536;0,0057
0,0972;0,0536;0,0052
0,0972;0,0464;0,0051
0,1583;0,0464;0,0045
0,1583;0,0429;0,0045
0,2389;0,0429;0,0032
0,2389;0,0393;0,0031
0,2944;0,0393;0,0028
0,2944;0,0357;0,0028
0,4278;0,0357;0,0022
0,4278;0,0321;0,0022
0,4944;0,0321;0,0019
0,4944;0,0286;0,0019
0,6417;0,0286;0,0015
0,6417;0,0250;0,0015
0,6583;0,0250;0,0014
0,6583;0,0214;0,0014
0,9167;0,0214;0,0006
0,9167;0,0179;0,0006
0,9222;0,0179;0,0006
0,9222;0,0143;0,0006
1,0000;0,0143;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
