Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 8,55625
EER(%):; 13,492
FMR100(%):; 21,786
FMR1000(%):; 26,071
ZeroFmr(%):; 26,071
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,2607;25,4925
0,0028;0,2607;25,2725
0,0028;0,2464;24,5049
0,0056;0,2464;24,4193
0,0056;0,2250;22,6779
0,0083;0,2250;22,6281
0,0083;0,2179;21,6060
0,0139;0,2179;21,2398
0,0139;0,2036;19,6760
0,0167;0,2036;19,6429
0,0167;0,2000;19,3548
0,0250;0,2000;18,9233
0,0250;0,1929;18,7317
0,0333;0,1929;17,5412
0,0333;0,1857;16,6856
0,0361;0,1857;16,6667
0,0361;0,1821;16,3956
0,0444;0,1821;15,4303
0,0444;0,1786;15,2890
0,0472;0,1786;15,0899
0,0472;0,1714;14,5679
0,0500;0,1714;14,4707
0,0500;0,1607;13,5434
0,0556;0,1607;13,4987
0,0556;0,1571;13,2599
0,0778;0,1571;11,2687
0,0778;0,1536;11,0702
0,0833;0,1536;10,7434
0,0833;0,1500;10,7211
0,0944;0,1500;9,8321
0,0944;0,1464;9,7590
0,1278;0,1464;9,1971
0,1278;0,1429;8,9087
0,1306;0,1429;8,8918
0,1306;0,1393;8,8561
0,1528;0,1393;8,4017
0,1528;0,1357;8,3992
0,1667;0,1357;7,8008
0,1667;0,1286;7,6937
0,2333;0,1286;5,4841
0,2333;0,1250;5,4393
0,2417;0,1250;5,2511
0,2417;0,1214;4,9814
0,2861;0,1214;2,6029
0,2861;0,1179;2,4515
0,3000;0,1179;2,2716
0,3000;0,1143;2,1354
1,0000;0,1143;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
