Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 0,77969
EER(%):; 9,683
FMR100(%):; 14,643
FMR1000(%):; 21,786
ZeroFmr(%):; 21,786
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,2179;0,0534
0,0028;0,2179;0,0517
0,0028;0,2107;0,0496
0,0056;0,2107;0,0484
0,0056;0,1607;0,0371
0,0083;0,1607;0,0368
0,0083;0,1464;0,0317
0,0139;0,1464;0,0313
0,0139;0,1357;0,0305
0,0167;0,1357;0,0305
0,0167;0,1321;0,0294
0,0194;0,1321;0,0281
0,0194;0,1286;0,0269
0,0333;0,1286;0,0240
0,0333;0,1250;0,0238
0,0389;0,1250;0,0234
0,0389;0,1179;0,0224
0,0444;0,1179;0,0214
0,0444;0,1107;0,0203
0,0556;0,1107;0,0196
0,0556;0,1036;0,0190
0,0750;0,1036;0,0178
0,0750;0,1000;0,0176
0,0972;0,1000;0,0167
0,0972;0,0964;0,0165
0,1306;0,0964;0,0144
0,1306;0,0929;0,0144
0,1472;0,0929;0,0135
0,1472;0,0893;0,0132
0,1583;0,0893;0,0128
0,1583;0,0857;0,0122
0,1750;0,0857;0,0120
0,1750;0,0750;0,0119
0,2194;0,0750;0,0112
0,2194;0,0714;0,0112
0,2306;0,0714;0,0110
0,2306;0,0679;0,0109
0,2583;0,0679;0,0103
0,2583;0,0643;0,0101
0,2639;0,0643;0,0100
0,2639;0,0607;0,0100
0,2750;0,0607;0,0097
0,2750;0,0571;0,0097
0,3417;0,0571;0,0089
0,3417;0,0500;0,0089
0,3556;0,0500;0,0087
0,3556;0,0464;0,0087
0,5361;0,0464;0,0061
0,5361;0,0429;0,0060
0,5944;0,0429;0,0054
0,5944;0,0393;0,0054
0,6028;0,0393;0,0052
0,6028;0,0357;0,0052
0,6250;0,0357;0,0051
0,6250;0,0321;0,0051
0,6556;0,0321;0,0048
0,6556;0,0286;0,0048
0,6583;0,0286;0,0047
0,6583;0,0250;0,0047
0,6667;0,0250;0,0046
0,6667;0,0214;0,0045
0,6972;0,0214;0,0041
0,6972;0,0179;0,0041
0,7028;0,0179;0,0040
0,7028;0,0143;0,0040
0,7111;0,0143;0,0040
0,7111;0,0107;0,0039
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
