Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 2,74844
EER(%):; 19,187
FMR100(%):; 38,214
FMR1000(%):; 66,071
ZeroFmr(%):; 66,071
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,6607;45,8751
0,0028;0,6607;45,3222
0,0028;0,3929;32,0842
0,0056;0,3929;32,0039
0,0056;0,3893;31,7776
0,0083;0,3893;31,6431
0,0083;0,3821;31,4270
0,0111;0,3821;31,2794
0,0111;0,3750;30,3566
0,0139;0,3750;30,2330
0,0139;0,3357;28,2137
0,0167;0,3357;28,1118
0,0167;0,3321;27,8371
0,0222;0,3321;27,5588
0,0222;0,3286;27,4347
0,0250;0,3286;27,4178
0,0250;0,3214;26,9375
0,0278;0,3214;26,8542
0,0278;0,3143;26,6106
0,0306;0,3143;26,5819
0,0306;0,3071;26,3837
0,0333;0,3071;26,2621
0,0333;0,2964;26,0003
0,0361;0,2964;25,7044
0,0361;0,2893;25,0214
0,0417;0,2893;24,7266
0,0417;0,2821;24,6520
0,0444;0,2821;24,5891
0,0444;0,2786;24,2752
0,0500;0,2786;23,7064
0,0500;0,2643;22,9049
0,0528;0,2643;22,5979
0,0528;0,2607;22,4562
0,0611;0,2607;22,2586
0,0611;0,2571;22,0807
0,0667;0,2571;21,9843
0,0667;0,2536;21,9480
0,0694;0,2536;21,8646
0,0694;0,2357;21,6217
0,0722;0,2357;21,4565
0,0722;0,2321;21,2693
0,0778;0,2321;21,0372
0,0778;0,2250;20,8718
0,0889;0,2250;20,1120
0,0889;0,2214;20,0862
0,1056;0,2214;18,9996
0,1056;0,2179;18,9875
0,1222;0,2179;18,7315
0,1222;0,2143;18,5380
0,1333;0,2143;18,2753
0,1333;0,2107;18,2746
0,1389;0,2107;18,2143
0,1389;0,2071;18,1855
0,1611;0,2071;17,5627
0,1611;0,2036;17,5582
0,1750;0,2036;17,1295
0,1750;0,2000;17,0995
0,1806;0,2000;16,9750
0,1806;0,1964;16,8214
0,1944;0,1964;15,8993
0,1944;0,1893;15,8348
0,2167;0,1893;15,4643
0,2167;0,1821;15,1542
0,2222;0,1821;14,9568
0,2222;0,1786;14,8807
0,2306;0,1786;14,5479
0,2306;0,1750;14,4976
0,2583;0,1750;14,0414
0,2583;0,1714;13,9258
0,2694;0,1714;13,7080
0,2694;0,1643;13,5332
0,2806;0,1643;13,2586
0,2806;0,1607;13,2585
0,2917;0,1607;13,0999
0,2917;0,1571;13,0709
0,2944;0,1571;12,9351
0,2944;0,1536;12,9180
0,3167;0,1536;12,2603
0,3167;0,1500;12,2400
0,3194;0,1500;12,1742
0,3194;0,1464;12,1418
0,3222;0,1464;12,1204
0,3222;0,1429;12,0103
0,3333;0,1429;11,6139
0,3333;0,1393;11,5972
0,3694;0,1393;10,4351
0,3694;0,1357;10,2268
0,4056;0,1357;8,9085
0,4056;0,1321;8,8584
1,0000;0,1321;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
