EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;
12,2222;0;0,244444444;20;10;20;;;;;;;;;
12,5;0;0,25;20;8;20;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
14,0278;0;0,280555556;20;6;20;;;Maþiausias EER (FMR = 0);12,2222;0;0,244444444;20;10;20
15;0;0,3;20;4;60;;;Maþiausias EER (FMR - bet koks);11,5278;0,002777778;0,227777778;20;10;30
15,4167;0;0,308333333;20;4;50;;;;;;;;;
15,9722;0;0,319444444;20;4;40;;;Matches;total;103680;;;;
16,3889;0;0,327777778;20;4;30;;;;;584;;;;
18,1944;0;0,363888889;20;4;20;;;;;;;;;
18,1944;0;0,363888889;30;10;60;;;avg time =;0,005632716;;;;;
18,6111;0;0,372222222;20;10;10;;;;;;;;;
18,75;0;0,375;30;10;50;;;;;;;;;
19,1667;0;0,383333333;20;8;10;;;;;;;;;
19,3056;0;0,386111111;30;10;40;;;;;;;;;
19,7222;0;0,394444444;30;10;30;;;;;;;;;
19,8611;0;0,397222222;30;8;60;;;;;;;;;
20,2778;0;0,405555556;30;8;50;;;;;;;;;
20,5556;0;0,411111111;20;6;10;;;;;;;;;
20,8333;0;0,416666667;30;8;40;;;;;;;;;
21,25;0;0,425;30;10;20;;;;;;;;;
21,3889;0;0,427777778;30;8;30;;;;;;;;;
21,5278;0;0,430555556;30;6;50;;;;;;;;;
21,5278;0;0,430555556;30;6;60;;;;;;;;;
21,9444;0;0,438888889;30;6;40;;;;;;;;;
22,3611;0;0,447222222;30;6;30;;;;;;;;;
22,6389;0;0,452777778;30;8;20;;;;;;;;;
23,3333;0;0,466666667;30;6;20;;;;;;;;;
23,8889;0;0,477777778;20;4;10;;;;;;;;;
25;0;0,5;30;4;60;;;;;;;;;
25,4167;0;0,508333333;30;4;50;;;;;;;;;
25,5556;0;0,511111111;30;4;40;;;;;;;;;
25,5556;0;0,511111111;40;10;60;;;;;;;;;
25,6944;0;0,513888889;40;10;50;;;;;;;;;
25,8333;0;0,516666667;40;10;40;;;;;;;;;
25,9722;0;0,519444444;30;4;30;;;;;;;;;
26,3889;0;0,527777778;40;10;30;;;;;;;;;
26,5278;0;0,530555556;40;8;60;;;;;;;;;
26,8056;0;0,536111111;30;4;20;;;;;;;;;
26,9444;0;0,538888889;30;10;10;;;;;;;;;
26,9444;0;0,538888889;40;8;40;;;;;;;;;
26,9444;0;0,538888889;40;8;50;;;;;;;;;
27,0833;0;0,541666667;40;8;30;;;;;;;;;
27,7778;0;0,555555556;30;8;10;;;;;;;;;
27,9167;0;0,558333333;40;10;20;;;;;;;;;
28,1944;0;0,563888889;40;8;20;;;;;;;;;
28,6111;0;0,572222222;40;6;60;;;;;;;;;
