EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;
22,3611;0;0,447222222;30;10;20;;;;;;;;
22,7778;0;0,455555556;30;6;30;;;;;;;;
23,75;0;0,475;10;10;10;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
23,75;0;0,475;20;4;20;;Maþiausias EER (FMR = 0);22,3611;0;0,447222222;30;10;20
23,8889;0;0,477777778;30;8;20;;Maþiausias EER (FMR - bet koks);21,25;0,002777778;0,422222222;30;8;30
24,0278;0;0,480555556;40;10;30;;;;;;;;
24,3056;0;0,486111111;40;8;40;;;;;;;;
24,7222;0;0,494444444;30;4;40;;Matches;total;103680;;;;
24,8611;0;0,497222222;10;8;10;;220;;;;;;
25;0;0,5;40;6;50;;;;;;;;
25,2778;0;0,505555556;30;6;20;;average;0,002121914;;;;;
25,9722;0;0,519444444;10;6;10;;;;;;;;
25,9722;0;0,519444444;40;8;30;;;;;;;;
25,9722;0;0,519444444;50;10;60;;;;;;;;
26,5278;0;0,530555556;20;10;10;;;;;;;;
26,6667;0;0,533333333;30;4;30;;;;;;;;
26,8056;0;0,536111111;40;6;40;;;;;;;;
27,2222;0;0,544444444;40;10;20;;;;;;;;
27,2222;0;0,544444444;50;10;50;;;;;;;;
27,3611;0;0,547222222;20;8;10;;;;;;;;
27,5;0;0,55;50;8;60;;;;;;;;
27,7778;0;0,555555556;40;6;30;;;;;;;;
28,1944;0;0,563888889;30;4;20;;;;;;;;
28,1944;0;0,563888889;40;8;20;;;;;;;;
28,3333;0;0,566666667;10;4;10;;;;;;;;
28,6111;0;0,572222222;20;6;10;;;;;;;;
28,6111;0;0,572222222;40;4;60;;;;;;;;
28,6111;0;0,572222222;50;8;50;;;;;;;;
28,8889;0;0,577777778;50;10;40;;;;;;;;
29,4444;0;0,588888889;50;6;60;;;;;;;;
30;0;0,6;50;10;30;;;;;;;;
30,1389;0;0,602777778;40;6;20;;;;;;;;
30,1389;0;0,602777778;50;8;40;;;;;;;;
30,2778;0;0,605555556;40;4;50;;;;;;;;
30,5556;0;0,611111111;20;4;10;;;;;;;;
30,6944;0;0,613888889;30;10;10;;;;;;;;
30,9722;0;0,619444444;40;4;40;;;;;;;;
31,1111;0;0,622222222;50;8;30;;;;;;;;
31,1111;0;0,622222222;50;6;50;;;;;;;;
31,6667;0;0,633333333;30;8;10;;;;;;;;
31,8056;0;0,636111111;40;4;30;;;;;;;;
32,0833;0;0,641666667;50;6;40;;;;;;;;
32,6389;0;0,652777778;30;6;10;;;;;;;;
33,0556;0;0,661111111;50;6;30;;;;;;;;
33,1944;0;0,663888889;50;10;20;;;;;;;;
33,1944;0;0,663888889;60;10;60;;;;;;;;
33,75;0;0,675;40;4;20;;;;;;;;
33,75;0;0,675;60;10;50;;;;;;;;
33,8889;0;0,677777778;50;8;20;;;;;;;;
34,1667;0;0,683333333;60;10;40;;;;;;;;
34,1667;0;0,683333333;60;8;60;;;;;;;;
34,4444;0;0,688888889;60;8;50;;;;;;;;
34,8611;0;0,697222222;60;8;40;;;;;;;;
35,1389;0;0,702777778;50;4;60;;;;;;;;
35,2778;0;0,705555556;40;10;10;;;;;;;;
35,2778;0;0,705555556;50;6;20;;;;;;;;
35,4167;0;0,708333333;30;4;10;;;;;;;;
35,4167;0;0,708333333;60;10;30;;;;;;;;
35,6944;0;0,713888889;40;8;10;;;;;;;;
35,6944;0;0,713888889;50;4;50;;;;;;;;
35,9722;0;0,719444444;60;8;30;;;;;;;;
35,9722;0;0,719444444;60;6;50;;;;;;;;
35,9722;0;0,719444444;60;6;60;;;;;;;;
36,3889;0;0,727777778;50;4;40;;;;;;;;
36,5278;0;0,730555556;50;4;30;;;;;;;;
36,5278;0;0,730555556;60;6;40;;;;;;;;
36,6667;0;0,733333333;60;10;20;;;;;;;;
36,9444;0;0,738888889;40;6;10;;;;;;;;
37,0833;0;0,741666667;60;6;30;;;;;;;;
37,2222;0;0,744444444;60;8;20;;;;;;;;
37,6389;0;0,752777778;50;4;20;;;;;;;;
37,7778;0;0,755555556;40;4;10;;;;;;;;
37,7778;0;0,755555556;60;6;20;;;;;;;;
