TRESHOLD;EER;FMR;FNMR
0;50;1;0
3;49,8611;0,997222222;0
6;39,5833;0,688888889;0,102777778
9;26,1111;0,277777778;0,244444444
12;24,1667;0,094444444;0,388888889
15;24,4444;0,025;0,463888889
18;25,9722;0,011111111;0,508333333
21;28,8889;0,005555556;0,572222222
