Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 1,85313
EER(%):; 20,317
FMR100(%):; 49,286
FMR1000(%):; 53,929
ZeroFmr(%):; 53,929
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,5393;0,0393
0,0028;0,5393;0,0390
0,0028;0,5071;0,0345
0,0056;0,5071;0,0337
0,0056;0,4929;0,0305
0,0111;0,4929;0,0300
0,0111;0,4857;0,0299
0,0139;0,4857;0,0292
0,0139;0,4643;0,0270
0,0167;0,4643;0,0268
0,0167;0,4179;0,0228
0,0194;0,4179;0,0226
0,0194;0,4036;0,0217
0,0222;0,4036;0,0214
0,0222;0,3893;0,0205
0,0250;0,3893;0,0204
0,0250;0,3786;0,0196
0,0278;0,3786;0,0194
0,0278;0,3750;0,0193
0,0306;0,3750;0,0192
0,0306;0,3571;0,0179
0,0333;0,3571;0,0178
0,0333;0,3464;0,0174
0,0417;0,3464;0,0172
0,0417;0,3321;0,0168
0,0472;0,3321;0,0167
0,0472;0,3250;0,0160
0,0639;0,3250;0,0156
0,0639;0,3179;0,0153
0,0667;0,3179;0,0151
0,0667;0,3143;0,0150
0,0694;0,3143;0,0150
0,0694;0,3071;0,0149
0,0722;0,3071;0,0148
0,0722;0,3036;0,0148
0,0806;0,3036;0,0147
0,0806;0,3000;0,0147
0,0833;0,3000;0,0147
0,0833;0,2964;0,0145
0,0944;0,2964;0,0143
0,0944;0,2929;0,0143
0,1028;0,2929;0,0142
0,1028;0,2857;0,0140
0,1167;0,2857;0,0136
0,1167;0,2821;0,0135
0,1250;0,2821;0,0134
0,1250;0,2679;0,0133
0,1278;0,2679;0,0132
0,1278;0,2536;0,0129
0,1361;0,2536;0,0127
0,1361;0,2500;0,0126
0,1500;0,2500;0,0122
0,1500;0,2393;0,0120
0,1583;0,2393;0,0118
0,1583;0,2357;0,0118
0,1694;0,2357;0,0116
0,1694;0,2321;0,0115
0,1722;0,2321;0,0115
0,1722;0,2286;0,0114
0,1833;0,2286;0,0112
0,1833;0,2250;0,0112
0,1972;0,2250;0,0110
0,1972;0,2214;0,0109
0,2000;0,2214;0,0108
0,2000;0,2143;0,0107
0,2028;0,2143;0,0106
0,2028;0,2036;0,0105
0,2139;0,2036;0,0104
0,2139;0,2000;0,0104
0,2417;0,2000;0,0100
0,2417;0,1964;0,0099
0,2500;0,1964;0,0096
0,2500;0,1929;0,0096
0,2833;0,1929;0,0093
0,2833;0,1857;0,0093
0,3028;0,1857;0,0091
0,3028;0,1821;0,0091
0,3167;0,1821;0,0088
0,3167;0,1786;0,0088
0,3389;0,1786;0,0083
0,3389;0,1750;0,0083
0,3972;0,1750;0,0077
0,3972;0,1714;0,0076
0,4083;0,1714;0,0076
0,4083;0,1607;0,0074
0,4167;0,1607;0,0073
0,4167;0,1571;0,0073
0,4278;0,1571;0,0073
0,4278;0,1500;0,0072
0,4333;0,1500;0,0072
0,4333;0,1393;0,0072
0,4444;0,1393;0,0071
0,4444;0,1357;0,0071
0,4722;0,1357;0,0068
0,4722;0,1321;0,0068
0,4778;0,1321;0,0068
0,4778;0,1286;0,0068
0,4833;0,1286;0,0067
0,4833;0,1250;0,0067
0,4944;0,1250;0,0066
0,4944;0,1214;0,0066
0,4972;0,1214;0,0065
0,4972;0,1143;0,0064
0,5222;0,1143;0,0063
0,5222;0,1107;0,0063
0,5306;0,1107;0,0063
0,5306;0,1071;0,0063
0,5778;0,1071;0,0059
0,5778;0,1036;0,0059
0,6000;0,1036;0,0058
0,6000;0,1000;0,0058
0,6028;0,1000;0,0058
0,6028;0,0964;0,0057
0,6111;0,0964;0,0056
0,6111;0,0893;0,0056
0,6306;0,0893;0,0054
0,6306;0,0857;0,0054
0,6972;0,0857;0,0048
0,6972;0,0786;0,0048
0,7083;0,0786;0,0048
0,7083;0,0750;0,0047
0,7111;0,0750;0,0047
0,7111;0,0679;0,0047
0,7583;0,0679;0,0042
0,7583;0,0643;0,0042
0,7694;0,0643;0,0041
0,7694;0,0607;0,0041
0,7806;0,0607;0,0040
0,7806;0,0571;0,0040
0,7972;0,0571;0,0039
0,7972;0,0536;0,0039
0,8417;0,0536;0,0036
0,8417;0,0500;0,0035
0,8500;0,0500;0,0035
0,8500;0,0429;0,0035
0,8778;0,0429;0,0032
0,8778;0,0393;0,0032
0,8806;0,0393;0,0032
0,8806;0,0357;0,0031
0,8889;0,0357;0,0030
0,8889;0,0321;0,0030
0,8917;0,0321;0,0030
0,8917;0,0286;0,0030
0,8972;0,0286;0,0029
0,8972;0,0250;0,0029
0,9028;0,0250;0,0029
0,9028;0,0179;0,0028
0,9111;0,0179;0,0027
0,9111;0,0143;0,0027
0,9139;0,0143;0,0026
0,9139;0,0107;0,0026
0,9306;0,0107;0,0024
0,9306;0,0036;0,0024
0,9472;0,0036;0,0020
0,9472;0,0000;0,0019
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
