Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 5,87813
EER(%):; 15,853
FMR100(%):; 41,429
FMR1000(%):; 45,000
ZeroFmr(%):; 45,000
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,4500;0,0127
0,0028;0,4500;0,0123
0,0028;0,4286;0,0116
0,0083;0,4286;0,0113
0,0083;0,4143;0,0111
0,0111;0,4143;0,0108
0,0111;0,3786;0,0098
0,0139;0,3786;0,0098
0,0139;0,3750;0,0097
0,0167;0,3750;0,0096
0,0167;0,3714;0,0096
0,0222;0,3714;0,0094
0,0222;0,3607;0,0091
0,0278;0,3607;0,0090
0,0278;0,3393;0,0085
0,0333;0,3393;0,0084
0,0333;0,3357;0,0083
0,0361;0,3357;0,0083
0,0361;0,3179;0,0081
0,0417;0,3179;0,0080
0,0417;0,3036;0,0078
0,0472;0,3036;0,0077
0,0472;0,2964;0,0076
0,0556;0,2964;0,0075
0,0556;0,2821;0,0074
0,0639;0,2821;0,0071
0,0639;0,2607;0,0068
0,0694;0,2607;0,0067
0,0694;0,2571;0,0067
0,0722;0,2571;0,0066
0,0722;0,2536;0,0066
0,0750;0,2536;0,0066
0,0750;0,2500;0,0065
0,0778;0,2500;0,0065
0,0778;0,2357;0,0063
0,0889;0,2357;0,0062
0,0889;0,2286;0,0061
0,1028;0,2286;0,0057
0,1028;0,2214;0,0056
0,1139;0,2214;0,0054
0,1139;0,2143;0,0053
0,1222;0,2143;0,0052
0,1222;0,2071;0,0052
0,1278;0,2071;0,0052
0,1278;0,2000;0,0052
0,1417;0,2000;0,0050
0,1417;0,1857;0,0049
0,1444;0,1857;0,0049
0,1444;0,1821;0,0048
0,1472;0,1821;0,0048
0,1472;0,1750;0,0048
0,1528;0,1750;0,0047
0,1528;0,1643;0,0047
0,1750;0,1643;0,0045
0,1750;0,1607;0,0045
0,1778;0,1607;0,0044
0,1778;0,1571;0,0044
0,1917;0,1571;0,0043
0,1917;0,1500;0,0042
0,1972;0,1500;0,0041
0,1972;0,1429;0,0040
0,2056;0,1429;0,0040
0,2056;0,1393;0,0039
0,2361;0,1393;0,0037
0,2361;0,1321;0,0036
0,2444;0,1321;0,0036
0,2444;0,1286;0,0036
0,2472;0,1286;0,0036
0,2472;0,1214;0,0036
0,2500;0,1214;0,0036
0,2500;0,1179;0,0036
0,2639;0,1179;0,0035
0,2639;0,1143;0,0035
0,2806;0,1143;0,0034
0,2806;0,1107;0,0034
0,2861;0,1107;0,0034
0,2861;0,1071;0,0034
0,2972;0,1071;0,0032
0,2972;0,1000;0,0031
0,3028;0,1000;0,0031
0,3028;0,0929;0,0031
0,3056;0,0929;0,0031
0,3056;0,0893;0,0031
0,3222;0,0893;0,0030
0,3222;0,0857;0,0029
0,3250;0,0857;0,0029
0,3250;0,0821;0,0029
0,3500;0,0821;0,0028
0,3500;0,0786;0,0028
0,3694;0,0786;0,0026
0,3694;0,0750;0,0026
0,3722;0,0750;0,0026
0,3722;0,0714;0,0026
0,3833;0,0714;0,0025
0,3833;0,0679;0,0025
0,3944;0,0679;0,0025
0,3944;0,0643;0,0025
0,3972;0,0643;0,0024
0,3972;0,0607;0,0024
0,4139;0,0607;0,0024
0,4139;0,0571;0,0024
0,4694;0,0571;0,0021
0,4694;0,0536;0,0021
0,4806;0,0536;0,0020
0,4806;0,0464;0,0020
0,4944;0,0464;0,0020
0,4944;0,0429;0,0020
0,5389;0,0429;0,0018
0,5389;0,0393;0,0018
0,5722;0,0393;0,0017
0,5722;0,0357;0,0016
0,6500;0,0357;0,0013
0,6500;0,0321;0,0013
0,7306;0,0321;0,0009
0,7306;0,0286;0,0009
0,7611;0,0286;0,0008
0,7611;0,0250;0,0008
0,8000;0,0250;0,0007
0,8000;0,0214;0,0007
0,8056;0,0214;0,0007
0,8056;0,0179;0,0006
0,8194;0,0179;0,0006
0,8194;0,0143;0,0006
0,8222;0,0143;0,0006
0,8222;0,0107;0,0006
0,8389;0,0107;0,0006
0,8389;0,0071;0,0006
0,8694;0,0071;0,0005
0,8694;0,0036;0,0005
0,9222;0,0036;0,0003
0,9222;0,0000;0,0003
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
