Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 15,48906
EER(%):; 30,536
FMR100(%):; 53,571
FMR1000(%):; 57,857
ZeroFmr(%):; 57,857
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,5786;25,5814
0,0028;0,5786;25,0160
0,0028;0,5429;22,7185
0,0083;0,5429;22,0193
0,0083;0,5357;21,5487
0,0139;0,5357;21,3201
0,0139;0,5321;21,1516
0,0167;0,5321;20,8013
0,0167;0,5286;20,7289
0,0194;0,5286;20,6598
0,0194;0,5250;20,4909
0,0222;0,5250;20,3578
0,0222;0,5071;19,7212
0,0278;0,5071;19,3082
0,0278;0,5036;19,2629
0,0306;0,5036;19,0554
0,0306;0,4893;18,8485
0,0444;0,4893;17,7790
0,0444;0,4857;17,7705
0,0472;0,4857;17,7116
0,0472;0,4786;17,5820
0,0500;0,4786;17,5035
0,0500;0,4750;17,4978
0,0556;0,4750;17,2774
0,0556;0,4607;16,8785
0,0694;0,4607;16,6714
0,0694;0,4571;16,6714
0,0722;0,4571;16,6478
0,0722;0,4500;16,4897
0,0750;0,4500;16,3543
0,0750;0,4429;16,2095
0,0833;0,4429;15,9020
0,0833;0,4393;15,8963
0,0917;0,4393;15,7459
0,0917;0,4357;15,6250
0,0944;0,4357;15,3967
0,0944;0,4321;15,3850
0,1083;0,4321;14,9290
0,1083;0,4286;14,8174
0,1139;0,4286;14,6742
0,1139;0,4214;14,6647
0,1194;0,4214;14,5578
0,1194;0,4179;14,5479
0,1222;0,4179;14,5350
0,1222;0,4107;14,3223
0,1278;0,4107;14,0112
0,1278;0,4071;13,8985
0,1306;0,4071;13,8458
0,1306;0,4036;13,7361
0,1444;0,4036;13,4790
0,1444;0,3964;13,4304
0,1500;0,3964;13,1662
0,1500;0,3929;13,1168
0,1583;0,3929;12,8290
0,1583;0,3893;12,7827
0,1639;0,3893;12,7412
0,1639;0,3857;12,7257
0,1806;0,3857;12,3443
0,1806;0,3821;12,3161
0,1833;0,3821;12,3091
0,1833;0,3750;12,2179
0,1917;0,3750;11,9048
0,1917;0,3714;11,8958
0,2083;0,3714;11,3945
0,2083;0,3679;11,3228
0,2139;0,3679;11,2272
0,2139;0,3607;11,0096
0,2167;0,3607;10,9109
0,2167;0,3571;10,8590
0,2194;0,3571;10,8306
0,2194;0,3536;10,8287
0,2278;0,3536;10,6600
0,2278;0,3500;10,6600
0,2444;0,3500;10,2665
0,2444;0,3464;10,2632
0,2500;0,3464;10,2029
0,2500;0,3429;10,1956
0,2528;0,3429;10,0504
0,2528;0,3393;9,8833
0,2556;0,3393;9,8773
0,2556;0,3357;9,8097
0,2694;0,3357;9,6638
0,2694;0,3321;9,6449
0,2806;0,3321;9,1928
0,2806;0,3250;9,1287
0,2889;0,3250;8,9324
0,2889;0,3214;8,9242
0,2917;0,3214;8,8561
0,2917;0,3179;8,8445
0,2944;0,3179;8,8173
0,2944;0,3143;8,8045
0,3000;0,3143;8,7482
0,3000;0,3107;8,7142
0,3111;0,3107;8,5592
0,3111;0,3071;8,5113
0,3194;0,3071;8,4667
0,3194;0,3036;8,4165
0,3333;0,3036;8,2409
0,3333;0,3000;8,1604
0,3417;0,3000;8,0697
0,3417;0,2964;8,0241
0,3500;0,2964;7,9305
0,3500;0,2929;7,8947
0,3639;0,2929;7,6852
0,3639;0,2821;7,6194
0,3667;0,2821;7,5810
0,3667;0,2786;7,5085
0,3694;0,2786;7,5047
0,3694;0,2679;7,2488
0,3750;0,2679;7,1474
0,3750;0,2643;7,1187
0,4000;0,2643;6,2842
0,4000;0,2607;6,2419
0,4083;0,2607;5,8835
0,4083;0,2571;5,8835
0,4194;0,2571;5,4937
0,4194;0,2536;5,4800
0,4222;0,2536;5,4133
0,4222;0,2464;5,0344
0,4333;0,2464;4,7741
0,4333;0,2429;4,6225
0,4528;0,2429;3,5007
0,4528;0,2393;3,4758
0,4722;0,2393;1,9838
0,4722;0,2357;1,4700
1,0000;0,2357;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
