Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 10,60625
EER(%):; 25,952
FMR100(%):; 72,500
FMR1000(%):; 81,429
ZeroFmr(%):; 81,429
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,8143;0,5309
0,0028;0,8143;0,5305
0,0028;0,7964;0,5292
0,0056;0,7964;0,5223
0,0056;0,7500;0,5084
0,0083;0,7500;0,5079
0,0083;0,7250;0,4965
0,0139;0,7250;0,4962
0,0139;0,7036;0,4846
0,0194;0,7036;0,4766
0,0194;0,6857;0,4729
0,0222;0,6857;0,4713
0,0222;0,6821;0,4712
0,0250;0,6821;0,4697
0,0250;0,6714;0,4653
0,0278;0,6714;0,4627
0,0278;0,6607;0,4605
0,0306;0,6607;0,4602
0,0306;0,6536;0,4588
0,0333;0,6536;0,4574
0,0333;0,6214;0,4491
0,0361;0,6214;0,4488
0,0361;0,5786;0,4407
0,0417;0,5786;0,4372
0,0417;0,5750;0,4371
0,0472;0,5750;0,4366
0,0472;0,5714;0,4357
0,0500;0,5714;0,4355
0,0500;0,5679;0,4347
0,0528;0,5679;0,4340
0,0528;0,5643;0,4332
0,0556;0,5643;0,4310
0,0556;0,5607;0,4308
0,0583;0,5607;0,4307
0,0583;0,5571;0,4306
0,0639;0,5571;0,4294
0,0639;0,5500;0,4278
0,0694;0,5500;0,4245
0,0694;0,5464;0,4222
0,0722;0,5464;0,4197
0,0722;0,5429;0,4184
0,0778;0,5429;0,4177
0,0778;0,5357;0,4154
0,0806;0,5357;0,4150
0,0806;0,5250;0,4128
0,0861;0,5250;0,4117
0,0861;0,5214;0,4116
0,0972;0,5214;0,4081
0,0972;0,5179;0,4074
0,1000;0,5179;0,4071
0,1000;0,4964;0,4014
0,1028;0,4964;0,3970
0,1028;0,4786;0,3940
0,1083;0,4786;0,3909
0,1083;0,4750;0,3896
0,1139;0,4750;0,3872
0,1139;0,4714;0,3865
0,1167;0,4714;0,3864
0,1167;0,4571;0,3842
0,1222;0,4571;0,3833
0,1222;0,4536;0,3819
0,1250;0,4536;0,3800
0,1250;0,4464;0,3782
0,1333;0,4464;0,3768
0,1333;0,4429;0,3753
0,1361;0,4429;0,3741
0,1361;0,4357;0,3725
0,1500;0,4357;0,3717
0,1500;0,4250;0,3700
0,1528;0,4250;0,3698
0,1528;0,4214;0,3688
0,1556;0,4214;0,3683
0,1556;0,4179;0,3678
0,1583;0,4179;0,3674
0,1583;0,4036;0,3652
0,1611;0,4036;0,3647
0,1611;0,4000;0,3647
0,1639;0,4000;0,3643
0,1639;0,3964;0,3638
0,1667;0,3964;0,3625
0,1667;0,3893;0,3611
0,1778;0,3893;0,3591
0,1778;0,3857;0,3590
0,1806;0,3857;0,3588
0,1806;0,3821;0,3574
0,1861;0,3821;0,3566
0,1861;0,3750;0,3560
0,1917;0,3750;0,3549
0,1917;0,3643;0,3520
0,1944;0,3643;0,3519
0,1944;0,3607;0,3506
0,1972;0,3607;0,3505
0,1972;0,3571;0,3500
0,2000;0,3571;0,3496
0,2000;0,3464;0,3484
0,2028;0,3464;0,3470
0,2028;0,3429;0,3453
0,2083;0,3429;0,3437
0,2083;0,3393;0,3433
0,2222;0,3393;0,3391
0,2222;0,3357;0,3390
0,2278;0,3357;0,3361
0,2278;0,3143;0,3306
0,2361;0,3143;0,3302
0,2361;0,3107;0,3302
0,2417;0,3107;0,3300
0,2417;0,3071;0,3299
0,2500;0,3071;0,3296
0,2500;0,2893;0,3216
0,2528;0,2893;0,3212
0,2528;0,2821;0,3208
0,2556;0,2821;0,3191
0,2556;0,2750;0,3187
0,2583;0,2750;0,3184
0,2583;0,2607;0,3175
0,2639;0,2607;0,3170
0,2639;0,2536;0,3159
0,2694;0,2536;0,3140
0,2694;0,2500;0,3135
0,2750;0,2500;0,3133
0,2750;0,2464;0,3133
0,2944;0,2464;0,3113
0,2944;0,2429;0,3102
0,2972;0,2429;0,3101
0,2972;0,2393;0,3100
0,3000;0,2393;0,3097
0,3000;0,2357;0,3090
0,3083;0,2357;0,3078
0,3083;0,2321;0,3072
0,3111;0,2321;0,3067
0,3111;0,2250;0,3057
0,3222;0,2250;0,3034
0,3222;0,2143;0,3017
0,3556;0,2143;0,2970
0,3556;0,2071;0,2952
0,3750;0,2071;0,2915
0,3750;0,1893;0,2881
0,3778;0,1893;0,2881
0,3778;0,1821;0,2873
0,3833;0,1821;0,2857
0,3833;0,1714;0,2837
0,3944;0,1714;0,2806
0,3944;0,1679;0,2792
0,4028;0,1679;0,2784
0,4028;0,1643;0,2780
0,4139;0,1643;0,2764
0,4139;0,1607;0,2748
0,4222;0,1607;0,2728
0,4222;0,1571;0,2727
0,4250;0,1571;0,2708
0,4250;0,1500;0,2704
0,4361;0,1500;0,2660
0,4361;0,1464;0,2651
0,4472;0,1464;0,2630
0,4472;0,1429;0,2626
0,4500;0,1429;0,2623
0,4500;0,1357;0,2620
0,4806;0,1357;0,2565
0,4806;0,1321;0,2556
0,4833;0,1321;0,2542
0,4833;0,1286;0,2541
0,4972;0,1286;0,2483
0,4972;0,1179;0,2479
0,5278;0,1179;0,2431
0,5278;0,1143;0,2427
0,5333;0,1143;0,2418
0,5333;0,1107;0,2416
0,5444;0,1107;0,2381
0,5444;0,1071;0,2381
0,5500;0,1071;0,2374
0,5500;0,1036;0,2365
0,5556;0,1036;0,2356
0,5556;0,1000;0,2349
0,5639;0,1000;0,2334
0,5639;0,0964;0,2330
0,5722;0,0964;0,2310
0,5722;0,0929;0,2307
0,5750;0,0929;0,2298
0,5750;0,0857;0,2288
0,5861;0,0857;0,2264
0,5861;0,0821;0,2251
0,6306;0,0821;0,2163
0,6306;0,0786;0,2154
0,6333;0,0786;0,2143
0,6333;0,0750;0,2142
0,6444;0,0750;0,2121
0,6444;0,0714;0,2109
0,6472;0,0714;0,2097
0,6472;0,0679;0,2090
0,6556;0,0679;0,2069
0,6556;0,0643;0,2066
0,6583;0,0643;0,2062
0,6583;0,0607;0,2061
0,6889;0,0607;0,2016
0,6889;0,0536;0,1985
0,6972;0,0536;0,1982
0,6972;0,0500;0,1981
0,7056;0,0500;0,1979
0,7056;0,0464;0,1978
