Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 5,68281
EER(%):; 30,000
FMR100(%):; 68,929
FMR1000(%):; 75,000
ZeroFmr(%):; 75,000
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,7500;22,2222
0,0028;0,7500;21,8750
0,0028;0,7464;21,8750
0,0056;0,7464;21,4286
0,0056;0,7286;20,5128
0,0083;0,7286;20,4545
0,0083;0,6893;19,0476
0,0111;0,6893;18,7500
0,0111;0,6500;17,9487
0,0139;0,6500;17,8571
0,0139;0,6464;17,5000
0,0167;0,6464;17,2414
0,0167;0,6214;16,2791
0,0194;0,6214;16,1290
0,0194;0,6036;15,3846
0,0222;0,6036;15,1515
0,0222;0,5964;15,1515
0,0389;0,5964;14,7059
0,0389;0,5929;14,7059
0,0444;0,5929;14,5833
0,0444;0,5821;14,5455
0,0472;0,5821;14,2857
0,0472;0,5643;14,0845
0,0528;0,5643;13,9535
0,0528;0,5536;13,9535
0,0639;0,5536;13,5135
0,0639;0,5500;13,3333
0,0722;0,5500;12,8205
0,0722;0,5429;12,7660
0,0806;0,5429;12,6984
0,0806;0,5393;12,6984
0,0917;0,5393;12,5000
0,0917;0,5036;12,2449
0,0944;0,5036;12,1951
0,0944;0,5000;12,1212
0,0972;0,5000;11,9048
0,0972;0,4929;11,9048
0,1000;0,4929;11,8421
0,1000;0,4893;11,8421
0,1194;0,4893;11,5385
0,1194;0,4714;11,4286
0,1278;0,4714;11,3636
0,1278;0,4643;11,3636
0,1306;0,4643;11,3208
0,1306;0,4536;11,3208
0,1389;0,4536;11,1111
0,1389;0,4357;11,1111
0,1417;0,4357;10,9890
0,1417;0,4321;10,9890
0,1444;0,4321;10,8108
0,1444;0,4250;10,7843
0,1472;0,4250;10,7692
0,1472;0,4143;10,7143
0,1528;0,4143;10,6061
0,1528;0,4107;10,5263
0,1556;0,4107;10,4478
0,1556;0,4071;10,4478
0,1611;0,4071;10,4167
0,1611;0,3893;10,4167
0,1694;0,3893;10,2564
0,1694;0,3857;10,2564
0,1722;0,3857;10,2041
0,1722;0,3786;10,1124
0,1806;0,3786;10,0000
0,1806;0,3750;10,0000
0,1889;0,3750;9,7561
0,1889;0,3679;9,7561
0,2028;0,3679;9,6154
0,2028;0,3643;9,6154
0,2222;0,3643;9,4340
0,2222;0,3571;9,4340
0,2389;0,3571;9,3750
0,2389;0,3500;9,3750
0,2583;0,3500;9,3023
0,2583;0,3357;9,3023
0,2639;0,3357;9,2308
0,2639;0,3250;9,2105
0,2778;0,3250;9,0909
0,2778;0,3071;8,9552
0,2833;0,3071;8,8235
0,2833;0,3000;8,7912
0,3000;0,3000;8,5714
0,3000;0,2964;8,5714
0,3111;0,2964;8,4507
0,3111;0,2857;8,4507
0,3583;0,2857;8,3333
0,3583;0,2536;8,3333
0,3722;0,2536;8,0460
0,3722;0,2500;8,0460
0,3944;0,2500;7,8947
0,3944;0,2464;7,8947
0,3972;0,2464;7,8431
0,3972;0,2429;7,8431
0,4083;0,2429;7,7922
0,4083;0,2393;7,7922
0,4500;0,2393;7,6923
0,4500;0,2179;7,6923
0,4750;0,2179;7,5000
0,4750;0,2143;7,5000
0,4833;0,2143;7,4627
0,4833;0,2107;7,4627
0,4944;0,2107;7,3171
0,4944;0,2071;7,3171
0,5000;0,2071;7,2917
0,5000;0,2036;7,2917
0,5222;0,2036;7,0423
0,5222;0,1929;7,0423
0,5444;0,1929;6,9767
0,5444;0,1821;6,9767
0,5500;0,1821;6,9444
0,5500;0,1786;6,9444
0,5639;0,1786;6,8966
0,5639;0,1643;6,8966
0,5944;0,1643;6,8182
0,5944;0,1607;6,8182
0,6000;0,1607;6,7416
0,6000;0,1571;6,7416
0,6167;0,1571;6,6667
0,6167;0,1536;6,6667
0,6250;0,1536;6,5789
0,6250;0,1464;6,4935
0,6667;0,1464;6,2500
0,6667;0,1429;6,2500
0,6722;0,1429;6,1224
0,6722;0,1357;6,1224
0,6806;0,1357;6,0606
0,6806;0,1321;6,0606
0,7028;0,1321;5,8824
0,7028;0,1250;5,8824
0,7278;0,1250;5,7692
0,7278;0,1143;5,7692
0,7389;0,1143;5,7471
0,7389;0,0929;5,7471
0,7444;0,0929;5,6818
0,7444;0,0893;5,6818
0,7889;0,0893;5,6180
0,7889;0,0786;5,6180
0,8000;0,0786;5,5556
0,8000;0,0679;5,5556
0,8028;0,0679;5,4945
0,8028;0,0643;5,4945
0,8278;0,0643;5,2632
0,8278;0,0607;5,2632
0,8333;0,0607;5,2083
0,8333;0,0571;5,2083
0,8389;0,0571;5,1948
0,8389;0,0536;5,1948
0,8500;0,0536;5,0000
0,8500;0,0464;4,9020
0,8667;0,0464;4,6512
0,8667;0,0429;4,6512
0,8778;0,0429;4,6154
0,8778;0,0393;4,6154
0,8917;0,0393;4,5977
0,8917;0,0357;4,5977
0,9111;0,0357;4,5455
0,9111;0,0250;4,5455
0,9333;0,0250;4,3956
0,9333;0,0214;4,3956
0,9667;0,0214;3,9474
0,9667;0,0107;3,9474
0,9778;0,0107;3,9216
0,9778;0,0071;3,9216
0,9833;0,0071;3,8961
0,9833;0,0036;3,8961
0,9917;0,0036;3,3708
0,9917;0,0000;3,3708
1,0000;0,0000;2,9412
1,0000;0,0000;2,9412
1,0000;0,0000;2,9412
