Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 11,89688
EER(%):; 20,734
FMR100(%):; 63,214
FMR1000(%):; 77,857
ZeroFmr(%):; 77,857
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,7786;0,4457
0,0028;0,7786;0,4419
0,0028;0,6679;0,3974
0,0056;0,6679;0,3921
0,0056;0,6643;0,3911
0,0083;0,6643;0,3907
0,0083;0,6321;0,3727
0,0111;0,6321;0,3657
0,0111;0,6214;0,3641
0,0139;0,6214;0,3641
0,0139;0,5714;0,3473
0,0167;0,5714;0,3470
0,0167;0,5607;0,3423
0,0194;0,5607;0,3407
0,0194;0,5536;0,3360
0,0222;0,5536;0,3310
0,0222;0,5250;0,3202
0,0278;0,5250;0,3177
0,0278;0,5107;0,3134
0,0333;0,5107;0,3128
0,0333;0,4964;0,3105
0,0361;0,4964;0,3102
0,0361;0,4929;0,3087
0,0417;0,4929;0,3082
0,0417;0,4821;0,3027
0,0472;0,4821;0,3011
0,0472;0,4679;0,2974
0,0500;0,4679;0,2954
0,0500;0,4429;0,2924
0,0528;0,4429;0,2923
0,0528;0,4393;0,2912
0,0556;0,4393;0,2862
0,0556;0,4357;0,2840
0,0583;0,4357;0,2837
0,0583;0,4250;0,2833
0,0611;0,4250;0,2816
0,0611;0,4214;0,2810
0,0639;0,4214;0,2802
0,0639;0,4107;0,2781
0,0667;0,4107;0,2777
0,0667;0,4036;0,2763
0,0722;0,4036;0,2752
0,0722;0,4000;0,2748
0,0750;0,4000;0,2748
0,0750;0,3893;0,2713
0,0778;0,3893;0,2711
0,0778;0,3786;0,2676
0,0861;0,3786;0,2671
0,0861;0,3714;0,2652
0,0889;0,3714;0,2648
0,0889;0,3643;0,2645
0,0917;0,3643;0,2645
0,0917;0,3536;0,2600
0,0944;0,3536;0,2595
0,0944;0,3464;0,2591
0,0972;0,3464;0,2591
0,0972;0,3393;0,2581
0,1056;0,3393;0,2560
0,1056;0,3357;0,2554
0,1083;0,3357;0,2547
0,1083;0,3321;0,2545
0,1111;0,3321;0,2545
0,1111;0,3250;0,2539
0,1167;0,3250;0,2538
0,1167;0,3107;0,2489
0,1250;0,3107;0,2487
0,1250;0,3071;0,2486
0,1278;0,3071;0,2486
0,1278;0,3000;0,2484
0,1306;0,3000;0,2484
0,1306;0,2893;0,2428
0,1333;0,2893;0,2426
0,1333;0,2786;0,2423
0,1417;0,2786;0,2408
0,1417;0,2750;0,2407
0,1472;0,2750;0,2401
0,1472;0,2679;0,2398
0,1528;0,2679;0,2395
0,1528;0,2607;0,2386
0,1722;0,2607;0,2360
0,1722;0,2500;0,2340
0,1750;0,2500;0,2340
0,1750;0,2464;0,2326
0,1778;0,2464;0,2321
0,1778;0,2429;0,2319
0,1833;0,2429;0,2317
0,1833;0,2393;0,2305
0,1861;0,2393;0,2294
0,1861;0,2357;0,2294
0,1944;0,2357;0,2288
0,1944;0,2321;0,2287
0,2028;0,2321;0,2271
0,2028;0,2250;0,2259
0,2056;0,2250;0,2258
0,2056;0,2179;0,2252
0,2083;0,2179;0,2250
0,2083;0,2143;0,2235
0,2111;0,2143;0,2233
0,2111;0,2036;0,2208
0,2333;0,2036;0,2172
0,2333;0,2000;0,2170
0,2361;0,2000;0,2166
0,2361;0,1893;0,2154
0,2389;0,1893;0,2154
0,2389;0,1821;0,2148
0,2444;0,1821;0,2143
0,2444;0,1786;0,2142
0,2667;0,1786;0,2103
0,2667;0,1750;0,2089
0,2694;0,1750;0,2088
0,2694;0,1679;0,2070
0,2778;0,1679;0,2066
0,2778;0,1643;0,2066
0,2806;0,1643;0,2062
0,2806;0,1607;0,2057
0,2833;0,1607;0,2054
0,2833;0,1571;0,2054
0,2944;0,1571;0,2022
0,2944;0,1464;0,1987
0,3194;0,1464;0,1983
0,3194;0,1429;0,1982
0,3222;0,1429;0,1964
0,3222;0,1393;0,1960
0,3250;0,1393;0,1959
0,3250;0,1321;0,1948
0,3361;0,1321;0,1936
0,3361;0,1250;0,1929
0,3444;0,1250;0,1914
0,3444;0,1214;0,1906
0,3500;0,1214;0,1891
0,3500;0,1107;0,1864
0,3556;0,1107;0,1863
0,3556;0,1071;0,1862
0,3917;0,1071;0,1829
0,3917;0,1036;0,1828
0,3944;0,1036;0,1826
0,3944;0,0964;0,1817
0,4306;0,0964;0,1765
0,4306;0,0929;0,1763
0,4361;0,0929;0,1756
0,4361;0,0786;0,1730
0,4500;0,0786;0,1713
0,4500;0,0679;0,1708
0,4611;0,0679;0,1692
0,4611;0,0643;0,1684
0,4861;0,0643;0,1630
0,4861;0,0536;0,1611
0,4917;0,0536;0,1603
0,4917;0,0500;0,1589
0,5583;0,0500;0,1469
0,5583;0,0464;0,1465
0,5722;0,0464;0,1448
0,5722;0,0429;0,1442
0,6111;0,0429;0,1381
0,6111;0,0393;0,1376
0,6556;0,0393;0,1337
0,6556;0,0357;0,1326
0,6611;0,0357;0,1322
0,6611;0,0286;0,1317
0,6722;0,0286;0,1305
0,6722;0,0250;0,1294
0,6750;0,0250;0,1287
0,6750;0,0214;0,1282
0,7333;0,0214;0,1192
0,7333;0,0143;0,1179
0,7556;0,0143;0,1139
0,7556;0,0107;0,1137
0,8250;0,0107;0,1055
0,8250;0,0071;0,1047
0,8361;0,0071;0,1015
0,8361;0,0036;0,0995
0,8667;0,0036;0,0902
0,8667;0,0000;0,0883
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
