Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 6,33281
EER(%):; 16,369
FMR100(%):; 47,857
FMR1000(%):; 59,286
ZeroFmr(%):; 59,286
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,5929;37,2104
0,0028;0,5929;37,1391
0,0028;0,5214;33,6107
0,0056;0,5214;33,4719
0,0056;0,5071;33,3333
0,0083;0,5071;33,2956
0,0083;0,4786;32,1288
0,0111;0,4786;32,1250
0,0111;0,4393;30,8425
0,0139;0,4393;30,5279
0,0139;0,4357;30,4636
0,0167;0,4357;30,3170
0,0167;0,4071;29,1667
0,0194;0,4071;29,0619
0,0194;0,3607;27,8588
0,0222;0,3607;27,8524
0,0222;0,3500;27,5208
0,0250;0,3500;27,4982
0,0250;0,3429;27,1830
0,0278;0,3429;27,0501
0,0278;0,3321;26,9831
0,0306;0,3321;26,9580
0,0306;0,3214;26,8608
0,0333;0,3214;26,8566
0,0333;0,3179;26,7726
0,0361;0,3179;26,6091
0,0361;0,3143;26,5543
0,0389;0,3143;26,2962
0,0389;0,3071;26,1981
0,0417;0,3071;26,1488
0,0417;0,3036;26,0290
0,0444;0,3036;25,8257
0,0444;0,2821;25,1719
0,0472;0,2821;25,0160
0,0472;0,2714;24,6270
0,0583;0,2714;23,9879
0,0583;0,2607;23,8730
0,0611;0,2607;23,8542
0,0611;0,2464;23,7171
0,0639;0,2464;23,6189
0,0639;0,2429;23,5339
0,0750;0,2429;23,4753
0,0750;0,2357;23,0940
0,0778;0,2357;23,0408
0,0778;0,2286;22,7980
0,0806;0,2286;22,7429
0,0806;0,2250;22,7185
0,0833;0,2250;22,5374
0,0833;0,2214;22,3607
0,0861;0,2214;22,3510
0,0861;0,2179;22,2375
0,0972;0,2179;21,6777
0,0972;0,2071;21,4521
0,1056;0,2071;21,1494
0,1056;0,2000;21,0888
0,1111;0,2000;21,0606
0,1111;0,1964;20,9533
0,1167;0,1964;20,8145
0,1167;0,1893;20,7322
0,1250;0,1893;20,4937
0,1250;0,1857;20,4909
0,1306;0,1857;20,3578
0,1306;0,1821;20,2777
0,1333;0,1821;20,0446
0,1333;0,1786;20,0446
0,1417;0,1786;19,9681
0,1417;0,1750;19,9342
0,1444;0,1750;19,9177
0,1444;0,1679;19,8787
0,1667;0,1679;19,3082
0,1667;0,1607;19,1583
0,1750;0,1607;19,0500
0,1750;0,1571;19,0485
0,1806;0,1571;18,8526
0,1806;0,1500;18,7251
0,2111;0,1500;18,2951
0,2111;0,1429;18,0439
0,2139;0,1429;18,0334
0,2139;0,1214;17,9029
0,2222;0,1214;17,7116
0,2222;0,1179;17,6809
0,2278;0,1179;17,5162
0,2278;0,1143;17,4078
0,2306;0,1143;17,3110
0,2306;0,1107;17,2792
0,2556;0,1107;16,6091
0,2556;0,1071;16,3017
0,2722;0,1071;15,9364
0,2722;0,1036;15,9364
0,2806;0,1036;15,5636
0,2806;0,1000;15,5543
0,2861;0,1000;15,4672
0,2861;0,0964;15,4079
0,3056;0,0964;15,0170
0,3056;0,0929;15,0170
0,3167;0,0929;14,9071
0,3167;0,0893;14,8159
0,3250;0,0893;14,7242
0,3250;0,0857;14,6647
0,3278;0,0857;14,6631
0,3278;0,0821;14,5999
0,3361;0,0821;14,4673
0,3361;0,0786;14,4673
0,3444;0,0786;14,2472
0,3444;0,0750;14,2374
0,3472;0,0750;14,2134
0,3472;0,0714;14,1944
0,3556;0,0714;14,0028
0,3556;0,0679;13,8675
0,3611;0,0679;13,7843
0,3611;0,0571;13,6788
0,4472;0,0571;12,2525
0,4472;0,0536;12,2097
0,4944;0,0536;11,2687
0,4944;0,0500;11,2430
0,5472;0,0500;10,5021
0,5472;0,0464;10,3695
0,5917;0,0464;9,9054
0,5917;0,0429;9,8833
0,5972;0,0429;9,8693
0,5972;0,0393;9,8058
0,6194;0,0393;9,5250
0,6194;0,0357;9,5250
0,6667;0,0357;8,5470
0,6667;0,0321;8,4921
0,6972;0,0321;8,0241
0,6972;0,0286;8,0241
0,7250;0,0286;7,7023
0,7250;0,0250;7,6923
1,0000;0,0250;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
