Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 6,21563
EER(%):; 15,952
FMR100(%):; 41,429
FMR1000(%):; 60,357
ZeroFmr(%):; 60,357
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,6036;0,0176
0,0028;0,6036;0,0172
0,0028;0,4500;0,0113
0,0056;0,4500;0,0111
0,0056;0,4179;0,0105
0,0083;0,4179;0,0104
0,0083;0,4143;0,0104
0,0111;0,4143;0,0103
0,0111;0,3821;0,0091
0,0139;0,3821;0,0088
0,0139;0,3643;0,0086
0,0167;0,3643;0,0086
0,0167;0,3607;0,0085
0,0194;0,3607;0,0084
0,0194;0,3500;0,0084
0,0222;0,3500;0,0084
0,0222;0,3393;0,0081
0,0250;0,3393;0,0080
0,0250;0,3286;0,0078
0,0278;0,3286;0,0078
0,0278;0,3250;0,0078
0,0333;0,3250;0,0077
0,0333;0,3000;0,0071
0,0361;0,3000;0,0070
0,0361;0,2964;0,0070
0,0417;0,2964;0,0070
0,0417;0,2929;0,0069
0,0444;0,2929;0,0069
0,0444;0,2821;0,0068
0,0472;0,2821;0,0067
0,0472;0,2786;0,0067
0,0500;0,2786;0,0066
0,0500;0,2714;0,0066
0,0528;0,2714;0,0066
0,0528;0,2607;0,0063
0,0556;0,2607;0,0063
0,0556;0,2571;0,0060
0,0583;0,2571;0,0058
0,0583;0,2464;0,0057
0,0611;0,2464;0,0057
0,0611;0,2429;0,0057
0,0667;0,2429;0,0057
0,0667;0,2393;0,0056
0,0694;0,2393;0,0056
0,0694;0,2321;0,0056
0,0722;0,2321;0,0055
0,0722;0,2286;0,0055
0,0750;0,2286;0,0055
0,0750;0,2071;0,0053
0,0833;0,2071;0,0052
0,0833;0,2036;0,0052
0,0972;0,2036;0,0051
0,0972;0,2000;0,0051
0,1000;0,2000;0,0048
0,1000;0,1857;0,0047
0,1139;0,1857;0,0045
0,1139;0,1786;0,0045
0,1167;0,1786;0,0045
0,1167;0,1750;0,0045
0,1306;0,1750;0,0044
0,1306;0,1714;0,0043
0,1472;0,1714;0,0041
0,1472;0,1679;0,0041
0,1500;0,1679;0,0041
0,1500;0,1643;0,0040
0,1583;0,1643;0,0040
0,1583;0,1607;0,0040
0,1750;0,1607;0,0039
0,1750;0,1536;0,0038
0,1806;0,1536;0,0037
0,1806;0,1500;0,0037
0,2000;0,1500;0,0036
0,2000;0,1429;0,0036
0,2028;0,1429;0,0036
0,2028;0,1357;0,0035
0,2056;0,1357;0,0035
0,2056;0,1286;0,0035
0,2194;0,1286;0,0034
0,2194;0,1179;0,0033
0,2361;0,1179;0,0032
0,2361;0,1143;0,0032
0,2556;0,1143;0,0031
0,2556;0,1107;0,0031
0,2917;0,1107;0,0029
0,2917;0,1000;0,0029
0,3056;0,1000;0,0028
0,3056;0,0964;0,0028
0,3083;0,0964;0,0028
0,3083;0,0929;0,0028
0,3194;0,0929;0,0027
0,3194;0,0893;0,0027
0,3389;0,0893;0,0026
0,3389;0,0821;0,0026
0,3500;0,0821;0,0026
0,3500;0,0786;0,0025
0,3528;0,0786;0,0025
0,3528;0,0750;0,0025
0,3583;0,0750;0,0025
0,3583;0,0714;0,0025
0,4056;0,0714;0,0023
0,4056;0,0679;0,0023
0,4111;0,0679;0,0023
0,4111;0,0643;0,0022
0,4139;0,0643;0,0022
0,4139;0,0607;0,0022
0,4194;0,0607;0,0022
0,4194;0,0571;0,0022
0,4306;0,0571;0,0021
0,4306;0,0536;0,0021
0,4417;0,0536;0,0020
0,4417;0,0500;0,0020
0,4444;0,0500;0,0020
0,4444;0,0464;0,0020
0,4583;0,0464;0,0020
0,4583;0,0429;0,0019
0,4639;0,0429;0,0019
0,4639;0,0357;0,0019
0,4806;0,0357;0,0019
0,4806;0,0321;0,0018
0,5139;0,0321;0,0018
0,5139;0,0250;0,0017
0,5333;0,0250;0,0017
0,5333;0,0214;0,0017
0,6222;0,0214;0,0014
0,6222;0,0143;0,0014
0,6556;0,0143;0,0013
0,6556;0,0071;0,0013
0,6889;0,0071;0,0012
0,6889;0,0036;0,0012
0,7861;0,0036;0,0009
0,7861;0,0000;0,0009
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
