EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;;
29,1667;0,244444444;0,338888889;20;8;50;;;;;;;;;
28,75;0,261111111;0,313888889;10;8;30;;;;;;;;;
29,8611;0,272222222;0,325;20;6;60;;;;;;;;;
32,0833;0,322222222;0,319444444;20;10;50;;;;;;;;;
31,25;0,325;0,3;10;10;30;;;;;;;;;
31,25;0,347222222;0,277777778;10;6;40;;;;;;;;;
31,8056;0,347222222;0,288888889;10;4;50;;;;;;;;;
32,3611;0,358333333;0,288888889;20;8;60;;;;;;;;;
34,0278;0,422222222;0,258333333;20;10;60;;;;;;;;;
33,8889;0,438888889;0,238888889;10;8;40;;;;;;;;;
35;0,463888889;0,236111111;10;4;60;;;;;;;;;
35,8333;0,488888889;0,227777778;10;6;50;;;;;;;;;
35,9722;0,502777778;0,216666667;10;10;40;;;;;;;;;
38,1944;0,575;0,188888889;10;8;50;;;;;;;;;
38,3333;0,586111111;0,180555556;10;6;60;;;;;;;;;
39,4444;0,625;0,163888889;10;10;50;;;;;;;;;
39,4444;0,652777778;0,136111111;10;8;60;;;;;;;;;
40,8333;0,694444444;0,122222222;10;10;60;;;;;;;;;
Matches;total;103680;;;;;;;;;;;;
3095;;;;;;;;;;;;;;
