Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 6,70625
EER(%):; 14,980
FMR100(%):; 40,714
FMR1000(%):; 55,357
ZeroFmr(%):; 55,357
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,5536;0,0155
0,0028;0,5536;0,0154
0,0028;0,5071;0,0128
0,0056;0,5071;0,0127
0,0056;0,4250;0,0100
0,0083;0,4250;0,0096
0,0083;0,4071;0,0093
0,0111;0,4071;0,0092
0,0111;0,4000;0,0092
0,0139;0,4000;0,0092
0,0139;0,3393;0,0077
0,0250;0,3393;0,0073
0,0250;0,3357;0,0073
0,0278;0,3357;0,0071
0,0278;0,3250;0,0068
0,0333;0,3250;0,0066
0,0333;0,3179;0,0065
0,0361;0,3179;0,0063
0,0361;0,3071;0,0061
0,0389;0,3071;0,0061
0,0389;0,3000;0,0060
0,0417;0,3000;0,0060
0,0417;0,2964;0,0060
0,0472;0,2964;0,0060
0,0472;0,2893;0,0059
0,0500;0,2893;0,0057
0,0500;0,2821;0,0057
0,0528;0,2821;0,0057
0,0528;0,2679;0,0057
0,0583;0,2679;0,0056
0,0583;0,2643;0,0056
0,0611;0,2643;0,0055
0,0611;0,2536;0,0053
0,0667;0,2536;0,0052
0,0667;0,2500;0,0051
0,0694;0,2500;0,0051
0,0694;0,2464;0,0050
0,0722;0,2464;0,0050
0,0722;0,2393;0,0049
0,0750;0,2393;0,0049
0,0750;0,2321;0,0047
0,0778;0,2321;0,0047
0,0778;0,2250;0,0046
0,0833;0,2250;0,0045
0,0833;0,2179;0,0045
0,0917;0,2179;0,0043
0,0917;0,2143;0,0043
0,0944;0,2143;0,0043
0,0944;0,2071;0,0042
0,1000;0,2071;0,0041
0,1000;0,1929;0,0039
0,1028;0,1929;0,0039
0,1028;0,1821;0,0039
0,1056;0,1821;0,0039
0,1056;0,1750;0,0038
0,1111;0,1750;0,0038
0,1111;0,1714;0,0037
0,1361;0,1714;0,0035
0,1361;0,1643;0,0034
0,1389;0,1643;0,0034
0,1389;0,1607;0,0034
0,1667;0,1607;0,0032
0,1667;0,1536;0,0031
0,1889;0,1536;0,0030
0,1889;0,1464;0,0030
0,1917;0,1464;0,0030
0,1917;0,1429;0,0029
0,1972;0,1429;0,0029
0,1972;0,1357;0,0029
0,2194;0,1357;0,0026
0,2194;0,1321;0,0026
0,2278;0,1321;0,0026
0,2278;0,1250;0,0026
0,2389;0,1250;0,0025
0,2389;0,1214;0,0025
0,2972;0,1214;0,0021
0,2972;0,1179;0,0021
0,3639;0,1179;0,0018
0,3639;0,1143;0,0018
0,3694;0,1143;0,0018
0,3694;0,1107;0,0018
0,3722;0,1107;0,0017
0,3722;0,1036;0,0017
0,3750;0,1036;0,0017
0,3750;0,1000;0,0017
0,4000;0,1000;0,0017
0,4000;0,0964;0,0017
0,4028;0,0964;0,0017
0,4028;0,0929;0,0016
0,4083;0,0929;0,0016
0,4083;0,0893;0,0016
0,4111;0,0893;0,0016
0,4111;0,0857;0,0016
0,4167;0,0857;0,0016
0,4167;0,0821;0,0016
0,4417;0,0821;0,0015
0,4417;0,0786;0,0015
0,4833;0,0786;0,0014
0,4833;0,0750;0,0013
0,4972;0,0750;0,0013
0,4972;0,0714;0,0013
0,5083;0,0714;0,0013
0,5083;0,0679;0,0013
0,5306;0,0679;0,0012
0,5306;0,0643;0,0012
0,5583;0,0643;0,0012
0,5583;0,0607;0,0011
0,5611;0,0607;0,0011
0,5611;0,0571;0,0011
0,6139;0,0571;0,0010
0,6139;0,0536;0,0010
0,6361;0,0536;0,0009
0,6361;0,0500;0,0009
0,6500;0,0500;0,0009
0,6500;0,0464;0,0008
0,6583;0,0464;0,0008
0,6583;0,0429;0,0008
0,6694;0,0429;0,0008
0,6694;0,0393;0,0008
0,6972;0,0393;0,0007
0,6972;0,0357;0,0007
0,7028;0,0357;0,0007
0,7028;0,0321;0,0007
0,7722;0,0321;0,0005
0,7722;0,0286;0,0005
0,7833;0,0286;0,0005
0,7833;0,0250;0,0005
0,8444;0,0250;0,0004
0,8444;0,0214;0,0004
0,8639;0,0214;0,0003
0,8639;0,0179;0,0003
0,8861;0,0179;0,0003
0,8861;0,0143;0,0003
0,9000;0,0143;0,0003
0,9000;0,0107;0,0003
0,9250;0,0107;0,0002
0,9250;0,0071;0,0002
0,9361;0,0071;0,0002
0,9361;0,0036;0,0002
0,9472;0,0036;0,0002
0,9472;0,0000;0,0002
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
