Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 7,35313
EER(%):; 20,040
FMR100(%):; 57,143
FMR1000(%):; 63,571
ZeroFmr(%):; 63,571
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,6357;17,9487
0,0056;0,6357;17,7778
0,0056;0,6000;16,8831
0,0083;0,6000;16,3265
0,0083;0,5714;15,5172
0,0111;0,5714;15,3846
0,0111;0,5357;14,5161
0,0139;0,5357;14,2857
0,0139;0,5250;13,9535
0,0167;0,5250;13,7931
0,0167;0,5071;13,6986
0,0194;0,5071;13,6364
0,0194;0,4964;13,5593
0,0222;0,4964;13,4615
0,0222;0,4929;13,4615
0,0250;0,4929;13,4328
0,0250;0,4821;13,1148
0,0278;0,4821;13,0435
0,0278;0,4643;12,8571
0,0306;0,4643;12,8205
0,0306;0,4607;12,8205
0,0333;0,4607;12,7660
0,0333;0,4393;12,3288
0,0361;0,4393;12,3077
0,0361;0,4357;12,2807
0,0389;0,4357;12,2449
0,0389;0,4179;11,9403
0,0417;0,4179;11,8644
0,0417;0,4143;11,8644
0,0472;0,4143;11,6883
0,0472;0,3893;11,4943
0,0500;0,3893;11,4754
0,0500;0,3821;11,4286
0,0528;0,3821;11,3208
0,0528;0,3714;11,2903
0,0694;0,3714;11,1111
0,0694;0,3607;10,9589
0,0750;0,3607;10,9091
0,0750;0,3536;10,8696
0,0833;0,3536;10,7143
0,0833;0,3464;10,7143
0,0889;0,3464;10,6383
0,0889;0,3393;10,6383
0,0972;0,3393;10,4167
0,0972;0,3357;10,3896
0,1056;0,3357;10,3448
0,1056;0,3286;10,3448
0,1083;0,3286;10,2564
0,1083;0,3071;10,2564
0,1167;0,3071;10,2041
0,1167;0,2964;10,2041
0,1194;0,2964;10,1695
0,1194;0,2929;10,1695
0,1306;0,2929;10,0000
0,1306;0,2821;10,0000
0,1389;0,2821;9,7826
0,1389;0,2750;9,7345
0,1556;0,2750;9,6154
0,1556;0,2714;9,6154
0,1583;0,2714;9,5890
0,1583;0,2607;9,5890
0,1611;0,2607;9,5238
0,1611;0,2571;9,5238
0,1639;0,2571;9,4340
0,1639;0,2500;9,4340
0,1667;0,2500;9,3750
0,1667;0,2464;9,3750
0,1694;0,2464;9,3023
0,1694;0,2429;9,3023
0,1806;0,2429;9,2593
0,1806;0,2393;9,2593
0,1833;0,2393;9,2308
0,1833;0,2357;9,1603
0,1861;0,2357;9,0909
0,1861;0,2321;9,0909
0,1889;0,2321;8,9286
0,1889;0,2250;8,7719
0,1917;0,2250;8,7500
0,1917;0,2107;8,6207
0,1972;0,2107;8,5714
0,1972;0,2036;8,5714
0,2139;0,2036;8,5106
0,2139;0,2000;8,5106
0,2194;0,2000;8,4746
0,2194;0,1893;8,3969
0,2361;0,1893;8,2192
0,2361;0,1857;8,2192
0,2500;0,1857;8,1633
0,2500;0,1821;8,1633
0,2556;0,1821;8,0645
0,2556;0,1714;8,0460
0,2917;0,1714;7,7922
0,2917;0,1679;7,7922
0,3194;0,1679;7,6923
0,3194;0,1571;7,6923
0,3722;0,1571;7,5000
0,3722;0,1536;7,5000
0,3833;0,1536;7,4627
0,3833;0,1500;7,4627
0,3917;0,1500;7,4074
0,3917;0,1464;7,4074
0,3972;0,1464;7,3171
0,3972;0,1429;7,2727
0,4083;0,1429;7,1429
0,4083;0,1393;7,1429
0,4194;0,1393;7,0175
0,4194;0,1250;7,0000
0,4444;0,1250;6,8966
0,4444;0,1179;6,8966
0,4611;0,1179;6,8493
0,4611;0,1036;6,8493
0,4889;0,1036;6,7797
0,4889;0,1000;6,7797
0,5222;0,1000;6,5217
0,5222;0,0964;6,5217
0,5556;0,0964;6,4516
0,5556;0,0929;6,4516
0,6000;0,0929;6,2500
0,6000;0,0857;6,1947
0,6222;0,0857;6,1224
0,6222;0,0821;6,1069
0,6444;0,0821;6,0000
0,6444;0,0786;6,0000
0,6500;0,0786;5,9701
0,6500;0,0679;5,9701
0,6806;0,0679;5,7143
0,6806;0,0643;5,7143
0,7056;0,0643;5,5556
0,7056;0,0607;5,5556
0,7222;0,0607;5,4795
0,7222;0,0536;5,4795
0,7389;0,0536;5,4348
0,7389;0,0464;5,4348
0,7556;0,0464;5,3571
0,7556;0,0321;5,3435
0,7944;0,0321;5,1948
0,7944;0,0286;5,1948
0,8389;0,0286;4,6875
0,8389;0,0250;4,6875
0,8722;0,0250;4,4776
0,8722;0,0179;4,4776
0,8778;0,0179;4,4248
0,8778;0,0143;4,4248
0,9028;0,0143;4,3478
0,9028;0,0107;4,3478
0,9667;0,0107;3,8168
0,9667;0,0071;3,8168
0,9861;0,0071;3,5398
0,9861;0,0000;3,5398
1,0000;0,0000;3,0000
1,0000;0,0000;3,0000
1,0000;0,0000;3,0000
