Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 2,14375
EER(%):; 15,774
FMR100(%):; 27,857
FMR1000(%):; 45,714
ZeroFmr(%):; 45,714
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,4571;0,0571
0,0028;0,4571;0,0568
0,0028;0,3179;0,0319
0,0056;0,3179;0,0315
0,0056;0,3143;0,0313
0,0083;0,3143;0,0311
0,0083;0,2786;0,0256
0,0111;0,2786;0,0252
0,0111;0,2679;0,0235
0,0139;0,2679;0,0228
0,0139;0,2643;0,0220
0,0167;0,2643;0,0214
0,0167;0,2500;0,0207
0,0194;0,2500;0,0206
0,0194;0,2464;0,0203
0,0222;0,2464;0,0196
0,0222;0,2393;0,0187
0,0250;0,2393;0,0187
0,0250;0,2357;0,0186
0,0306;0,2357;0,0182
0,0306;0,2286;0,0172
0,0444;0,2286;0,0161
0,0444;0,2250;0,0155
0,0472;0,2250;0,0152
0,0472;0,2143;0,0151
0,0583;0,2143;0,0143
0,0583;0,2107;0,0143
0,0611;0,2107;0,0143
0,0611;0,2071;0,0143
0,0639;0,2071;0,0141
0,0639;0,2036;0,0141
0,0833;0,2036;0,0131
0,0833;0,2000;0,0130
0,0861;0,2000;0,0128
0,0861;0,1929;0,0128
0,0889;0,1929;0,0126
0,0889;0,1821;0,0124
0,1056;0,1821;0,0117
0,1056;0,1786;0,0116
0,1222;0,1786;0,0113
0,1222;0,1714;0,0110
0,1417;0,1714;0,0106
0,1417;0,1679;0,0105
0,1472;0,1679;0,0105
0,1472;0,1643;0,0105
0,1500;0,1643;0,0104
0,1500;0,1607;0,0104
0,1583;0,1607;0,0101
0,1583;0,1571;0,0101
0,1750;0,1571;0,0098
0,1750;0,1464;0,0096
0,1778;0,1464;0,0095
0,1778;0,1429;0,0095
0,1861;0,1429;0,0093
0,1861;0,1357;0,0093
0,2056;0,1357;0,0091
0,2056;0,1321;0,0091
0,2194;0,1321;0,0090
0,2194;0,1286;0,0089
0,2889;0,1286;0,0077
0,2889;0,1250;0,0077
0,3111;0,1250;0,0074
0,3111;0,1214;0,0073
0,3139;0,1214;0,0072
0,3139;0,1179;0,0072
0,3222;0,1179;0,0071
0,3222;0,1107;0,0070
0,3306;0,1107;0,0069
0,3306;0,1071;0,0069
0,3722;0,1071;0,0065
0,3722;0,1036;0,0064
0,3861;0,1036;0,0062
0,3861;0,1000;0,0062
0,4333;0,1000;0,0058
0,4333;0,0964;0,0058
0,4417;0,0964;0,0058
0,4417;0,0929;0,0058
0,4528;0,0929;0,0058
0,4528;0,0893;0,0058
0,4556;0,0893;0,0057
0,4556;0,0857;0,0057
0,4667;0,0857;0,0055
0,4667;0,0750;0,0054
0,5500;0,0750;0,0047
0,5500;0,0714;0,0047
0,6333;0,0714;0,0043
0,6333;0,0679;0,0042
0,6861;0,0679;0,0039
0,6861;0,0643;0,0039
0,7000;0,0643;0,0038
0,7000;0,0607;0,0037
0,7250;0,0607;0,0036
0,7250;0,0571;0,0036
0,7500;0,0571;0,0035
0,7500;0,0536;0,0035
0,7722;0,0536;0,0035
0,7722;0,0500;0,0035
0,7806;0,0500;0,0034
0,7806;0,0464;0,0034
0,7861;0,0464;0,0034
0,7861;0,0429;0,0033
0,7944;0,0429;0,0032
0,7944;0,0393;0,0032
0,8083;0,0393;0,0031
0,8083;0,0321;0,0031
0,8278;0,0321;0,0029
0,8278;0,0286;0,0029
0,8861;0,0286;0,0025
0,8861;0,0214;0,0025
0,8917;0,0214;0,0024
0,8917;0,0179;0,0023
0,9056;0,0179;0,0021
0,9056;0,0143;0,0021
0,9250;0,0143;0,0019
0,9250;0,0107;0,0019
0,9417;0,0107;0,0015
0,9417;0,0036;0,0012
1,0000;0,0036;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
