Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 13,90156
EER(%):; 27,500
FMR100(%):; 75,000
FMR1000(%):; 84,286
ZeroFmr(%):; 84,286
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,8429;0,5741
0,0028;0,8429;0,5635
0,0028;0,7571;0,4968
0,0056;0,7571;0,4965
0,0056;0,7500;0,4963
0,0111;0,7500;0,4959
0,0111;0,7464;0,4953
0,0139;0,7464;0,4943
0,0139;0,6786;0,4664
0,0167;0,6786;0,4663
0,0167;0,6571;0,4565
0,0194;0,6571;0,4560
0,0194;0,6429;0,4515
0,0222;0,6429;0,4514
0,0222;0,6357;0,4482
0,0250;0,6357;0,4480
0,0250;0,6286;0,4473
0,0306;0,6286;0,4441
0,0306;0,6143;0,4427
0,0361;0,6143;0,4412
0,0361;0,6000;0,4327
0,0389;0,6000;0,4313
0,0389;0,5929;0,4282
0,0417;0,5929;0,4279
0,0417;0,5893;0,4257
0,0500;0,5893;0,4242
0,0500;0,5750;0,4161
0,0528;0,5750;0,4159
0,0528;0,5714;0,4136
0,0556;0,5714;0,4128
0,0556;0,5500;0,4080
0,0583;0,5500;0,4074
0,0583;0,5464;0,4073
0,0611;0,5464;0,4049
0,0611;0,5107;0,3965
0,0639;0,5107;0,3939
0,0639;0,4929;0,3838
0,0694;0,4929;0,3830
0,0694;0,4821;0,3812
0,0722;0,4821;0,3788
0,0722;0,4786;0,3781
0,0778;0,4786;0,3761
0,0778;0,4679;0,3749
0,0806;0,4679;0,3748
0,0806;0,4393;0,3687
0,0833;0,4393;0,3678
0,0833;0,4250;0,3655
0,0889;0,4250;0,3649
0,0889;0,4214;0,3648
0,0944;0,4214;0,3641
0,0944;0,4143;0,3606
0,0972;0,4143;0,3605
0,0972;0,4107;0,3602
0,1028;0,4107;0,3599
0,1028;0,4071;0,3576
0,1111;0,4071;0,3565
0,1111;0,3821;0,3482
0,1167;0,3821;0,3481
0,1167;0,3786;0,3468
0,1194;0,3786;0,3464
0,1194;0,3750;0,3462
0,1222;0,3750;0,3454
0,1222;0,3679;0,3442
0,1389;0,3679;0,3409
0,1389;0,3643;0,3399
0,1417;0,3643;0,3396
0,1417;0,3607;0,3392
0,1444;0,3607;0,3385
0,1444;0,3571;0,3381
0,1472;0,3571;0,3374
0,1472;0,3536;0,3359
0,1500;0,3536;0,3357
0,1500;0,3464;0,3313
0,1528;0,3464;0,3312
0,1528;0,3357;0,3305
0,1611;0,3357;0,3303
0,1611;0,3321;0,3302
0,1667;0,3321;0,3302
0,1667;0,3286;0,3302
0,1861;0,3286;0,3240
0,1861;0,3214;0,3224
0,2056;0,3214;0,3170
0,2056;0,3143;0,3168
0,2083;0,3143;0,3160
0,2083;0,3107;0,3145
0,2167;0,3107;0,3132
0,2167;0,3000;0,3117
0,2278;0,3000;0,3092
0,2278;0,2964;0,3090
0,2333;0,2964;0,3069
0,2333;0,2929;0,3057
0,2472;0,2929;0,3033
0,2472;0,2857;0,3016
0,2611;0,2857;0,2989
0,2611;0,2786;0,2979
0,2750;0,2786;0,2944
0,2750;0,2750;0,2942
0,2778;0,2750;0,2940
0,2778;0,2679;0,2930
0,2889;0,2679;0,2914
0,2889;0,2536;0,2902
0,3139;0,2536;0,2835
0,3139;0,2464;0,2834
0,3250;0,2464;0,2832
0,3250;0,2357;0,2825
0,3361;0,2357;0,2774
0,3361;0,2286;0,2767
0,3444;0,2286;0,2754
0,3444;0,2250;0,2754
0,3472;0,2250;0,2752
0,3472;0,2179;0,2730
0,3639;0,2179;0,2717
0,3639;0,2143;0,2715
0,3667;0,2143;0,2711
0,3667;0,2107;0,2708
0,3806;0,2107;0,2668
0,3806;0,2071;0,2666
0,3861;0,2071;0,2654
0,3861;0,1929;0,2641
0,3889;0,1929;0,2624
0,3889;0,1893;0,2624
0,3917;0,1893;0,2621
0,3917;0,1857;0,2619
0,3944;0,1857;0,2618
0,3944;0,1821;0,2614
0,4083;0,1821;0,2577
0,4083;0,1786;0,2570
0,4222;0,1786;0,2557
0,4222;0,1750;0,2552
0,4250;0,1750;0,2538
0,4250;0,1714;0,2535
0,4333;0,1714;0,2522
0,4333;0,1679;0,2521
0,4389;0,1679;0,2484
0,4389;0,1643;0,2480
0,4417;0,1643;0,2480
0,4417;0,1607;0,2479
0,4472;0,1607;0,2478
0,4472;0,1571;0,2478
0,4500;0,1571;0,2478
0,4500;0,1536;0,2476
0,4611;0,1536;0,2474
0,4611;0,1500;0,2474
0,4639;0,1500;0,2473
0,4639;0,1464;0,2442
0,4667;0,1464;0,2436
0,4667;0,1357;0,2420
0,4694;0,1357;0,2419
0,4694;0,1321;0,2412
0,4806;0,1321;0,2396
0,4806;0,1286;0,2381
0,4833;0,1286;0,2377
0,4833;0,1250;0,2369
0,4972;0,1250;0,2354
0,4972;0,1214;0,2354
0,5083;0,1214;0,2329
0,5083;0,1179;0,2297
0,5250;0,1179;0,2235
0,5250;0,1143;0,2234
0,5361;0,1143;0,2201
0,5361;0,1107;0,2201
0,5389;0,1107;0,2200
0,5389;0,1036;0,2189
0,5694;0,1036;0,2141
0,5694;0,0964;0,2124
0,5750;0,0964;0,2120
0,5750;0,0929;0,2107
0,5806;0,0929;0,2091
0,5806;0,0893;0,2087
0,5861;0,0893;0,2079
0,5861;0,0857;0,2073
0,6250;0,0857;0,1983
0,6250;0,0821;0,1982
0,6389;0,0821;0,1955
0,6389;0,0786;0,1934
0,6639;0,0786;0,1885
0,6639;0,0750;0,1885
0,6694;0,0750;0,1884
0,6694;0,0714;0,1877
0,6861;0,0714;0,1857
0,6861;0,0679;0,1854
0,6944;0,0679;0,1826
0,6944;0,0643;0,1811
0,7417;0,0643;0,1709
0,7417;0,0607;0,1709
0,7944;0,0607;0,1563
0,7944;0,0571;0,1558
0,7972;0,0571;0,1552
0,7972;0,0536;0,1551
0,8222;0,0536;0,1417
0,8222;0,0500;0,1417
0,8639;0,0500;0,1282
0,8639;0,0464;0,1278
0,8806;0,0464;0,1238
0,8806;0,0429;0,1207
0,8972;0,0429;0,1145
0,8972;0,0393;0,1145
0,9028;0,0393;0,1116
0,9028;0,0357;0,1104
0,9139;0,0357;0,1077
0,9139;0,0321;0,1063
0,9361;0,0321;0,0995
0,9361;0,0286;0,0992
0,9389;0,0286;0,0990
0,9389;0,0214;0,0967
0,9417;0,0214;0,0953
0,9417;0,0179;0,0942
0,9444;0,0179;0,0937
0,9444;0,0143;0,0905
0,9556;0,0143;0,0874
0,9556;0,0107;0,0874
0,9694;0,0107;0,0763
0,9694;0,0071;0,0737
0,9833;0,0071;0,0627
0,9833;0,0036;0,0622
0,9917;0,0036;0,0509
0,9917;0,0000;0,0497
1,0000;0,0000;0,0302
1,0000;0,0000;0,0302
1,0000;0,0000;0,0302
