Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 7,58125
EER(%):; 10,635
FMR100(%):; 32,143
FMR1000(%):; 51,429
ZeroFmr(%):; 51,429
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,5143;0,0126
0,0028;0,5143;0,0124
0,0028;0,3607;0,0094
0,0056;0,3607;0,0093
0,0056;0,3536;0,0092
0,0083;0,3536;0,0091
0,0083;0,3214;0,0081
0,0111;0,3214;0,0081
0,0111;0,3107;0,0078
0,0139;0,3107;0,0076
0,0139;0,3071;0,0076
0,0167;0,3071;0,0076
0,0167;0,2571;0,0063
0,0222;0,2571;0,0062
0,0222;0,2357;0,0058
0,0278;0,2357;0,0057
0,0278;0,2286;0,0057
0,0333;0,2286;0,0056
0,0333;0,2179;0,0054
0,0361;0,2179;0,0054
0,0361;0,1786;0,0048
0,0417;0,1786;0,0047
0,0417;0,1536;0,0043
0,0444;0,1536;0,0043
0,0444;0,1464;0,0042
0,0806;0,1464;0,0037
0,0806;0,1393;0,0037
0,0861;0,1393;0,0036
0,0861;0,1357;0,0036
0,0889;0,1357;0,0036
0,0889;0,1321;0,0035
0,0917;0,1321;0,0035
0,0917;0,1286;0,0035
0,0944;0,1286;0,0035
0,0944;0,1214;0,0034
0,0972;0,1214;0,0034
0,0972;0,1179;0,0034
0,1028;0,1179;0,0034
0,1028;0,1143;0,0033
0,1056;0,1143;0,0033
0,1056;0,1071;0,0033
0,1167;0,1071;0,0032
0,1167;0,1036;0,0032
0,1333;0,1036;0,0031
0,1333;0,1000;0,0031
0,1361;0,1000;0,0030
0,1361;0,0964;0,0030
0,1444;0,0964;0,0029
0,1444;0,0893;0,0028
0,1750;0,0893;0,0025
0,1750;0,0857;0,0025
0,2000;0,0857;0,0023
0,2000;0,0821;0,0023
0,2111;0,0821;0,0022
0,2111;0,0786;0,0022
0,2222;0,0786;0,0021
0,2222;0,0714;0,0021
0,2278;0,0714;0,0021
0,2278;0,0679;0,0020
0,2306;0,0679;0,0020
0,2306;0,0643;0,0020
0,3556;0,0643;0,0015
0,3556;0,0607;0,0015
0,3611;0,0607;0,0015
0,3611;0,0571;0,0015
0,3944;0,0571;0,0013
0,3944;0,0500;0,0013
0,4306;0,0500;0,0012
0,4306;0,0464;0,0012
0,4528;0,0464;0,0012
0,4528;0,0429;0,0012
0,4639;0,0429;0,0012
0,4639;0,0393;0,0011
0,4722;0,0393;0,0011
0,4722;0,0357;0,0011
0,5389;0,0357;0,0010
0,5389;0,0321;0,0010
0,6111;0,0321;0,0008
0,6111;0,0286;0,0008
0,6944;0,0286;0,0007
0,6944;0,0250;0,0007
0,7000;0,0250;0,0007
0,7000;0,0214;0,0007
0,7750;0,0214;0,0006
0,7750;0,0179;0,0006
0,8611;0,0179;0,0004
0,8611;0,0143;0,0004
0,8722;0,0143;0,0004
0,8722;0,0107;0,0004
0,8861;0,0107;0,0004
0,8861;0,0071;0,0004
0,9722;0,0071;0,0002
0,9722;0,0036;0,0002
0,9861;0,0036;0,0001
0,9861;0,0000;0,0001
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
