Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 17,62344
EER(%):; 24,266
FMR100(%):; 42,143
FMR1000(%):; 42,500
ZeroFmr(%):; 42,500
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,4250;22,6455
0,0083;0,4250;21,7362
0,0083;0,4214;21,3318
0,0139;0,4214;20,8890
0,0139;0,4107;20,2548
0,0194;0,4107;19,7338
0,0194;0,4000;19,3729
0,0278;0,4000;18,8713
0,0278;0,3929;18,3254
0,0361;0,3929;17,9664
0,0361;0,3857;17,8319
0,0472;0,3857;17,0213
0,0472;0,3786;16,9330
0,0500;0,3786;16,9031
0,0500;0,3750;16,8034
0,0528;0,3750;16,7515
0,0528;0,3714;16,7054
0,0556;0,3714;16,6731
0,0556;0,3679;16,3507
0,0583;0,3679;16,1788
0,0583;0,3643;16,0289
0,0639;0,3643;15,8703
0,0639;0,3464;15,3672
0,0694;0,3464;15,3627
0,0694;0,3429;15,2499
0,0722;0,3429;15,0616
0,0722;0,3393;15,0616
0,0750;0,3393;14,9270
0,0750;0,3286;14,7442
0,0917;0,3286;14,4579
0,0917;0,3250;14,4150
0,1167;0,3250;14,1421
0,1167;0,3107;13,8870
0,1278;0,3107;13,5535
0,1278;0,3071;13,5526
0,1444;0,3071;13,3038
0,1444;0,3036;13,2712
0,1528;0,3036;13,0121
0,1528;0,3000;12,9661
0,1611;0,3000;12,5988
0,1611;0,2929;12,5615
0,1750;0,2929;12,4611
0,1750;0,2857;12,4283
0,1778;0,2857;12,4015
0,1778;0,2821;12,2474
0,1861;0,2821;12,0727
0,1861;0,2786;12,0605
0,1944;0,2786;11,9885
0,1944;0,2750;11,9523
0,2139;0,2750;11,7618
0,2139;0,2714;11,7590
0,2167;0,2714;11,7444
0,2167;0,2679;11,7041
0,2250;0,2679;11,5663
0,2250;0,2643;11,5316
0,2306;0,2643;11,4520
0,2306;0,2571;11,4279
0,2333;0,2571;11,3961
0,2333;0,2500;11,2500
0,2389;0,2500;11,2367
0,2389;0,2464;11,1704
0,2667;0,2464;10,9976
0,2667;0,2429;10,9859
0,2861;0,2429;10,6066
0,2861;0,2321;10,5021
0,2944;0,2321;10,4685
0,2944;0,2286;10,4583
0,3278;0,2286;9,9602
0,3278;0,2250;9,9340
0,3361;0,2250;9,9093
0,3361;0,2179;9,7874
0,3417;0,2179;9,7460
0,3417;0,2107;9,5765
0,3500;0,2107;9,3842
0,3500;0,2071;9,3790
0,3639;0,2071;9,2529
0,3639;0,2000;9,2210
0,3889;0,2000;8,9159
0,3889;0,1964;8,9101
0,3944;0,1964;8,8561
0,3944;0,1929;8,8269
0,4139;0,1929;8,5475
0,4139;0,1893;8,5361
0,4250;0,1893;8,4050
0,4250;0,1821;8,3045
0,4278;0,1821;8,2874
0,4278;0,1786;8,2715
0,4444;0,1786;8,1433
0,4444;0,1750;8,1200
0,4528;0,1750;8,0064
0,4528;0,1714;7,9772
0,4639;0,1714;7,7209
0,4639;0,1679;7,6612
0,4722;0,1679;7,5190
0,4722;0,1643;7,5000
0,4778;0,1643;7,3258
0,4778;0,1607;7,1993
0,4917;0,1607;6,9568
0,4917;0,1571;6,9190
0,5028;0,1571;6,7166
0,5028;0,1536;6,6881
0,5083;0,1536;6,6667
0,5083;0,1500;6,5653
0,5222;0,1500;6,4312
0,5222;0,1464;6,4167
0,5278;0,1464;6,3078
0,5278;0,1393;6,2301
0,5500;0,1393;5,6695
0,5500;0,1321;5,5641
0,6000;0,1321;4,2258
0,6000;0,1286;4,0816
0,6028;0,1286;4,0757
0,6028;0,1250;3,8633
0,6056;0,1250;3,7050
0,6056;0,1214;3,4100
0,6111;0,1214;2,9881
0,6111;0,1179;2,8868
1,0000;0,1179;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
