Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 15,46719
EER(%):; 20,179
FMR100(%):; 51,786
FMR1000(%):; 59,286
ZeroFmr(%):; 59,286
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,5929;0,3313
0,0028;0,5929;0,3313
0,0028;0,5679;0,3173
0,0056;0,5679;0,3163
0,0056;0,5571;0,3141
0,0083;0,5571;0,3123
0,0083;0,5179;0,3037
0,0111;0,5179;0,3032
0,0111;0,4964;0,2964
0,0139;0,4964;0,2964
0,0139;0,4929;0,2951
0,0167;0,4929;0,2942
0,0167;0,4857;0,2924
0,0194;0,4857;0,2918
0,0194;0,4786;0,2909
0,0222;0,4786;0,2904
0,0222;0,4750;0,2902
0,0333;0,4750;0,2841
0,0333;0,4679;0,2806
0,0389;0,4679;0,2749
0,0389;0,4536;0,2710
0,0500;0,4536;0,2683
0,0500;0,4393;0,2649
0,0528;0,4393;0,2645
0,0528;0,4321;0,2611
0,0556;0,4321;0,2601
0,0556;0,4214;0,2592
0,0583;0,4214;0,2588
0,0583;0,4179;0,2570
0,0611;0,4179;0,2570
0,0611;0,3929;0,2530
0,0639;0,3929;0,2526
0,0639;0,3786;0,2480
0,0667;0,3786;0,2437
0,0667;0,3750;0,2432
0,0750;0,3750;0,2408
0,0750;0,3607;0,2385
0,0778;0,3607;0,2381
0,0778;0,3571;0,2380
0,0833;0,3571;0,2354
0,0833;0,3500;0,2353
0,0861;0,3500;0,2352
0,0861;0,3357;0,2321
0,0889;0,3357;0,2316
0,0889;0,3286;0,2293
0,0917;0,3286;0,2285
0,0917;0,3179;0,2275
0,0944;0,3179;0,2270
0,0944;0,3143;0,2257
0,1000;0,3143;0,2242
0,1000;0,3107;0,2232
0,1056;0,3107;0,2211
0,1056;0,3036;0,2208
0,1111;0,3036;0,2207
0,1111;0,3000;0,2182
0,1139;0,3000;0,2167
0,1139;0,2964;0,2160
0,1167;0,2964;0,2154
0,1167;0,2929;0,2151
0,1222;0,2929;0,2128
0,1222;0,2821;0,2113
0,1250;0,2821;0,2092
0,1250;0,2750;0,2090
0,1333;0,2750;0,2065
0,1333;0,2679;0,2056
0,1361;0,2679;0,2056
0,1361;0,2607;0,2046
0,1500;0,2607;0,2027
0,1500;0,2536;0,2010
0,1556;0,2536;0,1988
0,1556;0,2429;0,1987
0,1639;0,2429;0,1985
0,1639;0,2393;0,1984
0,1694;0,2393;0,1983
0,1694;0,2357;0,1982
0,1722;0,2357;0,1958
0,1722;0,2214;0,1936
0,1778;0,2214;0,1917
0,1778;0,2179;0,1917
0,1889;0,2179;0,1891
0,1889;0,2107;0,1874
0,1917;0,2107;0,1863
0,1917;0,2071;0,1863
0,2000;0,2071;0,1861
0,2000;0,2036;0,1856
0,2056;0,2036;0,1848
0,2056;0,2000;0,1838
0,2111;0,2000;0,1829
0,2111;0,1964;0,1825
0,2139;0,1964;0,1820
0,2139;0,1929;0,1807
0,2222;0,1929;0,1805
0,2222;0,1893;0,1804
0,2250;0,1893;0,1787
0,2250;0,1857;0,1783
0,2389;0,1857;0,1742
0,2389;0,1750;0,1736
0,2444;0,1750;0,1728
0,2444;0,1714;0,1726
0,2472;0,1714;0,1713
0,2472;0,1679;0,1711
0,2500;0,1679;0,1694
0,2500;0,1643;0,1690
0,2583;0,1643;0,1656
0,2583;0,1536;0,1654
0,2667;0,1536;0,1653
0,2667;0,1464;0,1636
0,2722;0,1464;0,1620
0,2722;0,1429;0,1618
0,3056;0,1429;0,1553
