Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 7,67031
EER(%):; 9,048
FMR100(%):; 25,357
FMR1000(%):; 30,000
ZeroFmr(%):; 30,000
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,3000;28,4497
0,0028;0,3000;28,2889
0,0028;0,2536;26,4176
0,0111;0,2536;25,6046
0,0111;0,2071;24,3086
0,0139;0,2071;24,2662
0,0139;0,1929;24,0269
0,0167;0,1929;23,9187
0,0167;0,1893;23,8976
0,0194;0,1893;23,8366
0,0194;0,1821;23,7828
0,0278;0,1821;23,4834
0,0278;0,1714;23,1845
0,0361;0,1714;23,0997
0,0361;0,1679;22,9836
0,0389;0,1679;22,9216
0,0389;0,1393;22,1971
0,0417;0,1393;22,1773
0,0417;0,1357;21,9877
0,0472;0,1357;21,9115
0,0472;0,1321;21,7918
0,0500;0,1321;21,7391
0,0500;0,1286;21,7009
0,0528;0,1286;21,4087
0,0528;0,1250;21,3862
0,0639;0,1250;21,0157
0,0639;0,1214;20,9953
0,0694;0,1214;20,9798
0,0694;0,1107;20,4024
0,0778;0,1107;20,0698
0,0778;0,1000;19,9787
0,0833;0,1000;19,9572
0,0833;0,0964;19,7259
0,0889;0,0964;19,6070
0,0889;0,0929;19,2969
0,0917;0,0929;19,1922
0,0917;0,0893;19,1492
0,1167;0,0893;18,8713
0,1167;0,0821;18,6902
0,1361;0,0821;18,4115
0,1361;0,0750;18,3254
0,1417;0,0750;18,2851
0,1417;0,0714;18,2337
0,1500;0,0714;17,9547
0,1500;0,0679;17,9487
0,1722;0,0679;17,5000
0,1722;0,0643;17,4741
0,1861;0,0643;17,3721
0,1861;0,0607;17,3071
0,1944;0,0607;17,1499
0,1944;0,0571;17,1245
0,2000;0,0571;17,0297
0,2000;0,0536;16,9418
0,2083;0,0536;16,7515
0,2083;0,0500;16,7054
0,2111;0,0500;16,6924
0,2111;0,0464;16,6091
0,2222;0,0464;16,4133
0,2222;0,0429;16,3299
0,2472;0,0429;15,7243
0,2472;0,0393;15,7019
0,3833;0,0393;13,8730
0,3833;0,0357;13,7309
0,4194;0,0357;13,1244
0,4194;0,0321;13,0713
0,4361;0,0321;12,9550
0,4361;0,0286;12,9349
0,5389;0,0286;11,5922
0,5389;0,0250;11,5897
0,5556;0,0250;11,3961
0,5556;0,0214;11,2500
0,5722;0,0214;11,1803
0,5722;0,0179;11,1283
0,6028;0,0179;10,5279
0,6028;0,0143;10,5021
0,7694;0,0143;5,8080
0,7694;0,0107;5,7950
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
