Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 5,59375
EER(%):; 26,766
FMR100(%):; 47,857
FMR1000(%):; 52,857
ZeroFmr(%):; 52,857
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,5286;30,3868
0,0028;0,5286;29,9146
0,0028;0,5214;29,1404
0,0056;0,5214;29,1276
0,0056;0,4786;25,5678
0,0111;0,4786;25,1773
0,0111;0,4750;25,0543
0,0167;0,4750;24,6032
0,0167;0,4714;24,3614
0,0194;0,4714;24,3030
0,0194;0,4607;24,0653
0,0222;0,4607;23,8185
0,0222;0,4571;23,7925
0,0333;0,4571;23,1313
0,0333;0,4429;22,2381
0,0417;0,4429;21,7552
0,0417;0,4393;21,7217
0,0444;0,4393;21,6771
0,0444;0,4321;21,4621
0,0500;0,4321;21,2494
0,0500;0,4286;21,2051
0,0528;0,4286;21,0483
0,0528;0,4250;20,9568
0,0611;0,4250;20,7566
0,0611;0,4214;20,4864
0,0694;0,4214;20,2701
0,0694;0,4143;20,1686
0,0750;0,4143;19,4798
0,0750;0,4071;19,3392
0,0889;0,4071;18,9766
0,0889;0,4000;18,9456
0,0917;0,4000;18,9306
0,0917;0,3929;18,8396
0,0944;0,3929;18,8102
0,0944;0,3893;18,7728
0,0972;0,3893;18,7450
0,0972;0,3607;18,2483
0,1000;0,3607;18,1622
0,1000;0,3571;18,0189
0,1056;0,3571;17,9543
0,1056;0,3536;17,9420
0,1111;0,3536;17,8682
0,1111;0,3500;17,7477
0,1194;0,3500;17,4291
0,1194;0,3429;17,3946
0,1306;0,3429;16,9206
0,1306;0,3393;16,9032
0,1333;0,3393;16,8785
0,1333;0,3357;16,7876
0,1444;0,3357;16,5158
0,1444;0,3286;16,4930
0,1722;0,3286;16,1482
0,1722;0,3250;16,1021
0,1861;0,3250;15,9590
0,1861;0,3214;15,8628
0,1917;0,3214;15,6993
0,1917;0,3179;15,6382
0,1972;0,3179;15,5856
0,1972;0,3143;15,5702
0,2028;0,3143;15,5481
0,2028;0,3071;15,4559
0,2250;0,3071;15,0477
0,2250;0,3000;15,0138
0,2278;0,3000;15,0040
0,2278;0,2893;14,8083
0,2333;0,2893;14,6937
0,2333;0,2821;14,5313
0,2361;0,2821;14,4527
0,2361;0,2786;14,3274
0,2528;0,2786;13,9637
0,2528;0,2750;13,9254
0,2639;0,2750;13,7955
0,2639;0,2714;13,7010
0,2750;0,2714;13,2438
0,2750;0,2679;13,1599
0,2806;0,2679;13,1260
0,2806;0,2643;13,0358
0,2833;0,2643;13,0269
0,2833;0,2607;12,9599
0,2889;0,2607;12,8142
0,2889;0,2536;12,7510
0,3000;0,2536;12,6408
0,3000;0,2500;12,5987
0,3167;0,2500;12,4496
0,3167;0,2464;12,4355
0,3306;0,2464;11,8394
0,3306;0,2393;11,8191
0,3333;0,2393;11,8029
0,3333;0,2357;11,7983
0,3361;0,2357;11,7857
0,3361;0,2321;11,7462
0,3500;0,2321;11,5438
0,3500;0,2286;11,5357
0,3639;0,2286;11,3738
0,3639;0,2214;11,3140
0,3889;0,2214;10,7285
0,3889;0,2179;10,7282
0,3944;0,2179;10,6931
0,3944;0,2000;10,5494
0,4000;0,2000;10,5255
0,4000;0,1929;10,5138
0,4028;0,1929;10,5073
0,4028;0,1893;10,4682
0,4139;0,1893;10,2790
0,4139;0,1857;10,2524
0,4167;0,1857;10,2244
0,4167;0,1821;10,2042
0,4278;0,1821;9,9404
0,4278;0,1786;9,8932
0,4417;0,1786;9,7373
0,4417;0,1750;9,7239
0,4583;0,1750;9,5678
0,4583;0,1714;9,5242
0,4639;0,1714;9,4364
0,4639;0,1679;9,4063
0,4722;0,1679;9,2937
0,4722;0,1607;9,1479
0,4750;0,1607;9,0881
0,4750;0,1571;9,0491
0,4778;0,1571;9,0200
0,4778;0,1500;8,9784
0,4972;0,1500;8,6190
0,4972;0,1464;8,6184
0,5028;0,1464;8,5545
0,5028;0,1429;8,4460
0,5250;0,1429;8,0663
0,5250;0,1393;8,0558
0,5306;0,1393;7,7678
0,5306;0,1357;7,7297
1,0000;0,1357;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
