EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
31,8056;0;0,636111111;0,015;8;10;8;;;;;;;;
31,9444;0;0,638888889;0,015;8;10;10;;;;;;;;
32,5;0;0,65;0,01;6;10;8;;;;;;;;
32,6389;0;0,652777778;0,01;6;10;10;;;;;;;;
32,7778;0;0,655555556;0,02;10;10;2;;;;;;;;
32,7778;0;0,655555556;0,02;10;10;4;;;;;;;;
32,7778;0;0,655555556;0,02;10;10;6;;;;;;;;
32,9167;0;0,658333333;0,02;10;10;8;;;;;;;;
33,0556;0;0,661111111;0,02;10;10;10;;;;;;;;
33,3333;0;0,666666667;0,02;8;30;2;;;;;;;;
33,3333;0;0,666666667;0,02;8;30;4;;;;;;;;
33,3333;0;0,666666667;0,02;8;30;6;;;;;;;;
33,3333;0;0,666666667;0,02;8;30;8;;;;;;;;
33,3333;0;0,666666667;0,02;8;40;2;;;;;;;;
33,3333;0;0,666666667;0,02;8;40;4;;;;;;;;
33,3333;0;0,666666667;0,02;8;40;6;;;;;;;;
33,3333;0;0,666666667;0,02;8;40;8;;;;;;;;
33,3333;0;0,666666667;0,02;8;50;2;;;;;;;;
33,3333;0;0,666666667;0,02;8;50;4;;;;;;;;
33,3333;0;0,666666667;0,02;8;50;6;;;;;;;;
33,3333;0;0,666666667;0,02;8;50;8;;;;;;;;
33,3333;0;0,666666667;0,02;8;60;2;;;;;;;;
33,3333;0;0,666666667;0,02;8;60;4;;;;;;;;
33,3333;0;0,666666667;0,02;8;60;6;;;;;;;;
33,3333;0;0,666666667;0,02;8;60;8;;;;;;;;
33,4722;0;0,669444444;0,025;10;50;2;;;;;;;;
33,4722;0;0,669444444;0,025;10;50;4;;;;;;;;
33,4722;0;0,669444444;0,025;10;50;6;;;;;;;;
33,4722;0;0,669444444;0,025;10;60;2;;;;;;;;
33,4722;0;0,669444444;0,025;10;60;4;;;;;;;;
33,4722;0;0,669444444;0,025;10;60;6;;;;;;;;
33,6111;0;0,672222222;0,02;8;30;10;;;;;;;;
33,6111;0;0,672222222;0,02;8;40;10;;;;;;;;
33,6111;0;0,672222222;0,02;8;50;10;;;;;;;;
33,6111;0;0,672222222;0,02;8;60;10;;;;;;;;
33,6111;0;0,672222222;0,025;10;50;8;;;;;;;;
33,6111;0;0,672222222;0,025;10;60;8;;;;;;;;
33,75;0;0,675;0,02;8;20;2;;;;;;;;
