EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
30,4167;0;0,608333333;30;8;30;8;10;;;;;;;;;;;
30,5556;0;0,611111111;10;4;10;4;10;;;;;;;;;;;
30,6944;0;0,613888889;50;12;30;4;50;;;;;;;;;;;
30,6944;0;0,613888889;50;12;50;4;50;;;;;;;;;;;
31,25;0;0,625;50;12;30;4;30;;;;;;;;;;;
31,25;0;0,625;50;12;50;4;30;;;;;;;;;;;
31,5278;0;0,630555556;30;12;10;4;10;;;;;;;;;;;
31,8056;0;0,636111111;50;12;50;12;10;;;;;;;;;;;
31,9444;0;0,638888889;30;8;10;4;50;;;;;;;;;;;
31,9444;0;0,638888889;30;8;50;4;10;;;;;;;;;;;
31,9444;0;0,638888889;50;12;50;8;10;;;;;;;;;;;
32,5;0;0,65;30;8;10;4;30;;;;;;;;;;;
32,5;0;0,65;50;12;30;12;10;;;;;;;;;;;
32,6389;0;0,652777778;50;12;30;8;10;;;;;;;;;;;
32,7778;0;0,655555556;30;8;30;4;10;;;;;;;;;;;
33,3333;0;0,666666667;30;8;10;8;10;;;;;;;;;;;
33,6111;0;0,672222222;30;8;10;12;10;;;;;;;;;;;
34,0278;0;0,680555556;50;12;50;4;10;;;;;;;;;;;
34,5833;0;0,691666667;50;12;30;4;10;;;;;;;;;;;
34,7222;0;0,694444444;30;8;10;4;10;;;;;;;;;;;
35,1389;0;0,702777778;50;8;50;8;50;;;;;;;;;;;
35,1389;0;0,702777778;50;8;50;12;50;;;;;;;;;;;
35,2778;0;0,705555556;50;8;50;8;30;;;;;;;;;;;
35,2778;0;0,705555556;50;8;50;12;30;;;;;;;;;;;
35,6944;0;0,713888889;50;8;50;4;50;;;;;;;;;;;
35,8333;0;0,716666667;50;8;30;8;30;;;;;;;;;;;
35,8333;0;0,716666667;50;8;30;8;50;;;;;;;;;;;
35,8333;0;0,716666667;50;8;30;12;30;;;;;;;;;;;
35,8333;0;0,716666667;50;8;30;12;50;;;;;;;;;;;
35,8333;0;0,716666667;50;8;50;4;30;;;;;;;;;;;
36,3889;0;0,727777778;50;12;10;8;30;;;;;;;;;;;
36,3889;0;0,727777778;50;12;10;8;50;;;;;;;;;;;
36,3889;0;0,727777778;50;12;10;12;30;;;;;;;;;;;
36,3889;0;0,727777778;50;12;10;12;50;;;;;;;;;;;
36,5278;0;0,730555556;50;8;30;4;30;;;;;;;;;;;
36,5278;0;0,730555556;50;8;30;4;50;;;;;;;;;;;
36,9444;0;0,738888889;30;4;50;8;30;;;;;;;;;;;
