EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;;
31,5278;0;0,630555556;0,02;12;50;8;30;12;;;;;;;;;;;;
31,6667;0;0,633333333;0,02;12;10;12;10;4;;;;;;;;;;;;
31,6667;0;0,633333333;0,02;8;30;12;10;4;;;;;;;;;;;;
31,6667;0;0,633333333;0,02;12;30;8;30;12;;;;;;;;;;;;
31,6667;0;0,633333333;0,02;8;50;12;10;4;;;;;;;;;;;;
31,6667;0;0,633333333;0,03;12;50;8;30;12;;;;;;;;;;;;
31,6667;0;0,633333333;0,04;12;50;8;30;12;;;;;;;;;;;;
31,8056;0;0,636111111;0,02;8;10;12;10;4;;;;;;;;;;;;
31,8056;0;0,636111111;0,02;8;30;8;50;12;;;;;;;;;;;;
31,8056;0;0,636111111;0,02;8;50;8;50;12;;;;;;;;;;;;
31,8056;0;0,636111111;0,03;12;30;8;30;12;;;;;;;;;;;;
31,8056;0;0,636111111;0,04;12;30;8;30;12;;;;;;;;;;;;
31,9444;0;0,638888889;0,03;8;30;8;50;12;;;;;;;;;;;;
31,9444;0;0,638888889;0,03;8;50;8;50;12;;;;;;;;;;;;
31,9444;0;0,638888889;0,04;8;30;8;50;12;;;;;;;;;;;;
31,9444;0;0,638888889;0,04;8;50;8;50;12;;;;;;;;;;;;
32,0833;0;0,641666667;0,02;8;30;12;30;12;;;;;;;;;;;;
32,0833;0;0,641666667;0,02;8;50;12;30;12;;;;;;;;;;;;
32,0833;0;0,641666667;0,03;8;30;12;30;12;;;;;;;;;;;;
32,0833;0;0,641666667;0,03;12;30;12;10;4;;;;;;;;;;;;
32,0833;0;0,641666667;0,03;8;50;12;30;12;;;;;;;;;;;;
32,0833;0;0,641666667;0,03;12;50;12;10;4;;;;;;;;;;;;
32,0833;0;0,641666667;0,04;8;30;12;30;12;;;;;;;;;;;;
32,0833;0;0,641666667;0,04;8;50;12;30;12;;;;;;;;;;;;
32,2222;0;0,644444444;0,02;12;30;8;10;4;;;;;;;;;;;;
32,2222;0;0,644444444;0,02;12;50;8;10;4;;;;;;;;;;;;
32,3611;0;0,647222222;0,02;12;10;8;10;4;;;;;;;;;;;;
32,3611;0;0,647222222;0,02;8;30;8;10;4;;;;;;;;;;;;
32,3611;0;0,647222222;0,02;8;50;8;10;4;;;;;;;;;;;;
32,3611;0;0,647222222;0,03;12;10;12;10;4;;;;;;;;;;;;
32,3611;0;0,647222222;0,03;8;30;12;10;4;;;;;;;;;;;;
32,3611;0;0,647222222;0,03;8;50;12;10;4;;;;;;;;;;;;
32,3611;0;0,647222222;0,04;4;10;4;50;4;;;;;;;;;;;;
32,5;0;0,65;0,02;8;10;8;10;4;;;;;;;;;;;;
32,5;0;0,65;0,03;8;10;12;10;4;;;;;;;;;;;;
32,5;0;0,65;0,04;4;10;4;30;4;;;;;;;;;;;;
32,6389;0;0,652777778;0,04;12;30;12;10;4;;;;;;;;;;;;
32,6389;0;0,652777778;0,04;12;50;12;10;4;;;;;;;;;;;;
32,7778;0;0,655555556;0,02;12;10;4;50;8;;;;;;;;;;;;
32,7778;0;0,655555556;0,03;12;10;4;50;8;;;;;;;;;;;;
32,9167;0;0,658333333;0,02;8;10;4;50;8;;;;;;;;;;;;
32,9167;0;0,658333333;0,02;12;10;4;30;8;;;;;;;;;;;;
32,9167;0;0,658333333;0,02;12;10;12;50;12;;;;;;;;;;;;
32,9167;0;0,658333333;0,03;8;10;4;50;8;;;;;;;;;;;;
32,9167;0;0,658333333;0,03;12;10;4;30;8;;;;;;;;;;;;
32,9167;0;0,658333333;0,03;12;10;12;50;12;;;;;;;;;;;;
32,9167;0;0,658333333;0,03;12;30;8;10;4;;;;;;;;;;;;
32,9167;0;0,658333333;0,03;12;50;8;10;4;;;;;;;;;;;;
32,9167;0;0,658333333;0,04;12;10;4;50;8;;;;;;;;;;;;
32,9167;0;0,658333333;0,04;12;10;12;10;4;;;;;;;;;;;;
32,9167;0;0,658333333;0,04;12;10;12;50;12;;;;;;;;;;;;
32,9167;0;0,658333333;0,04;8;30;12;10;4;;;;;;;;;;;;
32,9167;0;0,658333333;0,04;8;50;12;10;4;;;;;;;;;;;;
33,0556;0;0,661111111;0,02;8;10;4;30;8;;;;;;;;;;;;
33,0556;0;0,661111111;0,02;8;30;8;30;12;;;;;;;;;;;;
33,0556;0;0,661111111;0,02;8;50;8;30;12;;;;;;;;;;;;
33,0556;0;0,661111111;0,03;8;10;4;30;8;;;;;;;;;;;;
33,0556;0;0,661111111;0,03;12;10;8;10;4;;;;;;;;;;;;
33,0556;0;0,661111111;0,03;8;30;8;10;4;;;;;;;;;;;;
33,0556;0;0,661111111;0,03;8;30;8;30;12;;;;;;;;;;;;
33,0556;0;0,661111111;0,03;8;50;8;10;4;;;;;;;;;;;;
33,0556;0;0,661111111;0,03;8;50;8;30;12;;;;;;;;;;;;
33,0556;0;0,661111111;0,04;8;10;4;50;8;;;;;;;;;;;;
33,0556;0;0,661111111;0,04;8;10;12;10;4;;;;;;;;;;;;
33,0556;0;0,661111111;0,04;12;10;4;30;8;;;;;;;;;;;;
33,0556;0;0,661111111;0,04;8;30;8;30;12;;;;;;;;;;;;
33,0556;0;0,661111111;0,04;8;50;8;30;12;;;;;;;;;;;;
33,1944;0;0,663888889;0,02;4;50;12;50;8;;;;;;;;;;;;
33,1944;0;0,663888889;0,03;8;10;8;10;4;;;;;;;;;;;;
33,1944;0;0,663888889;0,03;4;50;12;50;8;;;;;;;;;;;;
33,1944;0;0,663888889;0,04;8;10;4;30;8;;;;;;;;;;;;
33,1944;0;0,663888889;0,04;4;50;12;50;8;;;;;;;;;;;;
33,4722;0;0,669444444;0,02;4;30;12;50;8;;;;;;;;;;;;
33,4722;0;0,669444444;0,02;4;50;8;50;8;;;;;;;;;;;;
33,4722;0;0,669444444;0,03;4;30;12;50;8;;;;;;;;;;;;
33,4722;0;0,669444444;0,03;4;50;8;50;8;;;;;;;;;;;;
33,4722;0;0,669444444;0,04;4;30;12;50;8;;;;;;;;;;;;
33,4722;0;0,669444444;0,04;12;30;8;10;4;;;;;;;;;;;;
33,4722;0;0,669444444;0,04;4;50;8;50;8;;;;;;;;;;;;
33,4722;0;0,669444444;0,04;12;50;8;10;4;;;;;;;;;;;;
33,6111;0;0,672222222;0,02;12;10;12;30;12;;;;;;;;;;;;
33,6111;0;0,672222222;0,02;4;30;8;50;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,02;4;30;12;30;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,02;4;50;12;30;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,03;12;10;12;30;12;;;;;;;;;;;;
33,6111;0;0,672222222;0,03;4;30;8;50;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,03;4;30;12;30;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,03;4;50;12;30;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,04;12;10;8;10;4;;;;;;;;;;;;
33,6111;0;0,672222222;0,04;12;10;12;30;12;;;;;;;;;;;;
33,6111;0;0,672222222;0,04;4;30;8;50;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,04;4;30;12;30;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,04;8;30;8;10;4;;;;;;;;;;;;
33,6111;0;0,672222222;0,04;4;50;12;30;8;;;;;;;;;;;;
33,6111;0;0,672222222;0,04;8;50;8;10;4;;;;;;;;;;;;
33,75;0;0,675;0,02;4;30;8;30;8;;;;;;;;;;;;
33,75;0;0,675;0,02;4;50;8;30;8;;;;;;;;;;;;
