EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa;;;;;;;;;;;
24,1667;0;0,483333333;30;10;10;0,4;60;16;;;;;;;;;;;
24,3056;0;0,486111111;30;10;10;0,4;30;16;;;;;;;;;;;
25,1389;0;0,502777778;30;10;10;0,4;60;12;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa
25,5556;0;0,511111111;30;10;10;0,2;30;16;;FMR = 0;24,1667;0;0,483333333;30;10;10;0,4;60;16
25,5556;0;0,511111111;30;10;10;0,2;60;16;;FMR > 0;17,5;0,002777778;0,347222222;20;10;10;0,4;60;16
25,5556;0;0,511111111;30;10;10;0,4;30;12;;;;;;;;;;;
25,8333;0;0,516666667;10;4;10;0,2;60;12;;Matches;total;103680;;;;;;;
26,25;0;0,525;10;4;10;0,2;30;12;;2401;;;;;;;;;
26,25;0;0,525;20;4;40;0,4;60;16;;;;;;;;;;;
26,5278;0;0,530555556;30;10;10;0,2;60;12;;average match;0,023157793;;;;;;;;
26,6667;0;0,533333333;20;4;40;0,4;30;16;;;;;;;;;;;
26,9444;0;0,538888889;30;10;10;0,2;30;12;;;;;;;;;;;
27,5;0;0,55;20;4;40;0,2;60;16;;;;;;;;;;;
27,6389;0;0,552777778;20;4;40;0,4;60;12;;;;;;;;;;;
27,7778;0;0,555555556;20;4;40;0,2;30;16;;;;;;;;;;;
28,0556;0;0,561111111;20;4;40;0,4;30;12;;;;;;;;;;;
28,0556;0;0,561111111;30;10;10;0,4;60;8;;;;;;;;;;;
28,1944;0;0,563888889;30;10;10;0,4;30;8;;;;;;;;;;;
28,6111;0;0,572222222;20;4;40;0,2;60;12;;;;;;;;;;;
28,8889;0;0,577777778;10;4;10;0,2;60;8;;;;;;;;;;;
29,0278;0;0,580555556;20;4;40;0,2;30;12;;;;;;;;;;;
29,1667;0;0,583333333;10;4;10;0,2;30;8;;;;;;;;;;;
29,4444;0;0,588888889;30;10;10;0,2;60;8;;;;;;;;;;;
29,5833;0;0,591666667;30;10;10;0,2;30;8;;;;;;;;;;;
30,5556;0;0,611111111;20;4;10;0,4;60;16;;;;;;;;;;;
30,6944;0;0,613888889;20;4;10;0,4;30;16;;;;;;;;;;;
30,8333;0;0,616666667;20;4;10;0,2;60;16;;;;;;;;;;;
30,9722;0;0,619444444;20;4;10;0,2;30;16;;;;;;;;;;;
30,9722;0;0,619444444;20;4;10;0,4;60;12;;;;;;;;;;;
30,9722;0;0,619444444;20;4;40;0,4;60;8;;;;;;;;;;;
31,25;0;0,625;20;4;10;0,2;60;12;;;;;;;;;;;
31,3889;0;0,627777778;20;4;10;0,4;30;12;;;;;;;;;;;
31,3889;0;0,627777778;20;4;40;0,4;30;8;;;;;;;;;;;
31,6667;0;0,633333333;20;4;10;0,2;30;12;;;;;;;;;;;
31,6667;0;0,633333333;20;4;40;0,2;60;8;;;;;;;;;;;
32,0833;0;0,641666667;20;4;40;0,2;30;8;;;;;;;;;;;
32,7778;0;0,655555556;30;4;40;0,4;60;16;;;;;;;;;;;
32,9167;0;0,658333333;30;4;40;0,4;30;16;;;;;;;;;;;
33,0556;0;0,661111111;30;4;40;0,2;60;16;;;;;;;;;;;
33,1944;0;0,663888889;20;4;10;0,4;60;8;;;;;;;;;;;
33,1944;0;0,663888889;30;4;40;0,2;30;16;;;;;;;;;;;
33,1944;0;0,663888889;30;4;40;0,4;60;12;;;;;;;;;;;
33,4722;0;0,669444444;20;4;10;0,2;60;8;;;;;;;;;;;
33,4722;0;0,669444444;20;4;10;0,4;30;8;;;;;;;;;;;
33,4722;0;0,669444444;30;4;40;0,2;60;12;;;;;;;;;;;
33,6111;0;0,672222222;30;4;40;0,4;30;12;;;;;;;;;;;
33,75;0;0,675;20;4;10;0,2;30;8;;;;;;;;;;;
33,8889;0;0,677777778;30;4;40;0,2;30;12;;;;;;;;;;;
35;0;0,7;30;4;40;0,4;60;8;;;;;;;;;;;
35,1389;0;0,702777778;30;4;40;0,2;60;8;;;;;;;;;;;
35,2778;0;0,705555556;30;4;40;0,4;30;8;;;;;;;;;;;
35,4167;0;0,708333333;30;4;10;0,4;30;16;;;;;;;;;;;
35,4167;0;0,708333333;30;4;10;0,4;60;16;;;;;;;;;;;
35,4167;0;0,708333333;30;4;40;0,2;30;8;;;;;;;;;;;
35,5556;0;0,711111111;30;4;10;0,4;60;12;;;;;;;;;;;
35,6944;0;0,713888889;30;4;10;0,2;30;16;;;;;;;;;;;
35,6944;0;0,713888889;30;4;10;0,2;60;16;;;;;;;;;;;
35,8333;0;0,716666667;30;4;10;0,2;60;12;;;;;;;;;;;
35,8333;0;0,716666667;30;4;10;0,4;30;12;;;;;;;;;;;
36,1111;0;0,722222222;30;4;10;0,2;30;12;;;;;;;;;;;
36,6667;0;0,733333333;30;4;10;0,4;60;8;;;;;;;;;;;
36,8056;0;0,736111111;30;4;10;0,2;60;8;;;;;;;;;;;
36,8056;0;0,736111111;30;4;10;0,4;30;8;;;;;;;;;;;
36,9444;0;0,738888889;30;4;10;0,2;30;8;;;;;;;;;;;
17,5;0,002777778;0,347222222;20;10;10;0,4;60;16;;;;;;;;;;;
17,5;0,002777778;0,347222222;30;10;40;0,4;60;16;;;;;;;;;;;
18,0556;0,002777778;0,358333333;20;10;10;0,4;30;16;;;;;;;;;;;
18,4722;0,002777778;0,366666667;30;10;40;0,4;30;16;;;;;;;;;;;
19,3056;0,002777778;0,383333333;20;10;10;0,4;60;12;;;;;;;;;;;
19,5833;0,002777778;0,388888889;30;10;40;0,4;60;12;;;;;;;;;;;
20,1389;0,002777778;0,4;20;10;10;0,4;30;12;;;;;;;;;;;
20,4167;0,002777778;0,405555556;30;10;40;0,4;30;12;;;;;;;;;;;
21,1111;0,002777778;0,419444444;20;10;10;0,2;60;16;;;;;;;;;;;
21,25;0,002777778;0,422222222;30;10;40;0,2;60;16;;;;;;;;;;;
21,3889;0,002777778;0,425;20;10;10;0,2;30;16;;;;;;;;;;;
21,5278;0,002777778;0,427777778;30;10;40;0,2;30;16;;;;;;;;;;;
22,7778;0,002777778;0,452777778;20;10;10;0,2;60;12;;;;;;;;;;;
23,0556;0,002777778;0,458333333;20;10;10;0,2;30;12;;;;;;;;;;;
23,0556;0,002777778;0,458333333;30;10;40;0,2;60;12;;;;;;;;;;;
23,1944;0,002777778;0,461111111;30;10;40;0,2;30;12;;;;;;;;;;;
24,3056;0,002777778;0,483333333;10;4;10;0,2;60;16;;;;;;;;;;;
24,3056;0,002777778;0,483333333;20;10;10;0,4;60;8;;;;;;;;;;;
24,5833;0,002777778;0,488888889;10;4;10;0,2;30;16;;;;;;;;;;;
24,5833;0,002777778;0,488888889;20;10;10;0,4;30;8;;;;;;;;;;;
24,8611;0,002777778;0,494444444;30;10;40;0,4;60;8;;;;;;;;;;;
25,1389;0,002777778;0,5;20;10;40;0,2;30;8;;;;;;;;;;;
25,1389;0,002777778;0,5;30;10;40;0,4;30;8;;;;;;;;;;;
27,0833;0,002777778;0,538888889;20;10;10;0,2;60;8;;;;;;;;;;;
27,2222;0,002777778;0,541666667;20;10;10;0,2;30;8;;;;;;;;;;;
27,5;0,002777778;0,547222222;30;10;40;0,2;60;8;;;;;;;;;;;
27,6389;0,002777778;0,55;30;10;40;0,2;30;8;;;;;;;;;;;
24,7222;0,008333333;0,486111111;20;10;40;0,2;60;8;;;;;;;;;;;
27,9167;0,008333333;0,55;10;4;40;0,2;60;8;;;;;;;;;;;
28,1944;0,008333333;0,555555556;10;4;40;0,2;30;8;;;;;;;;;;;
20;0,011111111;0,388888889;20;10;40;0,2;30;12;;;;;;;;;;;
24,5833;0,011111111;0,480555556;10;4;10;0,4;60;12;;;;;;;;;;;
25;0,011111111;0,488888889;10;4;10;0,4;30;12;;;;;;;;;;;
28,0556;0,011111111;0,55;10;4;10;0,4;60;8;;;;;;;;;;;
28,4722;0,011111111;0,558333333;10;4;10;0,4;30;8;;;;;;;;;;;
17,2222;0,013888889;0,330555556;20;10;40;0,2;30;16;;;;;;;;;;;
22,9167;0,013888889;0,444444444;10;4;10;0,4;60;16;;;;;;;;;;;
23,1944;0,013888889;0,45;10;4;10;0,4;30;16;;;;;;;;;;;
24,1667;0,016666667;0,466666667;10;4;40;0,2;60;12;;;;;;;;;;;
24,7222;0,016666667;0,477777778;10;4;40;0,2;30;12;;;;;;;;;;;
24,7222;0,019444444;0,475;10;10;10;0,2;30;8;;;;;;;;;;;
26,1111;0,019444444;0,502777778;10;4;40;0,4;60;8;;;;;;;;;;;
26,3889;0,019444444;0,508333333;10;4;40;0,4;30;8;;;;;;;;;;;
18,8889;0,022222222;0,355555556;20;10;40;0,2;60;12;;;;;;;;;;;
22,7778;0,025;0,430555556;10;4;40;0,2;30;16;;;;;;;;;;;
22,2222;0,027777778;0,416666667;20;10;40;0,4;30;8;;;;;;;;;;;
17,0833;0,033333333;0,308333333;20;10;40;0,2;60;16;;;;;;;;;;;
22,3611;0,033333333;0,413888889;10;4;40;0,4;30;12;;;;;;;;;;;
24,7222;0,033333333;0,461111111;10;10;10;0,2;60;8;;;;;;;;;;;
22,9167;0,036111111;0,422222222;10;4;40;0,2;60;16;;;;;;;;;;;
21,3889;0,041666667;0,386111111;20;10;40;0,4;60;8;;;;;;;;;;;
21,9444;0,044444444;0,394444444;10;4;40;0,4;60;12;;;;;;;;;;;
20,8333;0,047222222;0,369444444;10;10;10;0,2;30;12;;;;;;;;;;;
20,6944;0,05;0,363888889;10;4;40;0,4;30;16;;;;;;;;;;;
17,9167;0,055555556;0,302777778;20;10;40;0,4;30;12;;;;;;;;;;;
18,6111;0,055555556;0,316666667;10;10;10;0,2;30;16;;;;;;;;;;;
15,4167;0,066666667;0,241666667;20;10;40;0,4;30;16;;;;;;;;;;;
20;0,066666667;0,333333333;10;10;10;0,2;60;12;;;;;;;;;;;
20,9722;0,066666667;0,352777778;10;4;40;0,4;60;16;;;;;;;;;;;
18,0556;0,083333333;0,277777778;10;10;10;0,2;60;16;;;;;;;;;;;
17,5;0,091666667;0,258333333;20;10;40;0,4;60;12;;;;;;;;;;;
23,8889;0,097222222;0,380555556;10;10;10;0,4;30;8;;;;;;;;;;;
24,7222;0,097222222;0,397222222;10;10;40;0,2;30;8;;;;;;;;;;;
15,2778;0,102777778;0,202777778;20;10;40;0,4;60;16;;;;;;;;;;;
24,5833;0,147222222;0,344444444;10;10;10;0,4;60;8;;;;;;;;;;;
20,9722;0,161111111;0,258333333;10;10;10;0,4;30;12;;;;;;;;;;;
24,7222;0,166666667;0,327777778;10;10;40;0,2;60;8;;;;;;;;;;;
20,2778;0,197222222;0,208333333;10;10;10;0,4;30;16;;;;;;;;;;;
22,5;0,202777778;0,247222222;10;10;40;0,2;30;12;;;;;;;;;;;
20,6944;0,236111111;0,177777778;10;10;40;0,2;30;16;;;;;;;;;;;
23,6111;0,252777778;0,219444444;10;10;10;0,4;60;12;;;;;;;;;;;
22,7778;0,288888889;0,166666667;10;10;40;0,2;60;12;;;;;;;;;;;
27,0833;0,294444444;0,247222222;10;10;40;0,4;30;8;;;;;;;;;;;
23,8889;0,302777778;0,175;10;10;10;0,4;60;16;;;;;;;;;;;
24,3056;0,369444444;0,116666667;10;10;40;0,2;60;16;;;;;;;;;;;
28,1944;0,452777778;0,111111111;10;10;40;0,4;30;12;;;;;;;;;;;
33,0556;0,488888889;0,172222222;10;10;40;0,4;60;8;;;;;;;;;;;
30,5556;0,527777778;0,083333333;10;10;40;0,4;30;16;;;;;;;;;;;
35,1389;0,65;0,052777778;10;10;40;0,4;60;12;;;;;;;;;;;
40,2778;0,761111111;0,044444444;10;10;40;0,4;60;16;;;;;;;;;;;
Matches;total;103680;;;;;;;;;;;;;;;;;
2401;;;;;;;;;;;;;;;;;;;
