EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
20,8333;0;0,416666667;30;12;50;4;50;;;;;;;;;;;
22,6389;0;0,452777778;10;4;10;12;50;;;;;;;;;;;
22,6389;0;0,452777778;30;12;30;4;50;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR
23,3333;0;0,466666667;10;4;10;12;30;;;FMR = 0;20,8333;0;0,416666667;30;12;50;4;50
23,6111;0;0,472222222;10;4;10;8;50;;;FMR > 0;18,75;0,005555556;0,369444444;30;12;30;8;30
23,6111;0;0,472222222;30;12;50;4;30;;;;;;;;;;;
24,1667;0;0,483333333;10;4;10;8;30;;;Matches;total;174960;;;;;;
24,3056;0;0,486111111;30;8;50;12;50;;;1000;;;;;;;;
24,5833;0;0,491666667;30;8;30;12;50;;;;;;;;;;;
25,1389;0;0,502777778;30;12;30;4;30;;;average match;0,005715592;;;;;;;
25,1389;0;0,502777778;30;8;50;8;50;;;;;;;;;;;
25,2778;0;0,505555556;30;12;10;12;50;;;;;;;;;;;
25,5556;0;0,511111111;30;8;30;8;50;;;;;;;;;;;
25,5556;0;0,511111111;30;8;50;12;30;;;;;;;;;;;
26,1111;0;0,522222222;30;8;30;12;30;;;;;;;;;;;
26,25;0;0,525;30;12;10;8;50;;;;;;;;;;;
26,25;0;0,525;30;12;10;12;30;;;;;;;;;;;
26,5278;0;0,530555556;30;8;50;8;30;;;;;;;;;;;
26,8056;0;0,536111111;30;8;30;8;30;;;;;;;;;;;
27,0833;0;0,541666667;30;12;10;8;30;;;;;;;;;;;
28,4722;0;0,569444444;10;4;10;4;50;;;;;;;;;;;
29,0278;0;0,580555556;10;4;10;4;30;;;;;;;;;;;
30,1389;0;0,602777778;30;8;50;4;50;;;;;;;;;;;
30,4167;0;0,608333333;30;12;10;4;50;;;;;;;;;;;
30,5556;0;0,611111111;30;8;30;4;50;;;;;;;;;;;
30,5556;0;0,611111111;50;12;50;12;50;;;;;;;;;;;
30,9722;0;0,619444444;30;12;10;4;30;;;;;;;;;;;
30,9722;0;0,619444444;30;8;50;4;30;;;;;;;;;;;
31,1111;0;0,622222222;50;12;30;12;50;;;;;;;;;;;
31,1111;0;0,622222222;50;12;50;8;50;;;;;;;;;;;
31,1111;0;0,622222222;50;12;50;12;30;;;;;;;;;;;
31,25;0;0,625;30;8;10;12;50;;;;;;;;;;;
31,3889;0;0,627777778;30;8;30;4;30;;;;;;;;;;;
31,5278;0;0,630555556;50;12;30;12;30;;;;;;;;;;;
31,6667;0;0,633333333;30;8;10;12;30;;;;;;;;;;;
31,6667;0;0,633333333;50;12;30;8;50;;;;;;;;;;;
31,6667;0;0,633333333;50;12;50;8;30;;;;;;;;;;;
31,9444;0;0,638888889;30;8;10;8;50;;;;;;;;;;;
31,9444;0;0,638888889;50;12;30;8;30;;;;;;;;;;;
32,3611;0;0,647222222;30;8;10;8;30;;;;;;;;;;;
33,0556;0;0,661111111;30;12;30;12;10;;;;;;;;;;;
33,0556;0;0,661111111;30;12;50;12;10;;;;;;;;;;;
33,3333;0;0,666666667;10;4;30;12;10;;;;;;;;;;;
33,3333;0;0,666666667;10;4;50;12;10;;;;;;;;;;;
33,3333;0;0,666666667;30;12;30;8;10;;;;;;;;;;;
33,3333;0;0,666666667;30;12;50;8;10;;;;;;;;;;;
33,6111;0;0,672222222;10;4;30;8;10;;;;;;;;;;;
33,6111;0;0,672222222;10;4;50;8;10;;;;;;;;;;;
34,1667;0;0,683333333;10;4;10;12;10;;;;;;;;;;;
34,1667;0;0,683333333;30;8;10;4;50;;;;;;;;;;;
34,1667;0;0,683333333;50;12;50;4;50;;;;;;;;;;;
34,4444;0;0,688888889;10;4;10;8;10;;;;;;;;;;;
34,4444;0;0,688888889;30;8;50;12;10;;;;;;;;;;;
34,4444;0;0,688888889;50;12;30;4;50;;;;;;;;;;;
34,5833;0;0,691666667;30;8;30;12;10;;;;;;;;;;;
34,5833;0;0,691666667;50;12;50;4;30;;;;;;;;;;;
34,7222;0;0,694444444;30;8;10;4;30;;;;;;;;;;;
34,7222;0;0,694444444;30;8;50;8;10;;;;;;;;;;;
34,8611;0;0,697222222;30;8;30;8;10;;;;;;;;;;;
34,8611;0;0,697222222;50;12;30;4;30;;;;;;;;;;;
35,1389;0;0,702777778;50;8;50;12;30;;;;;;;;;;;
35,1389;0;0,702777778;50;8;50;12;50;;;;;;;;;;;
35,2778;0;0,705555556;30;12;10;12;10;;;;;;;;;;;
35,2778;0;0,705555556;30;12;30;4;10;;;;;;;;;;;
35,2778;0;0,705555556;30;12;50;4;10;;;;;;;;;;;
35,4167;0;0,708333333;10;4;30;4;10;;;;;;;;;;;
35,4167;0;0,708333333;10;4;50;4;10;;;;;;;;;;;
35,4167;0;0,708333333;50;8;30;12;50;;;;;;;;;;;
35,5556;0;0,711111111;30;12;10;8;10;;;;;;;;;;;
35,5556;0;0,711111111;50;8;30;12;30;;;;;;;;;;;
35,6944;0;0,713888889;50;8;50;8;50;;;;;;;;;;;
35,8333;0;0,716666667;50;8;50;8;30;;;;;;;;;;;
35,9722;0;0,719444444;10;4;10;4;10;;;;;;;;;;;
35,9722;0;0,719444444;30;4;30;8;30;;;;;;;;;;;
35,9722;0;0,719444444;30;4;30;8;50;;;;;;;;;;;
35,9722;0;0,719444444;30;4;50;8;30;;;;;;;;;;;
35,9722;0;0,719444444;30;4;50;8;50;;;;;;;;;;;
35,9722;0;0,719444444;50;8;30;8;50;;;;;;;;;;;
36,1111;0;0,722222222;30;4;30;12;30;;;;;;;;;;;
36,1111;0;0,722222222;30;4;30;12;50;;;;;;;;;;;
36,1111;0;0,722222222;30;4;50;12;30;;;;;;;;;;;
36,1111;0;0,722222222;30;4;50;12;50;;;;;;;;;;;
36,1111;0;0,722222222;30;8;50;4;10;;;;;;;;;;;
36,25;0;0,725;30;8;30;4;10;;;;;;;;;;;
36,25;0;0,725;50;8;30;8;30;;;;;;;;;;;
36,5278;0;0,730555556;30;12;10;4;10;;;;;;;;;;;
36,8056;0;0,736111111;50;8;50;4;50;;;;;;;;;;;
36,9444;0;0,738888889;30;4;30;4;30;;;;;;;;;;;
36,9444;0;0,738888889;30;4;30;4;50;;;;;;;;;;;
36,9444;0;0,738888889;30;4;50;4;30;;;;;;;;;;;
36,9444;0;0,738888889;30;4;50;4;50;;;;;;;;;;;
36,9444;0;0,738888889;50;12;30;12;10;;;;;;;;;;;
36,9444;0;0,738888889;50;8;50;4;30;;;;;;;;;;;
36,9444;0;0,738888889;50;12;50;12;10;;;;;;;;;;;
37,0833;0;0,741666667;50;12;10;12;30;;;;;;;;;;;
37,0833;0;0,741666667;50;12;10;12;50;;;;;;;;;;;
37,0833;0;0,741666667;50;8;30;4;50;;;;;;;;;;;
37,2222;0;0,744444444;30;8;10;12;10;;;;;;;;;;;
37,2222;0;0,744444444;50;12;10;8;30;;;;;;;;;;;
37,2222;0;0,744444444;50;12;10;8;50;;;;;;;;;;;
37,2222;0;0,744444444;50;8;30;4;30;;;;;;;;;;;
37,2222;0;0,744444444;50;12;30;8;10;;;;;;;;;;;
37,2222;0;0,744444444;50;12;50;8;10;;;;;;;;;;;
37,3611;0;0,747222222;30;8;10;8;10;;;;;;;;;;;
37,3611;0;0,747222222;50;12;50;4;10;;;;;;;;;;;
37,5;0;0,75;50;12;30;4;10;;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;12;50;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;8;50;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;12;30;;;;;;;;;;;
37,7778;0;0,755555556;30;8;10;4;10;;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;4;30;;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;4;50;;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;8;30;;;;;;;;;;;
38,0556;0;0,761111111;30;4;30;8;10;;;;;;;;;;;
38,0556;0;0,761111111;30;4;30;12;10;;;;;;;;;;;
38,0556;0;0,761111111;30;4;50;8;10;;;;;;;;;;;
38,0556;0;0,761111111;30;4;50;12;10;;;;;;;;;;;
38,0556;0;0,761111111;50;8;30;12;10;;;;;;;;;;;
38,0556;0;0,761111111;50;8;50;12;10;;;;;;;;;;;
38,1944;0;0,763888889;50;12;10;4;50;;;;;;;;;;;
38,1944;0;0,763888889;50;8;30;8;10;;;;;;;;;;;
38,1944;0;0,763888889;50;8;50;8;10;;;;;;;;;;;
38,3333;0;0,766666667;30;4;30;4;10;;;;;;;;;;;
38,3333;0;0,766666667;30;4;50;4;10;;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;12;50;;;;;;;;;;;
