EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
35,1389;0;0,702777778;50;12;50;8;10;;;;;;;;;;;
35,4167;0;0,708333333;50;12;30;8;10;;;;;;;;;;;
36,1111;0;0,722222222;30;4;30;8;50;;;;;;;;;;;
36,1111;0;0,722222222;30;4;30;12;50;;;;;;;;;;;
36,1111;0;0,722222222;30;4;50;8;50;;;;;;;;;;;
36,1111;0;0,722222222;30;4;50;12;50;;;;;;;;;;;
36,25;0;0,725;30;8;10;4;10;;;;;;;;;;;
36,25;0;0,725;30;4;30;8;30;;;;;;;;;;;
36,25;0;0,725;30;4;30;12;30;;;;;;;;;;;
36,25;0;0,725;30;4;50;8;30;;;;;;;;;;;
36,25;0;0,725;30;4;50;12;30;;;;;;;;;;;
36,3889;0;0,727777778;50;8;30;4;50;;;;;;;;;;;
36,3889;0;0,727777778;50;12;30;4;10;;;;;;;;;;;
36,3889;0;0,727777778;50;8;50;4;50;;;;;;;;;;;
36,3889;0;0,727777778;50;12;50;4;10;;;;;;;;;;;
36,5278;0;0,730555556;50;8;50;4;30;;;;;;;;;;;
36,6667;0;0,733333333;30;4;30;4;50;;;;;;;;;;;
36,6667;0;0,733333333;30;4;50;4;50;;;;;;;;;;;
36,6667;0;0,733333333;50;8;30;4;30;;;;;;;;;;;
36,8056;0;0,736111111;30;4;30;4;30;;;;;;;;;;;
36,8056;0;0,736111111;30;4;50;4;30;;;;;;;;;;;
36,8056;0;0,736111111;50;8;50;12;10;;;;;;;;;;;
36,9444;0;0,738888889;50;8;30;12;10;;;;;;;;;;;
37,0833;0;0,741666667;50;8;30;8;10;;;;;;;;;;;
37,0833;0;0,741666667;50;8;50;8;10;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;8;50;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;12;50;;;;;;;;;;;
37,3611;0;0,747222222;30;4;10;8;30;;;;;;;;;;;
37,3611;0;0,747222222;30;4;10;12;30;;;;;;;;;;;
37,3611;0;0,747222222;30;4;30;8;10;;;;;;;;;;;
37,3611;0;0,747222222;30;4;30;12;10;;;;;;;;;;;
37,3611;0;0,747222222;30;4;50;8;10;;;;;;;;;;;
37,3611;0;0,747222222;30;4;50;12;10;;;;;;;;;;;
37,3611;0;0,747222222;50;12;10;8;30;;;;;;;;;;;
37,3611;0;0,747222222;50;12;10;8;50;;;;;;;;;;;
37,3611;0;0,747222222;50;12;10;12;30;;;;;;;;;;;
37,3611;0;0,747222222;50;12;10;12;50;;;;;;;;;;;
37,6389;0;0,752777778;50;8;30;4;10;;;;;;;;;;;
37,6389;0;0,752777778;50;8;50;4;10;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;4;50;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;8;10;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;12;10;;;;;;;;;;;
37,7778;0;0,755555556;30;4;30;4;10;;;;;;;;;;;
37,7778;0;0,755555556;30;4;50;4;10;;;;;;;;;;;
37,7778;0;0,755555556;50;12;10;4;30;;;;;;;;;;;
37,7778;0;0,755555556;50;12;10;4;50;;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;4;30;;;;;;;;;;;
38,1944;0;0,763888889;30;4;10;4;10;;;;;;;;;;;
38,1944;0;0,763888889;50;8;10;8;30;;;;;;;;;;;
38,1944;0;0,763888889;50;8;10;8;50;;;;;;;;;;;
38,1944;0;0,763888889;50;8;10;12;30;;;;;;;;;;;
38,1944;0;0,763888889;50;8;10;12;50;;;;;;;;;;;
38,1944;0;0,763888889;50;12;10;4;10;;;;;;;;;;;
38,1944;0;0,763888889;50;12;10;8;10;;;;;;;;;;;
38,1944;0;0,763888889;50;12;10;12;10;;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;4;30;;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;4;50;;;;;;;;;;;
38,4722;0;0,769444444;50;8;10;4;10;;;;;;;;;;;
38,4722;0;0,769444444;50;8;10;8;10;;;;;;;;;;;
38,4722;0;0,769444444;50;8;10;12;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;4;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;4;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;4;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;8;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;8;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;8;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;12;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;12;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;30;12;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;4;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;4;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;4;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;8;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;8;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;8;50;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;12;10;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;12;30;;;;;;;;;;;
38,8889;0;0,777777778;50;4;50;12;50;;;;;;;;;;;
20;0,002777778;0,397222222;30;12;50;8;30;;;;;;;;;;;
24,4444;0,002777778;0,486111111;10;4;10;12;30;;;;;;;;;;;
24,4444;0,002777778;0,486111111;10;4;10;12;50;;;;;;;;;;;
24,5833;0,002777778;0,488888889;10;4;10;8;50;;;;;;;;;;;
24,8611;0,002777778;0,494444444;10;4;10;8;30;;;;;;;;;;;
26,5278;0,002777778;0,527777778;10;4;30;4;50;;;;;;;;;;;
26,8056;0,002777778;0,533333333;10;4;50;4;30;;;;;;;;;;;
26,9444;0,002777778;0,536111111;10;4;30;4;30;;;;;;;;;;;
28,1944;0,002777778;0,561111111;10;12;10;12;10;;;;;;;;;;;
28,6111;0,002777778;0,569444444;10;8;50;8;10;;;;;;;;;;;
28,75;0,002777778;0,572222222;10;8;30;8;10;;;;;;;;;;;
29,0278;0,002777778;0,577777778;10;12;10;8;10;;;;;;;;;;;
18,75;0,005555556;0,369444444;30;12;50;8;50;;;;;;;;;;;
19,4444;0,005555556;0,383333333;30;12;50;12;30;;;;;;;;;;;
23,3333;0,005555556;0,461111111;10;8;10;4;50;;;;;;;;;;;
24,4444;0,005555556;0,483333333;10;8;10;4;30;;;;;;;;;;;
26,25;0,005555556;0,519444444;10;4;50;4;50;;;;;;;;;;;
27,7778;0,005555556;0,55;10;8;50;12;10;;;;;;;;;;;
28,0556;0,005555556;0,555555556;10;8;30;12;10;;;;;;;;;;;
28,1944;0,005555556;0,558333333;10;12;30;8;10;;;;;;;;;;;
28,1944;0,005555556;0,558333333;10;12;50;8;10;;;;;;;;;;;
17,7778;0,008333333;0,347222222;30;12;50;12;50;;;;;;;;;;;
21,6667;0,008333333;0,425;10;12;10;4;30;;;;;;;;;;;
19,3056;0,011111111;0,375;10;4;30;12;50;;;;;;;;;;;
20,2778;0,011111111;0,394444444;10;4;30;8;50;;;;;;;;;;;
20,2778;0,011111111;0,394444444;10;4;50;12;30;;;;;;;;;;;
20,6944;0,011111111;0,402777778;10;4;30;12;30;;;;;;;;;;;
20,9722;0,011111111;0,408333333;10;4;50;8;30;;;;;;;;;;;
21,3889;0,011111111;0,416666667;10;4;30;8;30;;;;;;;;;;;
19,7222;0,016666667;0,377777778;10;12;10;4;50;;;;;;;;;;;
18,8889;0,019444444;0,358333333;10;8;10;8;30;;;;;;;;;;;
18,8889;0,019444444;0,358333333;10;4;50;12;50;;;;;;;;;;;
27,7778;0,019444444;0,536111111;10;12;30;12;10;;;;;;;;;;;
27,7778;0,019444444;0,536111111;10;12;50;12;10;;;;;;;;;;;
17,2222;0,022222222;0,322222222;10;8;10;8;50;;;;;;;;;;;
20,1389;0,022222222;0,380555556;10;4;50;8;50;;;;;;;;;;;
21,3889;0,027777778;0,4;10;8;30;4;30;;;;;;;;;;;
