TRESHOLD;EER;FMR;FNMR
0;50;1;0
3;49,8611;0,997222222;0
6;41,25;0,775;0,05
9;28,4722;0,386111111;0,183333333
12;23,0556;0,158333333;0,302777778
15;21,8056;0,044444444;0,391666667
18;22,2222;0,005555556;0,438888889
