GATHR;EER;FMR;FNMR
TRESHOLD;15;;
0;38,8889;0;0,777777778
3;36,6667;0;0,733333333
6;30,4167;0;0,608333333
9;26,8056;0;0,536111111
12;24,0278;0,002777778;0,477777778
15;22,9167;0,002777778;0,455555556
18;21,6667;0,005555556;0,427777778
21;21,8056;0,011111111;0,425
24;22,0833;0,022222222;0,419444444
27;22,0833;0,033333333;0,408333333
30;21,8056;0,044444444;0,391666667
33;21,3889;0,061111111;0,366666667
36;20,6944;0,069444444;0,344444444
39;20,5556;0,086111111;0,325
42;21,8056;0,111111111;0,325
45;21,9444;0,136111111;0,302777778
48;22,3611;0,152777778;0,294444444
51;24,0278;0,188888889;0,291666667
54;23,8889;0,2;0,277777778
57;24,5833;0,227777778;0,263888889
60;25,4167;0,25;0,258333333
63;25,9722;0,269444444;0,25
66;25,6944;0,283333333;0,230555556
69;26,6667;0,313888889;0,219444444
72;27,5;0,336111111;0,213888889
75;28,4722;0,358333333;0,211111111
78;28,75;0,380555556;0,194444444
81;30,6944;0,416666667;0,197222222
84;31,3889;0,441666667;0,186111111
87;31,8056;0,461111111;0,175
