Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,26250
EER(%):; 13,452
FMR100(%):; 34,286
FMR1000(%):; 62,500
ZeroFmr(%):; 62,500
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,6250;0,0222
0,0028;0,6250;0,0221
0,0028;0,4107;0,0117
0,0056;0,4107;0,0117
0,0056;0,4000;0,0115
0,0083;0,4000;0,0113
0,0083;0,3429;0,0087
0,0111;0,3429;0,0087
0,0111;0,3321;0,0086
0,0139;0,3321;0,0082
0,0139;0,3214;0,0081
0,0222;0,3214;0,0076
0,0222;0,3179;0,0074
0,0250;0,3179;0,0074
0,0250;0,3071;0,0072
0,0278;0,3071;0,0072
0,0278;0,3036;0,0071
0,0306;0,3036;0,0071
0,0306;0,2929;0,0069
0,0333;0,2929;0,0068
0,0333;0,2857;0,0066
0,0361;0,2857;0,0066
0,0361;0,2750;0,0065
0,0389;0,2750;0,0064
0,0389;0,2643;0,0063
0,0444;0,2643;0,0062
0,0444;0,2500;0,0061
0,0500;0,2500;0,0059
0,0500;0,2464;0,0059
0,0611;0,2464;0,0058
0,0611;0,2429;0,0057
0,0667;0,2429;0,0057
0,0667;0,2393;0,0057
0,0694;0,2393;0,0056
0,0694;0,2286;0,0055
0,0722;0,2286;0,0055
0,0722;0,2143;0,0052
0,0750;0,2143;0,0052
0,0750;0,1964;0,0051
0,0861;0,1964;0,0050
0,0861;0,1821;0,0049
0,0917;0,1821;0,0049
0,0917;0,1750;0,0048
0,0972;0,1750;0,0048
0,0972;0,1643;0,0047
0,1028;0,1643;0,0047
0,1028;0,1607;0,0046
0,1111;0,1607;0,0046
0,1111;0,1571;0,0046
0,1222;0,1571;0,0044
0,1222;0,1536;0,0044
0,1306;0,1536;0,0043
0,1306;0,1393;0,0041
0,1333;0,1393;0,0041
0,1333;0,1357;0,0040
0,1528;0,1357;0,0039
0,1528;0,1286;0,0039
0,1556;0,1286;0,0039
0,1556;0,1250;0,0038
0,1611;0,1250;0,0037
0,1611;0,1214;0,0036
0,1778;0,1214;0,0035
0,1778;0,1143;0,0035
0,1917;0,1143;0,0034
0,1917;0,1107;0,0034
0,2028;0,1107;0,0033
0,2028;0,1071;0,0033
0,2333;0,1071;0,0032
0,2333;0,1036;0,0032
0,2389;0,1036;0,0032
0,2389;0,0964;0,0032
0,2444;0,0964;0,0032
0,2444;0,0893;0,0032
0,2528;0,0893;0,0031
0,2528;0,0857;0,0031
0,2639;0,0857;0,0031
0,2639;0,0821;0,0031
0,2750;0,0821;0,0029
0,2750;0,0750;0,0029
0,2833;0,0750;0,0029
0,2833;0,0714;0,0029
0,3000;0,0714;0,0028
0,3000;0,0679;0,0028
0,3111;0,0679;0,0027
0,3111;0,0643;0,0027
0,3250;0,0643;0,0027
0,3250;0,0607;0,0027
0,3361;0,0607;0,0025
0,3361;0,0571;0,0025
0,3611;0,0571;0,0024
0,3611;0,0536;0,0024
0,4278;0,0536;0,0021
0,4278;0,0500;0,0021
0,4389;0,0500;0,0021
0,4389;0,0464;0,0020
0,4417;0,0464;0,0020
0,4417;0,0429;0,0020
0,4972;0,0429;0,0018
0,4972;0,0321;0,0017
0,5000;0,0321;0,0017
0,5000;0,0286;0,0017
0,5861;0,0286;0,0015
0,5861;0,0250;0,0015
0,5889;0,0250;0,0015
0,5889;0,0214;0,0015
0,6139;0,0214;0,0014
0,6139;0,0179;0,0014
0,6694;0,0179;0,0013
0,6694;0,0143;0,0013
0,7722;0,0143;0,0010
0,7722;0,0107;0,0010
0,9167;0,0107;0,0005
0,9167;0,0071;0,0005
1,0000;0,0071;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
