Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 2,38438
EER(%):; 29,226
FMR100(%):; 53,214
FMR1000(%):; 63,214
ZeroFmr(%):; 63,214
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,6321;36,1099
0,0028;0,6321;35,6273
0,0028;0,5893;32,2001
0,0056;0,5893;30,9905
0,0056;0,5357;27,8290
0,0083;0,5357;27,5688
0,0083;0,5321;26,5573
0,0111;0,5321;26,4178
0,0111;0,5286;26,3251
0,0139;0,5286;26,1019
0,0139;0,5214;25,4363
0,0167;0,5214;25,3253
0,0167;0,5179;25,2527
0,0194;0,5179;25,1946
0,0194;0,4964;24,5308
0,0222;0,4964;24,3782
0,0222;0,4821;23,7198
0,0306;0,4821;23,5779
0,0306;0,4786;23,5522
0,0333;0,4786;23,4297
0,0333;0,4750;23,3760
0,0361;0,4750;23,2233
0,0361;0,4714;23,1886
0,0389;0,4714;23,1359
0,0389;0,4643;22,7994
0,0417;0,4643;22,7633
0,0417;0,4607;22,6473
0,0500;0,4607;22,5592
0,0500;0,4571;22,5355
0,0528;0,4571;22,4631
0,0528;0,4536;22,2725
0,0583;0,4536;22,1114
0,0583;0,4500;22,0915
0,0611;0,4500;21,9199
0,0611;0,4464;21,8943
0,0639;0,4464;21,5852
0,0639;0,4393;21,2819
0,0722;0,4393;21,0449
0,0722;0,4321;20,7785
0,0806;0,4321;20,4249
0,0806;0,4286;20,1925
0,0861;0,4286;19,9800
0,0861;0,4179;19,6921
0,0889;0,4179;19,6240
0,0889;0,4143;19,6051
0,0972;0,4143;19,3979
0,0972;0,4071;19,2008
0,1000;0,4071;19,1413
0,1000;0,3964;18,8837
0,1028;0,3964;18,8802
0,1028;0,3893;18,6456
0,1167;0,3893;18,3306
0,1167;0,3857;18,3158
0,1194;0,3857;18,3011
0,1194;0,3821;18,2993
0,1389;0,3821;17,8780
0,1389;0,3786;17,8135
0,1611;0,3786;17,4030
0,1611;0,3750;17,3350
0,1778;0,3750;16,6175
0,1778;0,3714;16,5277
0,1889;0,3714;16,3650
0,1889;0,3679;16,0078
0,1972;0,3679;15,9244
0,1972;0,3607;15,7813
0,2139;0,3607;15,4096
0,2139;0,3571;15,4096
0,2167;0,3571;15,2699
0,2167;0,3536;15,2244
0,2278;0,3536;14,5243
0,2278;0,3464;14,3116
0,2444;0,3464;13,7827
0,2444;0,3321;13,5786
0,2583;0,3321;13,3098
0,2583;0,3179;13,1454
0,2611;0,3179;13,0914
0,2611;0,3143;12,9928
0,2667;0,3143;12,8624
0,2667;0,3107;12,5188
0,2750;0,3107;12,1115
0,2750;0,3036;11,8678
0,2861;0,3036;11,4737
0,2861;0,3000;11,4243
0,2889;0,3000;11,3429
0,2889;0,2964;11,2435
0,2917;0,2964;11,1542
0,2917;0,2929;10,6590
0,3028;0,2929;10,3822
0,3028;0,2857;10,2548
0,3083;0,2857;10,2319
0,3083;0,2786;10,1043
0,3167;0,2786;9,8251
0,3167;0,2750;9,7693
0,3250;0,2750;9,3586
0,3250;0,2714;9,3307
0,3306;0,2714;9,1750
0,3306;0,2679;9,1738
0,3333;0,2679;9,0008
0,3333;0,2643;8,9291
0,3361;0,2643;8,8906
0,3361;0,2607;8,7735
0,3389;0,2607;8,6522
0,3389;0,2571;8,3415
0,3472;0,2571;8,2014
0,3472;0,2536;8,1791
0,3500;0,2536;7,9833
0,3500;0,2500;7,8826
0,3528;0,2500;6,1400
0,3528;0,2464;6,1213
0,3556;0,2464;6,0397
0,3556;0,2429;5,9781
1,0000;0,2429;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
