Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 3,19375
EER(%):; 28,194
FMR100(%):; 67,500
FMR1000(%):; 76,429
ZeroFmr(%):; 76,429
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,7643;25,7143
0,0056;0,7643;25,0000
0,0056;0,7214;23,8095
0,0083;0,7214;23,5294
0,0083;0,6750;20,8333
0,0111;0,6750;20,6897
0,0111;0,6107;19,0476
0,0139;0,6107;18,8679
0,0139;0,6071;18,6047
0,0167;0,6071;18,5185
0,0167;0,6036;18,5185
0,0194;0,6036;18,1818
0,0194;0,5893;17,9487
0,0222;0,5893;17,8571
0,0222;0,5750;17,2414
0,0278;0,5750;17,1429
0,0278;0,5643;17,0213
0,0333;0,5643;16,6667
0,0333;0,5286;16,2791
0,0472;0,5286;16,1290
0,0472;0,5179;16,1290
0,0500;0,5179;16,0000
0,0500;0,5071;15,5556
0,0556;0,5071;15,3846
0,0556;0,5036;15,3846
0,0583;0,5036;15,1515
0,0583;0,5000;15,1515
0,0639;0,5000;15,0000
0,0639;0,4964;15,0000
0,0694;0,4964;14,8148
0,0694;0,4893;14,5455
0,0722;0,4893;14,2857
0,0722;0,4821;14,0000
0,0778;0,4821;13,9535
0,0778;0,4750;13,9535
0,0861;0,4750;13,8889
0,0861;0,4643;13,7931
0,0889;0,4643;13,6364
0,0889;0,4571;13,5135
0,0917;0,4571;13,3333
0,0917;0,4464;13,3333
0,0972;0,4464;13,2075
0,0972;0,4429;13,1148
0,1056;0,4429;13,0435
0,1056;0,4393;13,0435
0,1194;0,4393;12,9032
0,1194;0,4250;12,9032
0,1222;0,4250;12,7660
0,1222;0,4179;12,7660
0,1528;0,4179;12,5000
0,1528;0,4036;12,5000
0,1611;0,4036;12,1212
0,1611;0,3929;11,9403
0,1722;0,3929;11,8644
0,1722;0,3821;11,8644
0,1750;0,3821;11,7647
0,1750;0,3786;11,7647
0,1778;0,3786;11,6279
0,1778;0,3750;11,6279
0,1917;0,3750;11,5385
0,1917;0,3607;11,4754
0,2000;0,3607;11,4286
0,2000;0,3500;11,4286
0,2028;0,3500;11,3208
0,2028;0,3464;11,3208
0,2361;0,3464;11,1111
0,2361;0,3250;11,1111
0,2389;0,3250;10,8108
0,2389;0,3214;10,8108
0,2444;0,3214;10,6383
0,2444;0,3107;10,4478
0,2556;0,3107;10,3448
0,2556;0,3071;10,3448
0,2639;0,3071;10,2564
0,2639;0,3000;10,1695
0,3056;0,3000;10,0000
0,3056;0,2786;10,0000
0,3083;0,2786;9,8361
0,3083;0,2750;9,8361
0,3500;0,2750;9,6774
0,3500;0,2429;9,5890
0,3806;0,2429;9,5238
0,3806;0,2393;9,5238
0,3917;0,2393;9,4340
0,3917;0,2357;9,4340
0,4056;0,2357;9,3750
0,4056;0,2321;9,3750
0,4167;0,2321;9,3023
0,4167;0,2286;9,3023
0,4583;0,2286;9,0909
0,4583;0,2214;9,0909
0,4611;0,2214;8,9552
0,4611;0,2179;8,9552
0,4722;0,2179;8,8889
0,4722;0,2107;8,8889
0,4806;0,2107;8,6957
0,4806;0,2000;8,6957
0,5333;0,2000;8,5714
0,5333;0,1893;8,5714
0,5417;0,1893;8,4746
0,5417;0,1786;8,4746
0,5806;0,1786;8,3333
0,5806;0,1750;8,3333
0,5861;0,1750;8,2192
0,5861;0,1714;8,2192
0,5889;0,1714;8,1967
0,5889;0,1643;8,1967
0,6250;0,1643;7,9365
0,6250;0,1607;7,9365
0,6306;0,1607;7,8125
0,6306;0,1500;7,8125
0,6417;0,1500;7,6923
0,6417;0,1464;7,6923
0,6528;0,1464;7,5472
0,6528;0,1429;7,5269
0,6722;0,1429;7,5000
0,6722;0,1321;7,5000
0,6806;0,1321;7,4627
0,6806;0,1286;7,4627
0,6833;0,1286;7,4074
0,6833;0,1250;7,4074
0,6889;0,1250;7,2727
0,6889;0,1214;7,2727
0,7000;0,1214;7,1429
0,7000;0,1071;7,1429
0,7194;0,1071;6,9767
0,7194;0,1000;6,8493
0,7306;0,1000;6,7797
0,7306;0,0929;6,7797
0,7583;0,0929;6,6667
0,7583;0,0893;6,6667
0,7778;0,0893;6,4516
0,7778;0,0750;6,4516
0,7917;0,0750;6,3830
0,7917;0,0714;6,3830
0,8139;0,0714;6,2500
0,8139;0,0607;6,2500
0,8333;0,0607;5,9701
0,8333;0,0571;5,9701
0,8639;0,0571;5,6604
0,8639;0,0500;5,6604
0,8778;0,0500;5,5556
0,8778;0,0464;5,5556
0,8889;0,0464;5,4795
0,8889;0,0357;5,4795
0,9028;0,0357;5,4545
0,9028;0,0321;5,4545
0,9083;0,0321;5,3763
0,9083;0,0250;5,3763
0,9250;0,0250;5,0847
0,9250;0,0214;5,0847
0,9306;0,0214;5,0000
0,9306;0,0179;5,0000
0,9611;0,0179;4,6875
0,9611;0,0143;4,6875
0,9778;0,0143;4,3011
0,9778;0,0107;4,3011
0,9917;0,0107;4,0000
0,9917;0,0036;3,3333
1,0000;0,0036;3,2258
1,0000;0,0000;3,0303
1,0000;0,0000;3,0303
1,0000;0,0000;3,0303
