Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 4,22656
EER(%):; 13,452
FMR100(%):; 41,071
FMR1000(%):; 45,714
ZeroFmr(%):; 45,714
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,4571;0,0127
0,0028;0,4571;0,0121
0,0028;0,4250;0,0113
0,0056;0,4250;0,0113
0,0056;0,4214;0,0113
0,0083;0,4214;0,0113
0,0083;0,4107;0,0112
0,0111;0,4107;0,0111
0,0111;0,3750;0,0103
0,0139;0,3750;0,0101
0,0139;0,3286;0,0089
0,0167;0,3286;0,0089
0,0167;0,3179;0,0087
0,0194;0,3179;0,0087
0,0194;0,2964;0,0079
0,0222;0,2964;0,0078
0,0222;0,2929;0,0074
0,0278;0,2929;0,0072
0,0278;0,2857;0,0072
0,0306;0,2857;0,0071
0,0306;0,2714;0,0068
0,0333;0,2714;0,0067
0,0333;0,2643;0,0066
0,0361;0,2643;0,0066
0,0361;0,2607;0,0066
0,0389;0,2607;0,0066
0,0389;0,2536;0,0065
0,0417;0,2536;0,0065
0,0417;0,2500;0,0065
0,0444;0,2500;0,0064
0,0444;0,2357;0,0063
0,0500;0,2357;0,0061
0,0500;0,2179;0,0059
0,0556;0,2179;0,0058
0,0556;0,2107;0,0058
0,0583;0,2107;0,0058
0,0583;0,2000;0,0056
0,0639;0,2000;0,0056
0,0639;0,1893;0,0055
0,0722;0,1893;0,0054
0,0722;0,1786;0,0054
0,0750;0,1786;0,0053
0,0750;0,1750;0,0053
0,0806;0,1750;0,0052
0,0806;0,1714;0,0052
0,0861;0,1714;0,0051
0,0861;0,1679;0,0051
0,0917;0,1679;0,0050
0,0917;0,1643;0,0050
0,0944;0,1643;0,0050
0,0944;0,1607;0,0050
0,0972;0,1607;0,0050
0,0972;0,1536;0,0049
0,1028;0,1536;0,0049
0,1028;0,1500;0,0048
0,1083;0,1500;0,0048
0,1083;0,1429;0,0047
0,1167;0,1429;0,0046
0,1167;0,1393;0,0045
0,1333;0,1393;0,0043
0,1333;0,1357;0,0043
0,1611;0,1357;0,0040
0,1611;0,1286;0,0039
0,1722;0,1286;0,0038
0,1722;0,1250;0,0038
0,1778;0,1250;0,0037
0,1778;0,1214;0,0037
0,2222;0,1214;0,0034
0,2222;0,1179;0,0033
0,2306;0,1179;0,0033
0,2306;0,1143;0,0033
0,2556;0,1143;0,0031
0,2556;0,1107;0,0031
0,2667;0,1107;0,0031
0,2667;0,1071;0,0031
0,2694;0,1071;0,0030
0,2694;0,1036;0,0030
0,2833;0,1036;0,0029
0,2833;0,1000;0,0029
0,2889;0,1000;0,0028
0,2889;0,0929;0,0028
0,3083;0,0929;0,0026
0,3083;0,0893;0,0026
0,3639;0,0893;0,0023
0,3639;0,0857;0,0023
0,4111;0,0857;0,0021
0,4111;0,0821;0,0021
0,4306;0,0821;0,0020
0,4306;0,0786;0,0020
0,4333;0,0786;0,0020
0,4333;0,0750;0,0020
0,4389;0,0750;0,0019
0,4389;0,0714;0,0019
0,4528;0,0714;0,0019
0,4528;0,0679;0,0019
0,4583;0,0679;0,0019
0,4583;0,0643;0,0019
0,4667;0,0643;0,0018
0,4667;0,0607;0,0018
0,4778;0,0607;0,0018
0,4778;0,0571;0,0017
0,4861;0,0571;0,0017
0,4861;0,0536;0,0017
0,4972;0,0536;0,0017
0,4972;0,0500;0,0017
0,5278;0,0500;0,0015
0,5278;0,0464;0,0015
0,5361;0,0464;0,0015
0,5361;0,0429;0,0015
0,6111;0,0429;0,0013
0,6111;0,0393;0,0013
0,7917;0,0393;0,0007
0,7917;0,0357;0,0007
0,7944;0,0357;0,0007
0,7944;0,0321;0,0007
0,8056;0,0321;0,0007
0,8056;0,0286;0,0006
0,8333;0,0286;0,0006
0,8333;0,0250;0,0006
0,8556;0,0250;0,0005
0,8556;0,0214;0,0005
0,8639;0,0214;0,0005
0,8639;0,0143;0,0005
0,9028;0,0143;0,0004
0,9028;0,0107;0,0004
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
