Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 6,89844
EER(%):; 28,214
FMR100(%):; 55,000
FMR1000(%):; 69,286
ZeroFmr(%):; 69,286
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,6929;41,4614
0,0028;0,6929;41,1411
0,0028;0,6679;37,4166
0,0056;0,6679;37,1652
0,0056;0,5500;23,5702
0,0111;0,5500;23,5056
0,0111;0,5357;23,1540
0,0139;0,5357;23,0940
0,0139;0,5214;21,9199
0,0194;0,5214;21,5509
0,0194;0,5107;21,2814
0,0222;0,5107;20,9980
0,0222;0,4929;20,2260
0,0278;0,4929;19,6116
0,0278;0,4893;19,5254
0,0306;0,4893;19,4029
0,0306;0,4857;19,3202
0,0333;0,4857;19,2124
0,0333;0,4821;19,2055
0,0389;0,4821;18,8562
0,0389;0,4786;18,6052
0,0417;0,4786;18,5567
0,0417;0,4714;18,1818
0,0444;0,4714;17,7162
0,0444;0,4500;17,2590
0,0472;0,4500;17,0716
0,0472;0,4429;16,9526
0,0500;0,4429;16,8073
0,0500;0,4357;16,4992
0,0639;0,4357;16,2736
0,0639;0,4321;16,0973
0,0889;0,4321;14,6427
0,0889;0,4286;14,5833
0,0917;0,4286;14,3756
0,0917;0,4214;14,2354
0,0944;0,4214;14,0894
0,0944;0,4179;14,0296
0,1000;0,4179;13,9443
0,1000;0,4143;13,8975
0,1028;0,4143;13,8568
0,1028;0,4107;13,8380
0,1083;0,4107;13,5492
0,1083;0,3964;13,1342
0,1167;0,3964;12,9580
0,1167;0,3929;12,9302
0,1194;0,3929;12,9099
0,1194;0,3857;12,5988
0,1222;0,3857;12,5615
0,1222;0,3786;12,5353
0,1250;0,3786;12,5196
0,1250;0,3750;12,3771
0,1361;0,3750;12,3091
0,1361;0,3714;12,2169
0,1389;0,3714;12,1716
0,1389;0,3679;12,1212
0,1472;0,3679;11,6977
0,1472;0,3536;11,3949
0,1639;0,3536;11,1154
0,1639;0,3500;11,0838
0,1722;0,3500;10,8112
0,1722;0,3464;10,7015
0,1944;0,3464;10,1015
0,1944;0,3429;10,0362
0,2194;0,3429;9,3530
0,2194;0,3393;9,2009
0,2389;0,3393;8,8024
0,2389;0,3321;8,5850
0,2417;0,3321;8,5194
0,2417;0,3286;8,2690
0,2500;0,3286;8,0322
0,2500;0,3214;7,7771
0,2528;0,3214;7,7152
0,2528;0,3071;7,2932
0,2583;0,3071;6,8680
0,2583;0,3036;6,6915
0,2611;0,3036;6,6418
0,2611;0,3000;6,5671
0,2667;0,3000;6,3387
0,2667;0,2929;6,1085
0,2750;0,2929;5,8026
0,2750;0,2893;5,6604
0,2917;0,2893;4,5175
0,2917;0,2714;2,9934
1,0000;0,2714;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
