Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 2,50469
EER(%):; 14,762
FMR100(%):; 30,000
FMR1000(%):; 45,357
ZeroFmr(%):; 45,357
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,4536;33,5013
0,0028;0,4536;33,3947
0,0028;0,4071;32,0719
0,0056;0,4071;31,8511
0,0056;0,3143;28,7213
0,0083;0,3143;28,6534
0,0083;0,3000;28,5062
0,0111;0,3000;27,8704
0,0111;0,2750;26,9191
0,0139;0,2750;26,8608
0,0139;0,2714;26,7261
0,0194;0,2714;26,3117
0,0194;0,2643;26,0623
0,0222;0,2643;25,7458
0,0222;0,2536;25,1106
0,0250;0,2536;25,0873
0,0250;0,2464;24,9136
0,0333;0,2464;24,6598
0,0333;0,2429;24,5145
0,0389;0,2429;24,2871
0,0389;0,2393;24,0772
0,0444;0,2393;23,7564
0,0444;0,2286;23,6940
0,0528;0,2286;23,4283
0,0528;0,2214;23,1869
0,0556;0,2214;22,9752
0,0556;0,2107;22,7185
0,0639;0,2107;22,4507
0,0639;0,2000;21,9718
0,0806;0,2000;21,3504
0,0806;0,1929;21,3395
0,0944;0,1929;20,9473
0,0944;0,1893;20,9165
0,1000;0,1893;20,7390
0,1000;0,1750;20,5396
0,1056;0,1750;20,2777
0,1056;0,1679;19,7013
0,1167;0,1679;19,1727
0,1167;0,1643;19,1346
0,1306;0,1643;18,6321
0,1306;0,1571;18,6052
0,1417;0,1571;18,0187
0,1417;0,1536;17,9787
0,1667;0,1536;17,2825
0,1667;0,1464;17,2695
0,1694;0,1464;17,0950
0,1694;0,1429;16,7676
0,1778;0,1429;16,4845
0,1778;0,1393;16,4817
0,1833;0,1393;16,4488
0,1833;0,1357;16,3678
0,1861;0,1357;16,3572
0,1861;0,1321;16,3299
0,1889;0,1321;16,2736
0,1889;0,1286;16,2690
0,2139;0,1286;15,5700
0,2139;0,1250;15,5700
0,2194;0,1250;15,5406
0,2194;0,1214;15,5173
0,2250;0,1214;15,1794
0,2250;0,1179;15,1248
0,2278;0,1179;15,1142
0,2278;0,1071;14,9441
0,2417;0,1071;14,7148
0,2417;0,1036;14,6663
0,2500;0,1036;14,4338
0,2500;0,1000;14,4338
0,2861;0,1000;13,8260
0,2861;0,0964;13,8260
0,3083;0,0964;13,5852
0,3083;0,0929;13,4693
0,3139;0,0929;13,3730
0,3139;0,0893;13,3436
0,3389;0,0893;12,9099
0,3389;0,0857;12,8802
0,3444;0,0857;12,8641
0,3444;0,0821;12,8624
0,3861;0,0821;11,8947
0,3861;0,0750;11,6160
0,4944;0,0750;8,8024
0,4944;0,0679;8,2199
0,5389;0,0679;6,0858
0,5389;0,0643;6,0858
1,0000;0,0643;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
