GDTHR;EER;FMR;FNMR
TRESHOLD;15;GlobAngThr;39
0;38,8889;0;0,777777778
1;31,6667;0;0,633333333
2;26,6667;0;0,533333333
3;23,8889;0,002777778;0,475
4;23,1944;0,016666667;0,447222222
5;22,2222;0,016666667;0,427777778
6;22,0833;0,030555556;0,411111111
7;22,2222;0,038888889;0,405555556
8;21,8056;0,044444444;0,391666667
9;22,0833;0,063888889;0,377777778
10;21,9444;0,072222222;0,366666667
11;21,6667;0,088888889;0,344444444
12;21,6667;0,111111111;0,322222222
13;21,25;0,119444444;0,305555556
14;22,0833;0,138888889;0,302777778
15;22,2222;0,147222222;0,297222222
16;22,6389;0,172222222;0,280555556
17;22,0833;0,172222222;0,269444444
18;22,2222;0,188888889;0,255555556
19;22,0833;0,188888889;0,252777778
Matches;total;14400;
