GDTHR;EER;FMR;FNMR
TRESHOLD;24;GlobAngThr;21
0;38,8889;0;0,777777778
1;35,5556;0;0,711111111
2;25;0;0,5
3;16,9444;0;0,338888889
4;12,0833;0;0,241666667
5;9,7222;0;0,194444444
6;8,0556;0,005555556;0,155555556
7;8,4722;0,019444444;0,15
8;8,8889;0,027777778;0,15
9;9,0278;0,033333333;0,147222222
10;9,7222;0,052777778;0,141666667
11;10,2778;0,066666667;0,138888889
12;10,8333;0,077777778;0,138888889
13;11,3889;0,091666667;0,136111111
14;11,3889;0,097222222;0,130555556
15;12,0833;0,111111111;0,130555556
16;12,2222;0,122222222;0,122222222
17;12,5;0,130555556;0,119444444
18;12,5;0,133333333;0,116666667
19;12,6389;0,138888889;0,113888889
