EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;
23,3333;0,208333333;0,258333333;0,1;8;10;;;;;;;;
23,3333;0,208333333;0,258333333;0,3;8;30;;;;;;;;
24,1667;0,211111111;0,272222222;0,3;4;50;;;;;;;;
23,4722;0,216666667;0,252777778;0,5;12;50;;;;;;;;
25,9722;0,216666667;0,302777778;0,2;4;30;;;;;;;;
22,7778;0,222222222;0,233333333;0,4;10;40;;;;;;;;
23,0556;0,233333333;0,227777778;0,2;8;20;;;;;;;;
23,8889;0,25;0,227777778;0,5;10;60;;;;;;;;
27,3611;0,269444444;0,277777778;0,4;6;60;;;;;;;;
24,4444;0,272222222;0,216666667;0,1;10;10;;;;;;;;
25,2778;0,272222222;0,233333333;0,3;6;40;;;;;;;;
26,9444;0,305555556;0,233333333;0,4;8;50;;;;;;;;
25,2778;0,319444444;0,186111111;0,3;10;30;;;;;;;;
25,8333;0,327777778;0,188888889;0,2;10;20;;;;;;;;
26,6667;0,341666667;0,191666667;0,1;12;10;;;;;;;;
26,8056;0,352777778;0,183333333;0,4;12;40;;;;;;;;
29,3056;0,369444444;0,216666667;0,3;4;60;;;;;;;;
27,5;0,391666667;0,158333333;0,2;6;30;;;;;;;;
27,9167;0,391666667;0,166666667;0,1;4;20;;;;;;;;
28,4722;0,394444444;0,175;0,5;12;60;;;;;;;;
27,5;0,408333333;0,141666667;0,3;12;30;;;;;;;;
28,0556;0,408333333;0,152777778;0,2;12;20;;;;;;;;
30,6944;0,419444444;0,194444444;0,2;4;40;;;;;;;;
28,8889;0,444444444;0,133333333;0,3;8;40;;;;;;;;
31,3889;0,463888889;0,163888889;0,4;10;50;;;;;;;;
31,3889;0,488888889;0,138888889;0,4;8;60;;;;;;;;
32,5;0,497222222;0,152777778;0,3;6;50;;;;;;;;
32,5;0,552777778;0,097222222;0,4;12;50;;;;;;;;
32,6389;0,558333333;0,094444444;0,1;6;20;;;;;;;;
32,7778;0,563888889;0,091666667;0,2;8;30;;;;;;;;
32,9167;0,569444444;0,088888889;0,3;10;40;;;;;;;;
35,2778;0,613888889;0,091666667;0,4;10;60;;;;;;;;
36,6667;0,627777778;0,105555556;0,2;4;50;;;;;;;;
35,5556;0,633333333;0,077777778;0,3;8;50;;;;;;;;
35,2778;0,641666667;0,063888889;0,3;12;40;;;;;;;;
36,1111;0,652777778;0,069444444;0,2;6;40;;;;;;;;
35,9722;0,661111111;0,058333333;0,1;8;20;;;;;;;;
36,8056;0,663888889;0,072222222;0,2;10;30;;;;;;;;
38,3333;0,669444444;0,097222222;0,3;6;60;;;;;;;;
37,7778;0,688888889;0,066666667;0,4;12;60;;;;;;;;
38,8889;0,719444444;0,058333333;0,1;4;30;;;;;;;;
39,0278;0,736111111;0,044444444;0,3;10;50;;;;;;;;
38,8889;0,738888889;0,038888889;0,1;10;20;;;;;;;;
40,2778;0,744444444;0,061111111;0,2;12;30;;;;;;;;
40,6944;0,775;0,038888889;0,2;8;40;;;;;;;;
40,9722;0,777777778;0,041666667;0,3;8;60;;;;;;;;
42,2222;0,783333333;0,061111111;0,2;4;60;;;;;;;;
41,25;0,794444444;0,030555556;0,2;6;50;;;;;;;;
42,3611;0,811111111;0,036111111;0,3;12;50;;;;;;;;
42,5;0,816666667;0,033333333;0,1;12;20;;;;;;;;
43,6111;0,847222222;0,025;0,2;10;40;;;;;;;;
43,6111;0,85;0,022222222;0,3;10;60;;;;;;;;
44,3056;0,866666667;0,019444444;0,1;6;30;;;;;;;;
44,5833;0,866666667;0,025;0,1;4;40;;;;;;;;
45,2778;0,883333333;0,022222222;0,2;12;40;;;;;;;;
45,4167;0,888888889;0,019444444;0,2;8;50;;;;;;;;
45,8333;0,9;0,016666667;0,2;6;60;;;;;;;;
46,5278;0,911111111;0,019444444;0,3;12;60;;;;;;;;
46,9444;0,925;0,013888889;0,1;8;30;;;;;;;;
47,6389;0,941666667;0,011111111;0,2;10;50;;;;;;;;
47,6389;0,944444444;0,008333333;0,1;6;40;;;;;;;;
47,6389;0,944444444;0,008333333;0,1;4;50;;;;;;;;
47,9167;0,95;0,008333333;0,1;10;30;;;;;;;;
47,9167;0,95;0,008333333;0,2;8;60;;;;;;;;
48,3333;0,961111111;0,005555556;0,1;12;30;;;;;;;;
48,6111;0,963888889;0,008333333;0,2;12;50;;;;;;;;
48,6111;0,966666667;0,005555556;0,1;8;40;;;;;;;;
48,6111;0,966666667;0,005555556;0,1;4;60;;;;;;;;
49,0278;0,977777778;0,002777778;0,1;6;50;;;;;;;;
49,0278;0,977777778;0,002777778;0,2;10;60;;;;;;;;
49,0278;0,977777778;0,002777778;0,2;12;60;;;;;;;;
49,3056;0,980555556;0,005555556;0,1;10;40;;;;;;;;
49,3056;0,983333333;0,002777778;0,1;12;40;;;;;;;;
49,3056;0,983333333;0,002777778;0,1;8;50;;;;;;;;
49,3056;0,983333333;0,002777778;0,1;10;50;;;;;;;;
49,3056;0,983333333;0,002777778;0,1;6;60;;;;;;;;
49,4444;0,986111111;0,002777778;0,1;8;60;;;;;;;;
49,5833;0,988888889;0,002777778;0,1;12;50;;;;;;;;
49,5833;0,988888889;0,002777778;0,1;10;60;;;;;;;;
49,5833;0,988888889;0,002777778;0,1;12;60;;;;;;;;
Matches;total;129600;;;;;;;;;;;
984;;;;;;;;;;;;;
