EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;
26,9444;0,211111111;0,327777778;0,6;12;60;;;;;;;;
26,5278;0,225;0,305555556;0,5;8;60;;;;;;;;
24,0278;0,233333333;0,247222222;0,1;10;10;;;;;;;;
24,1667;0,233333333;0,25;0,3;8;30;;;;;;;;
25,8333;0,247222222;0,269444444;0,3;4;50;;;;;;;;
24,0278;0,286111111;0,194444444;0,4;10;40;;;;;;;;
24,7222;0,288888889;0,205555556;0,1;12;10;;;;;;;;
23,8889;0,291666667;0,186111111;0,2;10;20;;;;;;;;
25,6944;0,302777778;0,211111111;0,5;12;50;;;;;;;;
23,8889;0,308333333;0,169444444;0,3;10;30;;;;;;;;
25,4167;0,311111111;0,197222222;0,3;6;40;;;;;;;;
28,6111;0,336111111;0,236111111;0,4;6;60;;;;;;;;
25,4167;0,355555556;0,152777778;0,2;12;20;;;;;;;;
27,9167;0,369444444;0,188888889;0,4;8;50;;;;;;;;
28,8889;0,369444444;0,208333333;0,5;10;60;;;;;;;;
27,0833;0,380555556;0,161111111;0,1;4;20;;;;;;;;
26,5278;0,397222222;0,133333333;0,4;12;40;;;;;;;;
30,9722;0,408333333;0,211111111;0,3;4;60;;;;;;;;
27,0833;0,419444444;0,122222222;0,3;12;30;;;;;;;;
28,8889;0,425;0,152777778;0,2;6;30;;;;;;;;
30;0,45;0,15;0,2;4;40;;;;;;;;
28,8889;0,452777778;0,125;0,3;8;40;;;;;;;;
30,4167;0,469444444;0,138888889;0,5;12;60;;;;;;;;
32,0833;0,513888889;0,127777778;0,3;6;50;;;;;;;;
32,0833;0,519444444;0,122222222;0,4;10;50;;;;;;;;
34,0278;0,552777778;0,127777778;0,4;8;60;;;;;;;;
33,6111;0,575;0,097222222;0,2;8;30;;;;;;;;
33,4722;0,583333333;0,086111111;0,1;6;20;;;;;;;;
33,8889;0,591666667;0,086111111;0,3;10;40;;;;;;;;
34,1667;0,605555556;0,077777778;0,4;12;50;;;;;;;;
36,9444;0,652777778;0,086111111;0,2;4;50;;;;;;;;
35,8333;0,663888889;0,052777778;0,2;10;30;;;;;;;;
37,2222;0,683333333;0,061111111;0,3;12;40;;;;;;;;
37,5;0,683333333;0,066666667;0,2;6;40;;;;;;;;
37,6389;0,694444444;0,058333333;0,1;8;20;;;;;;;;
37,5;0,697222222;0,052777778;0,3;6;60;;;;;;;;
38,0556;0,697222222;0,063888889;0,4;10;60;;;;;;;;
37,7778;0,702777778;0,052777778;0,3;8;50;;;;;;;;
38,6111;0,708333333;0,063888889;0,1;4;30;;;;;;;;
39,0278;0,738888889;0,041666667;0,2;12;30;;;;;;;;
40,2778;0,772222222;0,033333333;0,4;12;60;;;;;;;;
40,5556;0,772222222;0,038888889;0,1;10;20;;;;;;;;
41,25;0,8;0,025;0,3;10;50;;;;;;;;
41,6667;0,813888889;0,019444444;0,2;8;40;;;;;;;;
42,0833;0,822222222;0,019444444;0,1;12;20;;;;;;;;
44,7222;0,855555556;0,038888889;0,2;4;60;;;;;;;;
43,8889;0,858333333;0,019444444;0,1;6;30;;;;;;;;
44,0278;0,863888889;0,016666667;0,3;12;50;;;;;;;;
44,1667;0,869444444;0,013888889;0,3;8;60;;;;;;;;
44,3056;0,875;0,011111111;0,2;10;40;;;;;;;;
44,4444;0,877777778;0,011111111;0,2;6;50;;;;;;;;
46,1111;0,913888889;0,008333333;0,1;4;40;;;;;;;;
45,9722;0,916666667;0,002777778;0,1;8;30;;;;;;;;
46,25;0,919444444;0,005555556;0,3;10;60;;;;;;;;
46,5278;0,925;0,005555556;0,2;12;40;;;;;;;;
47,5;0,944444444;0,005555556;0,2;8;50;;;;;;;;
47,6389;0,95;0,002777778;0,1;10;30;;;;;;;;
47,6389;0,95;0,002777778;0,3;12;60;;;;;;;;
48,4722;0,966666667;0,002777778;0,2;10;50;;;;;;;;
48,6111;0,966666667;0,005555556;0,2;6;60;;;;;;;;
48,75;0,969444444;0,005555556;0,1;6;40;;;;;;;;
48,75;0,972222222;0,002777778;0,1;12;30;;;;;;;;
49,0278;0,977777778;0,002777778;0,1;4;50;;;;;;;;
49,1667;0,983333333;0;0,2;12;50;;;;;;;;
49,3056;0,986111111;0;0,1;4;60;;;;;;;;
49,3056;0,986111111;0;0,2;8;60;;;;;;;;
49,3056;0,986111111;0;0,2;10;60;;;;;;;;
49,4444;0,986111111;0,002777778;0,1;8;40;;;;;;;;
49,4444;0,988888889;0;0,1;6;60;;;;;;;;
49,5833;0,988888889;0,002777778;0,1;6;50;;;;;;;;
49,5833;0,991666667;0;0,2;12;60;;;;;;;;
49,7222;0,994444444;0;0,1;12;40;;;;;;;;
49,7222;0,994444444;0;0,1;8;50;;;;;;;;
49,7222;0,994444444;0;0,1;10;50;;;;;;;;
49,8611;0,994444444;0,002777778;0,1;10;40;;;;;;;;
49,8611;0,997222222;0;0,1;12;50;;;;;;;;
49,8611;0,997222222;0;0,1;8;60;;;;;;;;
49,8611;0,997222222;0;0,1;10;60;;;;;;;;
49,8611;0,997222222;0;0,1;12;60;;;;;;;;
Matches;total;129600;;;;;;;;;;;
1807;;;;;;;;;;;;;
