TRESHOLD;EER;FMR;FNMR
0;50;1;0
3;49,8611;0,997222222;0
6;32,6389;0,613888889;0,038888889
9;14,3056;0,213888889;0,072222222
12;8,0556;0,044444444;0,116666667
15;8,6111;0,011111111;0,161111111
18;11,1111;0,002777778;0,219444444
21;12,9167;0,002777778;0,255555556
