EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;;
18,0556;0;0,361111111;0,04;8;30;4;50;4;;;;;;;;;;;;
18,0556;0;0,361111111;0,04;12;50;4;30;4;;;;;;;;;;;;
18,1944;0;0,363888889;0,02;4;30;8;30;4;;;;;;;;;;;;
18,1944;0;0,363888889;0,02;4;50;8;30;4;;;;;;;;;;;;
18,1944;0;0,363888889;0,03;8;30;4;30;4;;;;;;;;;;;;
18,1944;0;0,363888889;0,04;12;30;4;30;4;;;;;;;;;;;;
18,4722;0;0,369444444;0,02;8;10;4;50;4;;;;;;;;;;;;
18,4722;0;0,369444444;0,04;12;10;8;50;8;;;;;;;;;;;;
18,8889;0;0,377777778;0,02;12;10;8;30;8;;;;;;;;;;;;
18,8889;0;0,377777778;0,03;12;10;8;30;8;;;;;;;;;;;;
19,1667;0;0,383333333;0,02;8;10;4;30;4;;;;;;;;;;;;
19,4444;0;0,388888889;0,02;8;10;12;50;8;;;;;;;;;;;;
19,4444;0;0,388888889;0,03;4;50;12;50;4;;;;;;;;;;;;
19,4444;0;0,388888889;0,03;12;10;4;30;4;;;;;;;;;;;;
19,5833;0;0,391666667;0,03;4;30;12;50;4;;;;;;;;;;;;
19,5833;0;0,391666667;0,03;8;10;12;50;8;;;;;;;;;;;;
19,5833;0;0,391666667;0,04;12;10;8;30;8;;;;;;;;;;;;
19,7222;0;0,394444444;0,04;12;10;4;50;4;;;;;;;;;;;;
19,8611;0;0,397222222;0,02;12;50;4;50;8;;;;;;;;;;;;
19,8611;0;0,397222222;0,03;8;10;4;50;4;;;;;;;;;;;;
20;0;0,4;0,02;12;30;4;50;8;;;;;;;;;;;;
20,1389;0;0,402777778;0,02;12;50;12;30;12;;;;;;;;;;;;
20,1389;0;0,402777778;0,03;4;50;8;50;4;;;;;;;;;;;;
20,1389;0;0,402777778;0,03;12;50;12;30;12;;;;;;;;;;;;
20,1389;0;0,402777778;0,04;12;50;12;30;12;;;;;;;;;;;;
20,2778;0;0,405555556;0,02;12;30;12;30;12;;;;;;;;;;;;
20,2778;0;0,405555556;0,02;12;50;8;50;12;;;;;;;;;;;;
20,2778;0;0,405555556;0,03;4;30;8;50;4;;;;;;;;;;;;
20,2778;0;0,405555556;0,03;12;30;12;30;12;;;;;;;;;;;;
20,2778;0;0,405555556;0,03;12;50;8;50;12;;;;;;;;;;;;
20,2778;0;0,405555556;0,04;8;30;4;30;4;;;;;;;;;;;;
20,2778;0;0,405555556;0,04;8;50;4;30;4;;;;;;;;;;;;
20,2778;0;0,405555556;0,04;12;30;12;30;12;;;;;;;;;;;;
20,2778;0;0,405555556;0,04;12;50;8;50;12;;;;;;;;;;;;
20,4167;0;0,408333333;0,02;12;30;8;50;12;;;;;;;;;;;;
20,4167;0;0,408333333;0,03;4;30;12;30;4;;;;;;;;;;;;
20,4167;0;0,408333333;0,03;4;50;12;30;4;;;;;;;;;;;;
20,4167;0;0,408333333;0,03;12;30;8;50;12;;;;;;;;;;;;
20,4167;0;0,408333333;0,03;12;50;4;50;8;;;;;;;;;;;;
20,4167;0;0,408333333;0,04;12;30;8;50;12;;;;;;;;;;;;
20,5556;0;0,411111111;0,02;4;10;12;50;4;;;;;;;;;;;;
20,5556;0;0,411111111;0,04;8;10;12;50;8;;;;;;;;;;;;
20,6944;0;0,413888889;0,03;12;30;4;50;8;;;;;;;;;;;;
20,8333;0;0,416666667;0,03;4;30;8;30;4;;;;;;;;;;;;
20,8333;0;0,416666667;0,03;4;50;8;30;4;;;;;;;;;;;;
20,8333;0;0,416666667;0,03;8;10;4;30;4;;;;;;;;;;;;
21,1111;0;0,422222222;0,02;4;10;12;30;4;;;;;;;;;;;;
21,1111;0;0,422222222;0,04;12;50;4;50;8;;;;;;;;;;;;
21,25;0;0,425;0,02;4;10;8;50;4;;;;;;;;;;;;
21,25;0;0,425;0,02;8;10;12;30;8;;;;;;;;;;;;
21,25;0;0,425;0,04;12;30;4;50;8;;;;;;;;;;;;
21,3889;0;0,427777778;0,02;8;10;8;50;8;;;;;;;;;;;;
21,3889;0;0,427777778;0,03;8;10;8;50;8;;;;;;;;;;;;
21,3889;0;0,427777778;0,04;12;10;4;30;4;;;;;;;;;;;;
21,6667;0;0,433333333;0,02;4;10;8;30;4;;;;;;;;;;;;
21,6667;0;0,433333333;0,04;8;10;4;50;4;;;;;;;;;;;;
21,8056;0;0,436111111;0,03;8;10;12;30;8;;;;;;;;;;;;
22,2222;0;0,444444444;0,02;4;30;4;50;4;;;;;;;;;;;;
22,2222;0;0,444444444;0,02;4;50;4;50;4;;;;;;;;;;;;
22,2222;0;0,444444444;0,02;8;30;12;50;12;;;;;;;;;;;;
22,2222;0;0,444444444;0,02;8;50;12;50;12;;;;;;;;;;;;
22,2222;0;0,444444444;0,02;12;50;4;30;8;;;;;;;;;;;;
22,2222;0;0,444444444;0,03;8;30;12;50;12;;;;;;;;;;;;
22,2222;0;0,444444444;0,03;8;50;12;50;12;;;;;;;;;;;;
22,2222;0;0,444444444;0,04;8;30;12;50;12;;;;;;;;;;;;
22,2222;0;0,444444444;0,04;8;50;12;50;12;;;;;;;;;;;;
22,3611;0;0,447222222;0,02;12;30;4;30;8;;;;;;;;;;;;
22,3611;0;0,447222222;0,04;4;30;12;50;4;;;;;;;;;;;;
22,3611;0;0,447222222;0,04;4;50;12;50;4;;;;;;;;;;;;
22,5;0;0,45;0,02;8;50;4;50;8;;;;;;;;;;;;
22,5;0;0,45;0,02;12;50;8;30;12;;;;;;;;;;;;
22,5;0;0,45;0,03;12;50;8;30;12;;;;;;;;;;;;
22,5;0;0,45;0,04;8;10;8;50;8;;;;;;;;;;;;
22,5;0;0,45;0,04;12;50;8;30;12;;;;;;;;;;;;
22,6389;0;0,452777778;0,02;12;30;8;30;12;;;;;;;;;;;;
22,6389;0;0,452777778;0,03;12;30;8;30;12;;;;;;;;;;;;
22,6389;0;0,452777778;0,03;12;50;4;30;8;;;;;;;;;;;;
22,6389;0;0,452777778;0,04;8;10;12;30;8;;;;;;;;;;;;
22,6389;0;0,452777778;0,04;12;30;8;30;12;;;;;;;;;;;;
22,7778;0;0,455555556;0,02;8;10;8;30;8;;;;;;;;;;;;
22,7778;0;0,455555556;0,02;8;30;4;50;8;;;;;;;;;;;;
22,7778;0;0,455555556;0,03;8;50;4;50;8;;;;;;;;;;;;
22,9167;0;0,458333333;0,03;12;30;4;30;8;;;;;;;;;;;;
22,9167;0;0,458333333;0,04;12;50;4;30;8;;;;;;;;;;;;
